method,N,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,f1_survived_mean,f1_survived_std,f1_collapsed_mean,f1_collapsed_std,f1_obstructed_mean,f1_obstructed_std,f1_missing_mean,f1_missing_std,n_seeds
fair_mab_cap10x,500,0.6922,0.0381,0.3818,0.0211,0.8162,0.027,0.2065,0.0315,0.2609,0.0741,0.2436,0.0091,10
fair_mab_cap2x,500,0.6846,0.0387,0.3827,0.0178,0.8117,0.0302,0.2151,0.075,0.258,0.0617,0.2462,0.0206,10
fair_mab_cap4x,500,0.6586,0.0307,0.3722,0.0246,0.7916,0.0264,0.2111,0.0212,0.2323,0.1133,0.2538,0.016,10
fair_mab_e0.25,500,0.6654,0.04,0.3755,0.0211,0.7969,0.0325,0.2213,0.0279,0.2316,0.0907,0.2521,0.0215,10
fair_mab_e0.75,500,0.6745,0.0366,0.3796,0.0216,0.8038,0.0278,0.228,0.0287,0.2336,0.0857,0.2532,0.0139,10
oort_tpref_p25,500,0.5855,0.0305,0.3658,0.0178,0.7303,0.0275,0.2084,0.0257,0.2782,0.0449,0.2464,0.0087,10
oort_tpref_p75,500,0.5449,0.0334,0.3566,0.0152,0.6901,0.0333,0.2321,0.0241,0.2448,0.0181,0.2595,0.0095,10
poc_d1,500,0.5987,0.0303,0.3548,0.0141,0.7448,0.0244,0.1929,0.0398,0.2297,0.0511,0.2517,0.0136,10
poc_d5,500,0.5214,0.0286,0.3459,0.0115,0.6662,0.0311,0.2199,0.0161,0.2414,0.0149,0.2562,0.0111,10
rep_cap_g0.25,500,0.6349,0.0393,0.363,0.022,0.7739,0.0297,0.1827,0.0273,0.2613,0.0864,0.2341,0.0171,10
rep_cap_g0.75,500,0.633,0.0466,0.3586,0.0178,0.7727,0.0367,0.1894,0.0316,0.2457,0.07,0.2266,0.0099,10
ucb,500,0.6669,0.0184,0.3963,0.0135,0.7983,0.0144,0.2231,0.0217,0.3156,0.0514,0.2484,0.0116,10
