harness,method,N,seed_idx,seed,partition_seed
selection_sweep,ucb,500,0,25376,5309
selection_sweep,ucb,500,1,33295,5310
selection_sweep,ucb,500,2,41214,5311
selection_sweep,ucb,500,3,49133,5312
selection_sweep,ucb,500,4,57052,5313
selection_sweep,ucb,500,5,64971,5314
selection_sweep,ucb,500,6,72890,5315
selection_sweep,ucb,500,7,80809,5316
selection_sweep,ucb,500,8,88728,5317
selection_sweep,ucb,500,9,96647,5318
selection_sweep,rep_cap_g0.25,500,0,25376,5309
selection_sweep,rep_cap_g0.25,500,1,33295,5310
selection_sweep,rep_cap_g0.25,500,2,41214,5311
selection_sweep,rep_cap_g0.25,500,3,49133,5312
selection_sweep,rep_cap_g0.25,500,4,57052,5313
selection_sweep,rep_cap_g0.25,500,5,64971,5314
selection_sweep,rep_cap_g0.25,500,6,72890,5315
selection_sweep,rep_cap_g0.25,500,7,80809,5316
selection_sweep,rep_cap_g0.25,500,8,88728,5317
selection_sweep,rep_cap_g0.25,500,9,96647,5318
selection_sweep,rep_cap_g0.75,500,0,25376,5309
selection_sweep,rep_cap_g0.75,500,1,33295,5310
selection_sweep,rep_cap_g0.75,500,2,41214,5311
selection_sweep,rep_cap_g0.75,500,3,49133,5312
selection_sweep,rep_cap_g0.75,500,4,57052,5313
selection_sweep,rep_cap_g0.75,500,5,64971,5314
selection_sweep,rep_cap_g0.75,500,6,72890,5315
selection_sweep,rep_cap_g0.75,500,7,80809,5316
selection_sweep,rep_cap_g0.75,500,8,88728,5317
selection_sweep,rep_cap_g0.75,500,9,96647,5318
selection_sweep,fair_mab_cap2x,500,0,25376,5309
selection_sweep,fair_mab_cap2x,500,1,33295,5310
selection_sweep,fair_mab_cap2x,500,2,41214,5311
selection_sweep,fair_mab_cap2x,500,3,49133,5312
selection_sweep,fair_mab_cap2x,500,4,57052,5313
selection_sweep,fair_mab_cap2x,500,5,64971,5314
selection_sweep,fair_mab_cap2x,500,6,72890,5315
selection_sweep,fair_mab_cap2x,500,7,80809,5316
selection_sweep,fair_mab_cap2x,500,8,88728,5317
selection_sweep,fair_mab_cap2x,500,9,96647,5318
selection_sweep,fair_mab_cap4x,500,0,25376,5309
selection_sweep,fair_mab_cap4x,500,1,33295,5310
selection_sweep,fair_mab_cap4x,500,2,41214,5311
selection_sweep,fair_mab_cap4x,500,3,49133,5312
selection_sweep,fair_mab_cap4x,500,4,57052,5313
selection_sweep,fair_mab_cap4x,500,5,64971,5314
selection_sweep,fair_mab_cap4x,500,6,72890,5315
selection_sweep,fair_mab_cap4x,500,7,80809,5316
selection_sweep,fair_mab_cap4x,500,8,88728,5317
selection_sweep,fair_mab_cap4x,500,9,96647,5318
selection_sweep,fair_mab_cap10x,500,0,25376,5309
selection_sweep,fair_mab_cap10x,500,1,33295,5310
