harness,method,N,K,capacity,seed_idx,job_seed,seed,partition_seed
uav,mclp_place,200,5,6,0,16076,2761,5309
uav,mclp_place,200,5,6,1,23995,27070,5310
uav,mclp_place,200,5,6,2,31914,18607,5311
uav,mclp_place,200,5,6,3,39833,44956,5312
uav,mclp_place,200,5,6,4,47752,36493,5313
uav,mclp_place,200,5,6,5,55671,60786,5314
uav,mclp_place,200,5,6,6,63590,52323,5315
uav,mclp_place,200,5,6,7,71509,74576,5316
uav,mclp_place,200,5,6,8,79428,66113,5317
uav,mclp_place,200,5,6,9,87347,90422,5318
uav,mclp_place,200,5,6,10,95266,81959,5319
uav,mclp_place,200,5,6,11,103185,108308,5320
uav,mclp_place,200,5,6,12,111104,99845,5321
uav,mclp_place,200,5,6,13,119023,124138,5322
uav,mclp_place,200,5,6,14,126942,121819,5323
uav,mclp_place,200,5,6,15,134861,146120,5324
uav,mclp_place,200,5,6,16,142780,137657,5325
uav,mclp_place,200,5,6,17,150699,161966,5326
uav,mclp_place,200,5,6,18,158618,155551,5327
uav,mclp_place,200,5,6,19,166537,179852,5328
uav,mclp_place,200,5,6,20,174456,171389,5329
uav,mclp_place,200,5,6,21,182375,195682,5330
uav,mclp_place,200,5,6,22,190294,185171,5331
uav,mclp_place,200,5,6,23,198213,209472,5332
uav,mclp_place,200,5,6,24,206132,201009,5333
uav,mclp_place,200,10,6,0,16076,2761,5309
uav,mclp_place,200,10,6,1,23995,27070,5310
uav,mclp_place,200,10,6,2,31914,18607,5311
uav,mclp_place,200,10,6,3,39833,44956,5312
uav,mclp_place,200,10,6,4,47752,36493,5313
uav,mclp_place,200,10,6,5,55671,60786,5314
uav,mclp_place,200,10,6,6,63590,52323,5315
uav,mclp_place,200,10,6,7,71509,74576,5316
uav,mclp_place,200,10,6,8,79428,66113,5317
uav,mclp_place,200,10,6,9,87347,90422,5318
uav,mclp_place,200,10,6,10,95266,81959,5319
uav,mclp_place,200,10,6,11,103185,108308,5320
uav,mclp_place,200,10,6,12,111104,99845,5321
uav,mclp_place,200,10,6,13,119023,124138,5322
uav,mclp_place,200,10,6,14,126942,121819,5323
uav,mclp_place,200,10,6,15,134861,146120,5324
uav,mclp_place,200,10,6,16,142780,137657,5325
uav,mclp_place,200,10,6,17,150699,161966,5326
uav,mclp_place,200,10,6,18,158618,155551,5327
uav,mclp_place,200,10,6,19,166537,179852,5328
uav,mclp_place,200,10,6,20,174456,171389,5329
uav,mclp_place,200,10,6,21,182375,195682,5330
uav,mclp_place,200,10,6,22,190294,185171,5331
uav,mclp_place,200,10,6,23,198213,209472,5332
uav,mclp_place,200,10,6,24,206132,201009,5333
uav,mclp_place,200,15,6,0,16076,2761,5309
uav,mclp_place,200,15,6,1,23995,27070,5310
uav,mclp_place,200,15,6,2,31914,18607,5311
uav,mclp_place,200,15,6,3,39833,44956,5312
uav,mclp_place,200,15,6,4,47752,36493,5313
uav,mclp_place,200,15,6,5,55671,60786,5314
uav,mclp_place,200,15,6,6,63590,52323,5315
uav,mclp_place,200,15,6,7,71509,74576,5316
uav,mclp_place,200,15,6,8,79428,66113,5317
uav,mclp_place,200,15,6,9,87347,90422,5318
uav,mclp_place,200,15,6,10,95266,81959,5319
uav,mclp_place,200,15,6,11,103185,108308,5320
uav,mclp_place,200,15,6,12,111104,99845,5321
uav,mclp_place,200,15,6,13,119023,124138,5322
uav,mclp_place,200,15,6,14,126942,121819,5323
uav,mclp_place,200,15,6,15,134861,146120,5324
uav,mclp_place,200,15,6,16,142780,137657,5325
uav,mclp_place,200,15,6,17,150699,161966,5326
uav,mclp_place,200,15,6,18,158618,155551,5327
uav,mclp_place,200,15,6,19,166537,179852,5328
uav,mclp_place,200,15,6,20,174456,171389,5329
uav,mclp_place,200,15,6,21,182375,195682,5330
uav,mclp_place,200,15,6,22,190294,185171,5331
uav,mclp_place,200,15,6,23,198213,209472,5332
uav,mclp_place,200,15,6,24,206132,201009,5333
uav,mclp_place,200,20,6,0,16076,2761,5309
uav,mclp_place,200,20,6,1,23995,27070,5310
uav,mclp_place,200,20,6,2,31914,18607,5311
uav,mclp_place,200,20,6,3,39833,44956,5312
uav,mclp_place,200,20,6,4,47752,36493,5313
uav,mclp_place,200,20,6,5,55671,60786,5314
uav,mclp_place,200,20,6,6,63590,52323,5315
uav,mclp_place,200,20,6,7,71509,74576,5316
uav,mclp_place,200,20,6,8,79428,66113,5317
uav,mclp_place,200,20,6,9,87347,90422,5318
uav,mclp_place,200,20,6,10,95266,81959,5319
uav,mclp_place,200,20,6,11,103185,108308,5320
uav,mclp_place,200,20,6,12,111104,99845,5321
uav,mclp_place,200,20,6,13,119023,124138,5322
uav,mclp_place,200,20,6,14,126942,121819,5323
uav,mclp_place,200,20,6,15,134861,146120,5324
uav,mclp_place,200,20,6,16,142780,137657,5325
uav,mclp_place,200,20,6,17,150699,161966,5326
uav,mclp_place,200,20,6,18,158618,155551,5327
uav,mclp_place,200,20,6,19,166537,179852,5328
uav,mclp_place,200,20,6,20,174456,171389,5329
uav,mclp_place,200,20,6,21,182375,195682,5330
uav,mclp_place,200,20,6,22,190294,185171,5331
uav,mclp_place,200,20,6,23,198213,209472,5332
uav,mclp_place,200,20,6,24,206132,201009,5333
uav,mclp_place,200,30,6,0,16076,2761,5309
uav,mclp_place,200,30,6,1,23995,27070,5310
uav,mclp_place,200,30,6,2,31914,18607,5311
uav,mclp_place,200,30,6,3,39833,44956,5312
uav,mclp_place,200,30,6,4,47752,36493,5313
uav,mclp_place,200,30,6,5,55671,60786,5314
uav,mclp_place,200,30,6,6,63590,52323,5315
uav,mclp_place,200,30,6,7,71509,74576,5316
uav,mclp_place,200,30,6,8,79428,66113,5317
uav,mclp_place,200,30,6,9,87347,90422,5318
uav,mclp_place,200,30,6,10,95266,81959,5319
uav,mclp_place,200,30,6,11,103185,108308,5320
uav,mclp_place,200,30,6,12,111104,99845,5321
uav,mclp_place,200,30,6,13,119023,124138,5322
uav,mclp_place,200,30,6,14,126942,121819,5323
uav,mclp_place,200,30,6,15,134861,146120,5324
uav,mclp_place,200,30,6,16,142780,137657,5325
uav,mclp_place,200,30,6,17,150699,161966,5326
uav,mclp_place,200,30,6,18,158618,155551,5327
uav,mclp_place,200,30,6,19,166537,179852,5328
uav,mclp_place,200,30,6,20,174456,171389,5329
uav,mclp_place,200,30,6,21,182375,195682,5330
uav,mclp_place,200,30,6,22,190294,185171,5331
uav,mclp_place,200,30,6,23,198213,209472,5332
uav,mclp_place,200,30,6,24,206132,201009,5333
