harness,method,N,K,capacity,seed_idx,job_seed,seed,partition_seed
uav,mclp_place,100,10,6,0,12976,1717,5309
uav,mclp_place,100,10,6,1,20895,26010,5310
uav,mclp_place,100,10,6,2,28814,17547,5311
uav,mclp_place,100,10,6,3,36733,47992,5312
uav,mclp_place,100,10,6,4,44652,39529,5313
uav,mclp_place,100,10,6,5,52571,63838,5314
uav,mclp_place,100,10,6,6,60490,55375,5315
uav,mclp_place,100,10,6,7,68409,81724,5316
uav,mclp_place,100,10,6,8,76328,73261,5317
uav,mclp_place,100,10,6,9,84247,97554,5318
uav,mclp_place,100,10,6,10,92166,89091,5319
uav,mclp_place,100,10,6,11,100085,111344,5320
uav,mclp_place,100,10,6,12,108004,102881,5321
uav,mclp_place,100,10,6,13,115923,127190,5322
uav,mclp_place,100,10,6,14,123842,120775,5323
uav,mclp_place,100,10,6,15,131761,145076,5324
uav,mclp_place,100,10,6,16,139680,136613,5325
uav,mclp_place,100,10,6,17,147599,160906,5326
uav,mclp_place,100,10,6,18,155518,158587,5327
uav,mclp_place,100,10,6,19,163437,150120,5328
uav,mclp_place,100,10,6,20,171356,174425,5329
uav,mclp_place,100,10,6,21,179275,165966,5330
uav,mclp_place,100,10,6,22,187194,192319,5331
uav,mclp_place,100,10,6,23,195113,183852,5332
uav,mclp_place,100,10,6,24,203032,208157,5333
uav,mclp_place,100,20,6,0,12976,1717,5309
uav,mclp_place,100,20,6,1,20895,26010,5310
uav,mclp_place,100,20,6,2,28814,17547,5311
uav,mclp_place,100,20,6,3,36733,47992,5312
uav,mclp_place,100,20,6,4,44652,39529,5313
uav,mclp_place,100,20,6,5,52571,63838,5314
uav,mclp_place,100,20,6,6,60490,55375,5315
uav,mclp_place,100,20,6,7,68409,81724,5316
uav,mclp_place,100,20,6,8,76328,73261,5317
uav,mclp_place,100,20,6,9,84247,97554,5318
uav,mclp_place,100,20,6,10,92166,89091,5319
uav,mclp_place,100,20,6,11,100085,111344,5320
uav,mclp_place,100,20,6,12,108004,102881,5321
uav,mclp_place,100,20,6,13,115923,127190,5322
uav,mclp_place,100,20,6,14,123842,120775,5323
uav,mclp_place,100,20,6,15,131761,145076,5324
uav,mclp_place,100,20,6,16,139680,136613,5325
uav,mclp_place,100,20,6,17,147599,160906,5326
uav,mclp_place,100,20,6,18,155518,158587,5327
uav,mclp_place,100,20,6,19,163437,150120,5328
uav,mclp_place,100,20,6,20,171356,174425,5329
uav,mclp_place,100,20,6,21,179275,165966,5330
uav,mclp_place,100,20,6,22,187194,192319,5331
uav,mclp_place,100,20,6,23,195113,183852,5332
uav,mclp_place,100,20,6,24,203032,208157,5333
