harness,method,N,K,capacity,seed_idx,job_seed,seed,partition_seed
uav,mclp_place,50,10,6,0,11426,6311,5309
uav,mclp_place,50,10,6,1,19345,32660,5310
uav,mclp_place,50,10,6,2,27264,24197,5311
uav,mclp_place,50,10,6,3,35183,48490,5312
uav,mclp_place,50,10,6,4,43102,40027,5313
uav,mclp_place,50,10,6,5,51021,62280,5314
uav,mclp_place,50,10,6,6,58940,53817,5315
uav,mclp_place,50,10,6,7,66859,78126,5316
uav,mclp_place,50,10,6,8,74778,69663,5317
uav,mclp_place,50,10,6,9,82697,96012,5318
uav,mclp_place,50,10,6,10,90616,87549,5319
uav,mclp_place,50,10,6,11,98535,111842,5320
uav,mclp_place,50,10,6,12,106454,109523,5321
uav,mclp_place,50,10,6,13,114373,101056,5322
uav,mclp_place,50,10,6,14,122292,125361,5323
uav,mclp_place,50,10,6,15,130211,116902,5324
uav,mclp_place,50,10,6,16,138130,143255,5325
uav,mclp_place,50,10,6,17,146049,134788,5326
uav,mclp_place,50,10,6,18,153968,159093,5327
uav,mclp_place,50,10,6,19,161887,150618,5328
uav,mclp_place,50,10,6,20,169806,172875,5329
uav,mclp_place,50,10,6,21,177725,164408,5330
uav,mclp_place,50,10,6,22,185644,188713,5331
uav,mclp_place,50,10,6,23,193563,180254,5332
uav,mclp_place,50,10,6,24,201482,206607,5333
uav,mclp_place,50,20,6,0,11426,6311,5309
uav,mclp_place,50,20,6,1,19345,32660,5310
uav,mclp_place,50,20,6,2,27264,24197,5311
uav,mclp_place,50,20,6,3,35183,48490,5312
uav,mclp_place,50,20,6,4,43102,40027,5313
uav,mclp_place,50,20,6,5,51021,62280,5314
uav,mclp_place,50,20,6,6,58940,53817,5315
uav,mclp_place,50,20,6,7,66859,78126,5316
uav,mclp_place,50,20,6,8,74778,69663,5317
uav,mclp_place,50,20,6,9,82697,96012,5318
uav,mclp_place,50,20,6,10,90616,87549,5319
uav,mclp_place,50,20,6,11,98535,111842,5320
uav,mclp_place,50,20,6,12,106454,109523,5321
uav,mclp_place,50,20,6,13,114373,101056,5322
uav,mclp_place,50,20,6,14,122292,125361,5323
uav,mclp_place,50,20,6,15,130211,116902,5324
uav,mclp_place,50,20,6,16,138130,143255,5325
uav,mclp_place,50,20,6,17,146049,134788,5326
uav,mclp_place,50,20,6,18,153968,159093,5327
uav,mclp_place,50,20,6,19,161887,150618,5328
uav,mclp_place,50,20,6,20,169806,172875,5329
uav,mclp_place,50,20,6,21,177725,164408,5330
uav,mclp_place,50,20,6,22,185644,188713,5331
uav,mclp_place,50,20,6,23,193563,180254,5332
uav,mclp_place,50,20,6,24,201482,206607,5333
