harness,method,N,seed_idx,job_seed,seed,partition_seed
paper_sweep,proposed_hfl,30,0,10806,18325,5309
paper_sweep,proposed_hfl,30,1,18725,9350,5310
paper_sweep,proposed_hfl,30,2,26644,1463,5311
paper_sweep,proposed_hfl,30,3,34563,60064,5312
paper_sweep,proposed_hfl,30,4,42482,51281,5313
paper_sweep,proposed_hfl,30,5,50401,43330,5314
paper_sweep,proposed_hfl,30,6,58320,36467,5315
paper_sweep,proposed_hfl,30,7,66239,93980,5316
paper_sweep,proposed_hfl,30,8,74158,85005,5317
paper_sweep,proposed_hfl,30,9,82077,77118,5318
paper_sweep,proposed_hfl,50,0,11426,16641,5309
paper_sweep,proposed_hfl,50,1,19345,9778,5310
paper_sweep,proposed_hfl,50,2,27264,1827,5311
paper_sweep,proposed_hfl,50,3,35183,58572,5312
paper_sweep,proposed_hfl,50,4,43102,50685,5313
paper_sweep,proposed_hfl,50,5,51021,43758,5314
paper_sweep,proposed_hfl,50,6,58940,35743,5315
paper_sweep,proposed_hfl,50,7,66859,92296,5316
paper_sweep,proposed_hfl,50,8,74778,84409,5317
paper_sweep,proposed_hfl,50,9,82697,77482,5318
paper_sweep,proposed_hfl,100,0,12976,24339,5309
paper_sweep,proposed_hfl,100,1,20895,15420,5310
paper_sweep,proposed_hfl,100,2,28814,7469,5311
paper_sweep,proposed_hfl,100,3,36733,58078,5312
paper_sweep,proposed_hfl,100,4,44652,50127,5313
paper_sweep,proposed_hfl,100,5,52571,41208,5314
paper_sweep,proposed_hfl,100,6,60490,33257,5315
paper_sweep,proposed_hfl,100,7,68409,91802,5316
paper_sweep,proposed_hfl,100,8,76328,83851,5317
paper_sweep,proposed_hfl,100,9,84247,74932,5318
paper_sweep,proposed_hfl,200,0,16076,21359,5309
paper_sweep,proposed_hfl,200,1,23995,12312,5310
paper_sweep,proposed_hfl,200,2,31914,4361,5311
paper_sweep,proposed_hfl,200,3,39833,63034,5312
paper_sweep,proposed_hfl,200,4,47752,55083,5313
paper_sweep,proposed_hfl,200,5,55671,46292,5314
paper_sweep,proposed_hfl,200,6,63590,38341,5315
paper_sweep,proposed_hfl,200,7,71509,97014,5316
paper_sweep,proposed_hfl,200,8,79428,89063,5317
paper_sweep,proposed_hfl,200,9,87347,80016,5318
