harness,method,N,seed_idx,seed,partition_seed
selection_sweep,ucb,500,0,25376,5309
selection_sweep,ucb,500,1,33295,5310
selection_sweep,ucb,500,2,41214,5311
selection_sweep,ucb,500,3,49133,5312
selection_sweep,ucb,500,4,57052,5313
selection_sweep,fair_mab,500,0,25376,5309
selection_sweep,fair_mab,500,1,33295,5310
selection_sweep,fair_mab,500,2,41214,5311
selection_sweep,fair_mab,500,3,49133,5312
selection_sweep,fair_mab,500,4,57052,5313
selection_sweep,random,500,0,25376,5309
selection_sweep,random,500,1,33295,5310
selection_sweep,random,500,2,41214,5311
selection_sweep,random,500,3,49133,5312
selection_sweep,random,500,4,57052,5313
