number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_logit_adjust_tau,params_lr,params_lr_decay,params_server_momentum,state
23,0.35896341495907197,2026-08-05 16:29:08.971744,2026-08-05 16:30:27.394414,0 days 00:01:18.422670,0.5168455510379262,0.6614465671549947,0.019267744202469548,none,0.3900506529502602,COMPLETE
22,0.35878072041702236,2026-08-05 16:27:48.891748,2026-08-05 16:29:08.947305,0 days 00:01:20.055557,0.5346249302906768,0.7344479027874043,0.015295390426054838,none,0.3558317715052268,COMPLETE
11,0.3565157840030559,2026-08-05 16:13:29.657503,2026-08-05 16:14:47.400753,0 days 00:01:17.743250,0.447491302961468,0.6636689366370077,0.025769025949347334,cosine,0.2667202859120465,COMPLETE
24,0.34800265511799483,2026-08-05 16:30:27.416775,2026-08-05 16:31:46.812834,0 days 00:01:19.396059,0.49200613834905205,0.5818918194235906,0.020809974051221432,none,0.35040969389583304,COMPLETE
21,0.3464943210127133,2026-08-05 16:26:31.124967,2026-08-05 16:27:48.864907,0 days 00:01:17.739940,0.5606859433294497,0.7653511696836888,0.011453024327866618,none,0.40273469308165366,COMPLETE
2,0.3432610293474998,2026-08-05 16:01:33.314748,2026-08-05 16:02:52.834711,0 days 00:01:19.519963,0.5225898582019461,0.8193136554280978,0.012567363850665092,none,0.2480628460175461,COMPLETE
28,0.34283007608999666,2026-08-05 16:35:44.157094,2026-08-05 16:37:03.393592,0 days 00:01:19.236498,0.7273232725169836,0.6512888377120645,0.03258350404365966,none,0.24182624617967582,COMPLETE
25,0.3386690287845444,2026-08-05 16:31:46.844169,2026-08-05 16:33:05.296901,0 days 00:01:18.452732,0.3807122741763964,0.6715379410625818,0.030517737662438274,none,0.4855414660765636,COMPLETE
18,0.3363127988577479,2026-08-05 16:22:36.715302,2026-08-05 16:23:54.937212,0 days 00:01:18.221910,0.5809042823423128,0.8636022926526368,0.009997729433297879,none,0.37584996401319526,COMPLETE
14,0.33520884247999266,2026-08-05 16:17:22.548149,2026-08-05 16:18:39.209888,0 days 00:01:16.661739,0.39712502032634256,0.522405008444238,0.014934262990456226,none,0.2878252782448691,COMPLETE
20,0.32258116288150324,2026-08-05 16:25:14.178135,2026-08-05 16:26:31.104579,0 days 00:01:16.926444,0.6854206174727601,0.9599789858360441,0.026146241397139853,cosine,0.19536492298270391,COMPLETE
12,0.3108557847642171,2026-08-05 16:14:47.421773,2026-08-05 16:16:04.453703,0 days 00:01:17.031930,0.3246622970297016,0.8058277341398868,0.07726799673768274,cosine,0.26623725823981326,COMPLETE
13,0.3102928679126589,2026-08-05 16:16:04.474497,2026-08-05 16:17:22.524693,0 days 00:01:18.050196,0.5851299414316105,1.0273415407665425,0.035718452752482484,cosine,0.2901448256339745,COMPLETE
26,0.29006572940758235,2026-08-05 16:33:05.319195,2026-08-05 16:34:25.486628,0 days 00:01:20.167433,0.477728301149203,0.353661827378573,0.01743190101611411,cosine,0.3293931580783165,COMPLETE
6,0.2822233369593749,2026-08-05 16:06:53.043869,2026-08-05 16:08:11.662457,0 days 00:01:18.618588,0.45385461455095233,0.0995502946395741,0.023528644463311172,cosine,0.7184734587043621,COMPLETE
15,0.28122167147362803,2026-08-05 16:18:39.239445,2026-08-05 16:19:58.594072,0 days 00:01:19.354627,0.547917632682658,1.1458858419599667,0.03510975818111934,cosine,0.02767217920372969,COMPLETE
3,0.26355504249146194,2026-08-05 16:02:52.857313,2026-08-05 16:04:12.061101,0 days 00:01:19.203788,0.33700288129678846,0.24486882014339173,0.06293872232602966,sqrt,0.446136196435925,COMPLETE
19,0.2585587950135381,2026-08-05 16:23:54.972093,2026-08-05 16:25:14.155421,0 days 00:01:19.183328,0.41114479078989397,0.5042884436484502,0.04707315748306312,none,0.08677277603933015,COMPLETE
17,0.24804940445386056,2026-08-05 16:21:19.043413,2026-08-05 16:22:36.694629,0 days 00:01:17.651216,0.4475831304875436,1.2538419494591915,0.014421110801452,cosine,0.19850197392216906,COMPLETE
27,0.2411131990934632,2026-08-05 16:34:25.522445,2026-08-05 16:35:44.132161,0 days 00:01:18.609716,0.6201080527125646,0.40284997170183373,0.05735976728742604,none,0.4398136186983916,COMPLETE
29,0.22642201063602155,2026-08-05 16:37:03.416688,2026-08-05 16:38:25.046666,0 days 00:01:21.629978,0.25221285969310187,0.021433495673710556,0.00735028677140074,cosine,0.33210444292886565,COMPLETE
