number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_logit_adjust_tau,params_lr,params_lr_decay,params_server_momentum,state
28,0.3721243902233646,2026-08-05 14:25:57.370672,2026-08-05 14:27:16.450409,0 days 00:01:19.079737,0.49433846836329615,0.822414653405892,0.020776032695023632,none,0.6237350685923337,COMPLETE
21,0.36635000810939417,2026-08-05 14:16:49.294825,2026-08-05 14:18:07.563437,0 days 00:01:18.268612,0.6455644872090207,0.7629655617727438,0.017140278342751194,sqrt,0.7176315346587485,COMPLETE
23,0.36355688930820035,2026-08-05 14:19:27.379086,2026-08-05 14:20:44.933026,0 days 00:01:17.553940,0.7204039687058051,0.6728023003574592,0.015480120408033047,sqrt,0.6872118482906473,COMPLETE
22,0.36322821156177204,2026-08-05 14:18:07.586688,2026-08-05 14:19:27.347232,0 days 00:01:19.760544,0.8111874982259435,0.7970019370783641,0.017947512621346442,sqrt,0.6994583080323428,COMPLETE
3,0.34078740765827037,2026-08-05 13:53:08.748588,2026-08-05 13:54:25.441895,0 days 00:01:16.693307,0.8962022109659358,0.8011848166694064,0.028624285255854635,sqrt,0.9725852919958752,COMPLETE
27,0.33985308253322793,2026-08-05 14:24:39.899746,2026-08-05 14:25:57.349312,0 days 00:01:17.449566,0.6565306954772088,0.5389647863445404,0.015591874755342579,sqrt,0.7283717099770135,COMPLETE
24,0.3389404359799965,2026-08-05 14:20:44.953436,2026-08-05 14:22:02.616795,0 days 00:01:17.663359,0.6596566673247793,0.574293984093784,0.014863698492314665,sqrt,0.6793127697658427,COMPLETE
14,0.3177000683887535,2026-08-05 14:07:39.608644,2026-08-05 14:08:59.380034,0 days 00:01:19.771390,0.80597782753369,0.9215075762868998,0.053896351735820115,sqrt,0.8581969306917583,COMPLETE
26,0.3174561697156215,2026-08-05 14:23:21.861916,2026-08-05 14:24:39.879232,0 days 00:01:18.017316,0.7373609907279451,0.7127489342169041,0.006403192482939611,sqrt,0.5842091528906891,COMPLETE
29,0.3125755101383864,2026-08-05 14:27:16.482717,2026-08-05 14:28:33.770628,0 days 00:01:17.287911,0.416384652525948,1.0530986841453285,0.00543262457741813,none,0.5930626581574325,COMPLETE
5,0.3047604823625398,2026-08-05 13:55:42.488694,2026-08-05 13:57:00.500726,0 days 00:01:18.012032,0.6157585378326392,0.788270687451855,0.002030396472387116,sqrt,0.7931743320114029,COMPLETE
20,0.3043175771655333,2026-08-05 14:15:31.625169,2026-08-05 14:16:49.273829,0 days 00:01:17.648660,0.7010075147180386,0.6551346231794152,0.03799375610069508,sqrt,0.8983160511923379,COMPLETE
1,0.3010177276131387,2026-08-05 13:50:34.540396,2026-08-05 13:51:50.981391,0 days 00:01:16.440995,0.14240956486212725,0.5962846254941547,0.01089169515085443,sqrt,0.334164925936455,COMPLETE
13,0.29980518843789256,2026-08-05 14:06:19.737343,2026-08-05 14:07:39.578200,0 days 00:01:19.840857,0.5397500694978222,0.5175786139661346,0.006873579406704609,sqrt,0.7883676034738558,COMPLETE
25,0.29170485821401787,2026-08-05 14:22:02.638064,2026-08-05 14:23:21.835320,0 days 00:01:19.197256,0.5668951508439989,0.3918331503702573,0.010777772810550756,sqrt,0.7075335625965139,COMPLETE
12,0.2855512227932562,2026-08-05 14:05:00.751778,2026-08-05 14:06:19.714223,0 days 00:01:18.962445,0.7473661813537289,0.8373128645134228,0.001284986373943863,sqrt,0.7965082704690091,COMPLETE
16,0.27222137828956156,2026-08-05 14:10:18.537003,2026-08-05 14:11:38.546036,0 days 00:01:20.009033,0.9864885097366499,0.9302534960039666,0.04820785021801523,sqrt,0.6579606064766748,COMPLETE
17,0.25596929347989056,2026-08-05 14:11:38.573789,2026-08-05 14:12:55.698006,0 days 00:01:17.124217,0.8074176044920987,0.42088128755457777,0.04561337334555398,sqrt,0.8793110658995626,COMPLETE
9,0.25374768590335456,2026-08-05 14:00:59.711997,2026-08-05 14:02:19.268877,0 days 00:01:19.556880,0.6094391030128071,0.025595296395487965,0.027263329995664675,none,0.5153062936492686,COMPLETE
19,0.2493055049005062,2026-08-05 14:14:12.700143,2026-08-05 14:15:31.601230,0 days 00:01:18.901087,0.39742129291231726,1.380125608094541,0.016382488795730895,none,0.8651893138599057,COMPLETE
7,0.2386681369333714,2026-08-05 13:58:19.557341,2026-08-05 13:59:38.782767,0 days 00:01:19.225426,0.048001031578085704,0.11451823070663125,0.02050352959828702,none,0.017913500421007967,COMPLETE
11,0.2261800816812871,2026-08-05 14:03:39.905581,2026-08-05 14:05:00.726676,0 days 00:01:20.821095,0.6819236425120594,0.7122496680150632,0.0011329901001838761,sqrt,0.9836624540064224,COMPLETE
6,0.22519837238419219,2026-08-05 13:57:00.525827,2026-08-05 13:58:19.536700,0 days 00:01:19.010873,0.8946521022104399,0.22678547301992724,0.008157979023674239,cosine,0.3915028427706215,COMPLETE
4,0.22491857707253263,2026-08-05 13:54:25.463457,2026-08-05 13:55:42.465618,0 days 00:01:17.002161,0.8860632846231591,0.3672782657392879,0.002779078317946732,cosine,0.5472791148944036,COMPLETE
2,0.17334742492607702,2026-08-05 13:51:51.002653,2026-08-05 13:53:08.718907,0 days 00:01:17.716254,0.1811648250600022,1.2233863861727763,0.0028010023791826652,cosine,0.4620845277159388,COMPLETE
18,0.1704886212285401,2026-08-05 14:12:55.719626,2026-08-05 14:14:12.678786,0 days 00:01:16.959160,0.8817482639294989,0.9827505811279801,0.09402152824283512,cosine,0.6617872654309587,COMPLETE
10,0.13668557105689375,2026-08-05 14:02:19.289637,2026-08-05 14:03:39.875864,0 days 00:01:20.586227,0.9763146860049312,1.0781082225484198,0.09818131106306745,sqrt,0.9785272029048587,COMPLETE
8,0.10617681833442083,2026-08-05 13:59:38.808392,2026-08-05 14:00:59.689808,0 days 00:01:20.881416,0.09755525712045295,1.9661134580652508,0.029152002453124923,sqrt,0.4518358683408078,COMPLETE
0,0.0949906521842487,2026-08-05 13:49:12.934464,2026-08-05 13:50:34.507366,0 days 00:01:21.572902,0.46147963349351934,1.6473457281201258,0.0028396331393097706,sqrt,0.8020797478245858,COMPLETE
15,0.018142897310783123,2026-08-05 14:08:59.404806,2026-08-05 14:10:18.515446,0 days 00:01:19.110640,0.7745193396822164,1.1767619282682633,0.0651003546786965,none,0.9897071274274816,COMPLETE
