number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_logit_adjust_tau,params_lr,params_lr_decay,params_server_momentum,state
23,0.3784083705551842,2026-09-05 16:33:19.055478,2026-09-05 16:36:00.911383,0 days 00:02:41.855905,0.338800821685026,0.6931235901557737,0.026288208456681506,cosine,0.10510903818756848,COMPLETE
24,0.37610414593741553,2026-09-05 16:36:00.931390,2026-09-05 16:38:39.457686,0 days 00:02:38.526296,0.4980328411402786,0.48590617176924145,0.018190409645051794,cosine,0.21104099241676263,COMPLETE
2,0.3739706226268679,2026-09-05 15:36:09.001339,2026-09-05 15:38:55.850039,0 days 00:02:46.848700,0.8212020499481884,0.5784536909193267,0.02181833826400102,cosine,0.14071400360835853,COMPLETE
22,0.36779254920058096,2026-09-05 16:30:37.357481,2026-09-05 16:33:19.038151,0 days 00:02:41.680670,0.49804324774415587,0.8020221101608791,0.028004694106441796,cosine,0.00012460069464854864,COMPLETE
11,0.35797727096515136,2026-09-05 16:01:11.838770,2026-09-05 16:03:39.464315,0 days 00:02:27.625545,0.4319267498073932,0.7179798735488283,0.0258635206176784,sqrt,0.007311120741262236,COMPLETE
12,0.34476726694821336,2026-09-05 16:03:39.487569,2026-09-05 16:06:13.724193,0 days 00:02:34.236624,0.4795020389932398,0.9336450159302981,0.03706835218487681,cosine,0.019828578609647762,COMPLETE
21,0.34369017873795116,2026-09-05 16:27:46.490857,2026-09-05 16:30:37.343551,0 days 00:02:50.852694,0.43873920420918616,0.9417085421379462,0.03857949577464853,cosine,0.007150117295561221,COMPLETE
15,0.3409538406575716,2026-09-05 16:11:37.330326,2026-09-05 16:14:21.212996,0 days 00:02:43.882670,0.4191862146065381,0.8649745766981599,0.022085944721171168,sqrt,0.023751040501096818,COMPLETE
9,0.3351483030386931,2026-09-05 15:55:49.524797,2026-09-05 15:58:37.813951,0 days 00:02:48.289154,0.40247896321204246,0.736971854377555,0.010347811525607974,sqrt,0.10049179577266125,COMPLETE
16,0.3211310043367131,2026-09-05 16:14:21.232287,2026-09-05 16:17:04.633609,0 days 00:02:43.401322,0.773611500975202,0.45853429757636743,0.006201896073504154,cosine,0.17443269275943135,COMPLETE
5,0.3174498559474848,2026-09-05 15:44:37.964190,2026-09-05 15:47:25.174784,0 days 00:02:47.210594,0.2819895085730797,0.3506438312701421,0.005282506411146556,none,0.4325199500636931,COMPLETE
8,0.31417456495812784,2026-09-05 15:52:59.830271,2026-09-05 15:55:49.498878,0 days 00:02:49.668607,0.8793937246094097,1.166434712926862,0.01360392816534801,cosine,0.29510694159705,COMPLETE
19,0.30658672118337255,2026-09-05 16:22:25.372143,2026-09-05 16:25:01.258460,0 days 00:02:35.886317,0.7845145188151434,1.1201511514881564,0.007451753415046215,none,0.06741772209022728,COMPLETE
14,0.2965303247367294,2026-09-05 16:08:55.609398,2026-09-05 16:11:37.311874,0 days 00:02:41.702476,0.7120390706842818,1.1303952169651144,0.024097544628924102,none,0.15572068735254418,COMPLETE
17,0.28488609404029086,2026-09-05 16:17:04.655080,2026-09-05 16:19:48.254226,0 days 00:02:43.599146,0.590247553419527,0.721934208157037,0.0010486330313568555,cosine,0.38292136353748263,COMPLETE
13,0.27757797646163823,2026-09-05 16:06:13.745266,2026-09-05 16:08:55.589377,0 days 00:02:41.844111,0.0388506198230778,0.5762384163853873,0.09144986366644596,sqrt,0.1563064288830523,COMPLETE
20,0.27587191129089733,2026-09-05 16:25:01.278118,2026-09-05 16:27:46.471296,0 days 00:02:45.193178,0.5857154847793115,0.05178405300443201,0.04325940437033586,sqrt,0.11568703009001674,COMPLETE
0,0.24757328601789255,2026-09-05 15:30:23.431993,2026-09-05 15:33:17.333770,0 days 00:02:53.901777,0.19720871568840898,0.5928749200444114,0.0025447088789625474,sqrt,0.3074493938324598,COMPLETE
10,0.24698528534422828,2026-09-05 15:58:37.836958,2026-09-05 16:01:11.821801,0 days 00:02:33.984843,0.5912212310103909,0.027069036316736184,0.04549168133219993,none,0.014143362334685883,COMPLETE
7,0.22491857707253263,2026-09-05 15:50:11.293211,2026-09-05 15:52:59.811401,0 days 00:02:48.518190,0.8662518259063612,0.2055282492006416,0.002135594364129562,sqrt,0.5956241042012165,COMPLETE
18,0.2248988933759434,2026-09-05 16:19:48.271635,2026-09-05 16:22:25.356332,0 days 00:02:37.084697,0.9873694951298304,0.326588897876661,0.018946023857882053,sqrt,0.2140968624426034,COMPLETE
3,0.18648922037707708,2026-09-05 15:38:55.870438,2026-09-05 15:41:44.680974,0 days 00:02:48.810536,0.1455573474057633,1.806416342780139,0.003410538644617924,cosine,0.6845656644453577,COMPLETE
4,0.18431818506470063,2026-09-05 15:41:44.704542,2026-09-05 15:44:37.940014,0 days 00:02:53.235472,0.2591561986627276,1.5522525994212846,0.0023689532226978216,sqrt,0.9566437848736824,COMPLETE
6,0.1786656856825977,2026-09-05 15:47:25.198161,2026-09-05 15:50:11.273731,0 days 00:02:46.075570,0.9299278767097631,1.771178044312993,0.013060208496921905,cosine,0.2602000340035572,COMPLETE
1,0.08611234170973825,2026-09-05 15:33:17.364764,2026-09-05 15:36:08.977733,0 days 00:02:51.612969,0.6716580436861898,1.9745871686383762,0.0020054754215820454,cosine,0.6617433775303497,COMPLETE
