number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_logit_adjust_tau,params_lr,params_lr_decay,params_server_momentum,state
24,0.4264169245574038,2026-09-05 15:58:08.304325,2026-09-05 15:59:46.715101,0 days 00:01:38.410776,0.40481395365808154,0.613154064781546,0.04934245326712017,cosine,0.6948222252640539,COMPLETE
15,0.40576430034090727,2026-09-05 15:42:57.941589,2026-09-05 15:44:36.684400,0 days 00:01:38.742811,0.011864333277288697,0.8490860347205476,0.05054633311935184,cosine,0.6881974540997686,COMPLETE
23,0.3995311282147782,2026-09-05 15:56:25.169638,2026-09-05 15:58:08.280645,0 days 00:01:43.111007,0.40281035808443894,0.6377472734726021,0.04419087690603418,cosine,0.5732969902548954,COMPLETE
12,0.3902174457140222,2026-09-05 15:38:00.228086,2026-09-05 15:39:39.645022,0 days 00:01:39.416936,0.7932350429878002,0.779886038316362,0.02781712591121243,none,0.6316473795161806,COMPLETE
17,0.38923981507738104,2026-09-05 15:46:20.598227,2026-09-05 15:48:04.521590,0 days 00:01:43.923363,0.5494485192727574,0.8102004561654519,0.09786557229245557,cosine,0.5356053942197715,COMPLETE
21,0.3828738499740072,2026-09-05 15:53:05.695000,2026-09-05 15:54:49.506455,0 days 00:01:43.811455,0.5523819168655335,0.8461232526109139,0.09035798779081584,cosine,0.5481740091459273,COMPLETE
22,0.3742721429466161,2026-09-05 15:54:49.530604,2026-09-05 15:56:25.146482,0 days 00:01:35.615878,0.7141768212507559,0.8531966118581125,0.09934850995122728,cosine,0.42190606888644305,COMPLETE
3,0.37272342198534253,2026-09-05 15:25:41.944043,2026-09-05 15:26:44.135807,0 days 00:01:02.191764,0.8878861178820795,1.07606718377305,0.01995277558723544,cosine,0.8570053999920071,COMPLETE
19,0.3670718171236405,2026-09-05 15:49:47.672716,2026-09-05 15:51:26.394876,0 days 00:01:38.722160,0.4512798064025362,0.8999198327366666,0.03189452296433064,none,0.5729722565636607,COMPLETE
0,0.36332115167380885,2026-09-05 15:22:27.150667,2026-09-05 15:23:33.204218,0 days 00:01:06.053551,0.7458968948052672,0.7231531330232297,0.02068195234288964,none,0.3421281019608583,COMPLETE
20,0.36307728060226313,2026-09-05 15:51:26.419202,2026-09-05 15:53:05.670683,0 days 00:01:39.251481,0.5962241181207008,0.5252691615158417,0.06282623148375882,none,0.7155991701638416,COMPLETE
10,0.3584692343072183,2026-09-05 15:34:40.020030,2026-09-05 15:36:18.467237,0 days 00:01:38.447207,0.953586057326135,0.7526508954986059,0.05748231692871295,cosine,0.06534961143796697,COMPLETE
13,0.3488749148011301,2026-09-05 15:39:39.669374,2026-09-05 15:41:23.888072,0 days 00:01:44.218698,0.819040731859143,0.9860602701567596,0.0345466810666847,none,0.6620016841383196,COMPLETE
11,0.3430710760382853,2026-09-05 15:36:18.491942,2026-09-05 15:38:00.196199,0 days 00:01:41.704257,0.8995116761380091,0.6341050323524688,0.020190634913182466,none,0.3266196778220162,COMPLETE
16,0.3302186025997307,2026-09-05 15:44:36.698620,2026-09-05 15:46:20.573704,0 days 00:01:43.875084,0.06570637848973533,0.4345604487474557,0.059494666964797,none,0.649338999876599,COMPLETE
9,0.3275004300474533,2026-09-05 15:33:02.518551,2026-09-05 15:34:39.993663,0 days 00:01:37.475112,0.26088296989973275,1.2212515579724197,0.029495108626703164,cosine,0.7806095733614683,COMPLETE
6,0.31519366003748805,2026-09-05 15:28:49.227314,2026-09-05 15:29:54.590458,0 days 00:01:05.363144,0.20275831426185859,1.061937596164739,0.011782108422217165,cosine,0.6362276896980086,COMPLETE
2,0.3092558841789939,2026-09-05 15:24:37.212027,2026-09-05 15:25:41.923631,0 days 00:01:04.711604,0.6931452255814489,0.0002674598976286635,0.006666109420266028,cosine,0.9579862990107556,COMPLETE
8,0.3068899039226634,2026-09-05 15:31:18.771489,2026-09-05 15:33:02.495102,0 days 00:01:43.723613,0.36386631302782685,0.40496000550996936,0.006233275017484614,sqrt,0.8895302935647063,COMPLETE
14,0.303672899998863,2026-09-05 15:41:23.912324,2026-09-05 15:42:57.920249,0 days 00:01:34.007925,0.9842073404239573,1.0983664255189352,0.013146855681007383,none,0.9501575124400791,COMPLETE
18,0.30050497738430426,2026-09-05 15:48:04.544505,2026-09-05 15:49:47.648582,0 days 00:01:43.104077,0.003116927218076663,1.3575098597043436,0.04612746531948831,cosine,0.7355714155925791,COMPLETE
5,0.22803709699953068,2026-09-05 15:27:46.521199,2026-09-05 15:28:49.212458,0 days 00:01:02.691259,0.2560193102215131,1.326940602535433,0.09424080544784652,sqrt,0.4024271181186511,COMPLETE
7,0.07070993891066936,2026-09-05 15:29:54.604341,2026-09-05 15:31:18.746395,0 days 00:01:24.142054,0.48016928062460923,1.708067251584894,0.002179475919314594,none,0.5176557115961002,COMPLETE
1,0.0627557079435442,2026-09-05 15:23:33.233694,2026-09-05 15:24:37.198121,0 days 00:01:03.964427,0.6276355530244866,1.576654548040335,0.0019478666597196005,sqrt,0.820230854776452,COMPLETE
4,0.012810998922834589,2026-09-05 15:26:44.150267,2026-09-05 15:27:46.506968,0 days 00:01:02.356701,0.2114727216220406,1.997735860326997,0.0010178332991220055,sqrt,0.7929018293771268,COMPLETE
