number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_logit_adjust_tau,params_lr,params_lr_decay,params_server_momentum,state
19,0.3778823542661887,2026-09-05 21:06:09.495554,2026-09-05 21:07:51.920796,0 days 00:01:42.425242,0.6408993147121768,0.6681738193656099,0.02792679274929422,cosine,0.07208915623953532,COMPLETE
3,0.3736150759993757,2026-09-05 20:38:55.619122,2026-09-05 20:40:38.459233,0 days 00:01:42.840111,0.4329719608912298,0.682864218009237,0.02159459104415736,sqrt,0.6780687893145817,COMPLETE
21,0.37218545963989486,2026-09-05 21:09:33.000172,2026-09-05 21:11:13.873430,0 days 00:01:40.873258,0.6130475747210357,0.6696289117093063,0.02783471321377328,cosine,0.005764234756288816,COMPLETE
24,0.37210015924198725,2026-09-05 21:14:39.215381,2026-09-05 21:16:21.392827,0 days 00:01:42.177446,0.5512861512443806,0.7242184294678947,0.01128775098509734,cosine,0.18655822003567407,COMPLETE
22,0.37128040106833066,2026-09-05 21:11:13.890008,2026-09-05 21:12:56.927718,0 days 00:01:43.037710,0.6722230942565395,0.6838413544966424,0.027319547682544184,cosine,0.030572148542641342,COMPLETE
18,0.36767802443363656,2026-09-05 21:04:26.544636,2026-09-05 21:06:09.481734,0 days 00:01:42.937098,0.5891120528174515,0.742864954819606,0.02464269375747671,cosine,0.27069585888849024,COMPLETE
13,0.35788764536789475,2026-09-05 20:55:57.340847,2026-09-05 20:57:37.684906,0 days 00:01:40.344059,0.4705159512089844,0.9004415732952137,0.014301168103513062,cosine,0.46975274308893367,COMPLETE
23,0.3565801657017175,2026-09-05 21:12:56.943063,2026-09-05 21:14:39.194535,0 days 00:01:42.251472,0.4402565582104955,0.44541722445770815,0.019507700123769598,cosine,0.030722038287052097,COMPLETE
14,0.34852180567996455,2026-09-05 20:57:37.705565,2026-09-05 20:59:20.761073,0 days 00:01:43.055508,0.4017336707978407,0.5699953585803595,0.01208253484782006,sqrt,0.5004898283361613,COMPLETE
16,0.3448965971186817,2026-09-05 21:01:02.322825,2026-09-05 21:02:42.801726,0 days 00:01:40.478901,0.34335174776315314,0.8602004193004491,0.015215693059373927,sqrt,0.5084704658712405,COMPLETE
12,0.33973368863379766,2026-09-05 20:54:15.242157,2026-09-05 20:55:57.321286,0 days 00:01:42.079129,0.9811442451659578,0.961753955060316,0.021539999232546927,cosine,0.42452783141395534,COMPLETE
15,0.31217444979047715,2026-09-05 20:59:20.775430,2026-09-05 21:01:02.308683,0 days 00:01:41.533253,0.530850164504823,0.4343748426167719,0.005410646040341065,cosine,0.22305135186253228,COMPLETE
2,0.3058202533763927,2026-09-05 20:37:14.173934,2026-09-05 20:38:55.604593,0 days 00:01:41.430659,0.9319527802622518,1.1475946866080702,0.0344792897619583,cosine,0.34103760157433555,COMPLETE
20,0.30208196471781085,2026-09-05 21:07:51.935390,2026-09-05 21:09:32.986497,0 days 00:01:41.051107,0.6655482925949822,0.20561116189778206,0.03791198989295042,sqrt,0.2908948534431126,COMPLETE
5,0.2930352354290146,2026-09-05 20:42:20.998424,2026-09-05 20:44:02.373674,0 days 00:01:41.375250,0.6170793851647219,1.1160099849918252,0.006451318691317185,sqrt,0.6534059092718721,COMPLETE
8,0.2902353305400085,2026-09-05 20:47:29.012909,2026-09-05 20:49:10.079247,0 days 00:01:41.066338,0.1180230699297429,0.6501213837755315,0.00817361974567382,none,0.8969241933621013,COMPLETE
4,0.2719205621539205,2026-09-05 20:40:38.482743,2026-09-05 20:42:20.984536,0 days 00:01:42.501793,0.21514394475362156,1.2192674760881954,0.002561144354195221,none,0.5671720073570389,COMPLETE
10,0.26700678536411854,2026-09-05 20:50:50.648252,2026-09-05 20:52:34.214910,0 days 00:01:43.566658,0.37461493917470756,0.016065387045932633,0.016177645684287617,sqrt,0.9220969974176627,COMPLETE
0,0.25716198120028005,2026-09-05 20:33:45.841679,2026-09-05 20:35:30.082731,0 days 00:01:44.241052,0.7733687476248019,0.5181362602430959,0.049982158251525965,none,0.6592939117951279,COMPLETE
11,0.24611490967030838,2026-09-05 20:52:34.229136,2026-09-05 20:54:15.228161,0 days 00:01:40.999025,0.928378218510084,0.8204234312204589,0.09969722258249764,cosine,0.3601819369823583,COMPLETE
17,0.229821289137207,2026-09-05 21:02:42.821394,2026-09-05 21:04:26.530196,0 days 00:01:43.708802,0.024287378959352235,0.31282485099168167,0.0010613220564672636,sqrt,0.8033590490334986,COMPLETE
6,0.2234190614168606,2026-09-05 20:44:02.390209,2026-09-05 20:45:45.465486,0 days 00:01:43.075277,0.5122745089462749,1.3668940700207757,0.04615275523301886,cosine,0.6601296312898087,COMPLETE
1,0.2038189347714031,2026-09-05 20:35:30.105650,2026-09-05 20:37:14.159548,0 days 00:01:44.053898,0.260507558914583,1.5292489284032416,0.026151258582818936,none,0.10845292531978451,COMPLETE
9,0.19631670059088321,2026-09-05 20:49:10.093427,2026-09-05 20:50:50.632353,0 days 00:01:40.538926,0.13179049365106732,1.635486821110002,0.0021125132159880997,none,0.8040827557931767,COMPLETE
7,0.08752198894613787,2026-09-05 20:45:45.480119,2026-09-05 20:47:28.998908,0 days 00:01:43.518789,0.793322069632624,1.8224826196839006,0.0678649040956184,sqrt,0.6885623259397371,COMPLETE
