number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_logit_adjust_tau,params_lr,params_lr_decay,params_server_momentum,state
9,0.3437273247554475,2026-08-27 23:15:52.422734,2026-08-27 23:16:41.947942,0 days 00:00:49.525208,0.08449638977664212,0.7872508154724476,0.016714610243075474,sqrt,0.6850090258133509,COMPLETE
29,0.33981156198720547,2026-08-27 23:32:10.531051,2026-08-27 23:32:59.012909,0 days 00:00:48.481858,0.009256012132877911,0.5684712021412393,0.02446941026290353,cosine,0.6648094075679213,COMPLETE
23,0.33720843608388557,2026-08-27 23:27:15.770748,2026-08-27 23:28:05.457641,0 days 00:00:49.686893,0.7622783096668708,0.6189599904326751,0.023330370023221882,sqrt,0.8408787630157101,COMPLETE
11,0.33526435408305755,2026-08-27 23:17:31.717366,2026-08-27 23:18:21.226890,0 days 00:00:49.509524,0.9471870069141538,0.8294103743984177,0.030602355335035365,sqrt,0.6558453859223186,COMPLETE
2,0.331886220627001,2026-08-27 23:10:03.844291,2026-08-27 23:10:51.464767,0 days 00:00:47.620476,0.965892904619826,0.8000928606955737,0.018751857697714532,sqrt,0.8230704666415115,COMPLETE
22,0.3306852379226555,2026-08-27 23:26:28.798950,2026-08-27 23:27:15.753966,0 days 00:00:46.955016,0.881134097277015,0.8750935637708793,0.015879655605269244,sqrt,0.739408279081303,COMPLETE
27,0.32795824737823986,2026-08-27 23:30:31.413870,2026-08-27 23:31:21.297753,0 days 00:00:49.883883,0.7841477122090137,0.6645285049958847,0.035700686847555535,sqrt,0.7685531450147064,COMPLETE
15,0.32499010358087516,2026-08-27 23:20:47.692147,2026-08-27 23:21:35.977398,0 days 00:00:48.285251,0.7015760077119986,0.5659238941969018,0.01883145677652101,sqrt,0.4729701792401531,COMPLETE
0,0.30643602618800486,2026-08-27 23:08:23.771451,2026-08-27 23:09:14.905050,0 days 00:00:51.133599,0.06993098603101117,0.5693685305786336,0.010468507220306279,cosine,0.26032994990439895,COMPLETE
26,0.3050628726813998,2026-08-27 23:29:42.051520,2026-08-27 23:30:31.399759,0 days 00:00:49.348239,0.6732724112656996,0.9510278483775625,0.02822751600002421,sqrt,0.9105701157661764,COMPLETE
13,0.29822831617626683,2026-08-27 23:19:09.008065,2026-08-27 23:19:58.259832,0 days 00:00:49.251767,0.002224748665657139,1.0756050978629337,0.024432484152279027,sqrt,0.6684402174371487,COMPLETE
10,0.29760220983150704,2026-08-27 23:16:41.968451,2026-08-27 23:17:31.703659,0 days 00:00:49.735208,0.24217761657438117,0.9738645366942162,0.0019799676136901573,none,0.5886910409568966,COMPLETE
21,0.2883596203655498,2026-08-27 23:25:39.441781,2026-08-27 23:26:28.778103,0 days 00:00:49.336322,0.9875813812253768,0.800870335073187,0.018484239944764887,sqrt,0.8299115730205421,COMPLETE
