number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_logit_adjust_tau,params_lr,params_lr_decay,params_server_momentum,state
27,0.34436674216913987,2026-08-27 23:55:33.478938,2026-08-27 23:56:17.180408,0 days 00:00:43.701470,0.7530181179925275,0.5291872028886038,0.014224739722242927,none,0.6111621102958871,COMPLETE
24,0.33965485705588927,2026-08-27 23:53:20.176498,2026-08-27 23:54:04.109469,0 days 00:00:43.932971,0.7291936609397343,0.7717676099544067,0.007633813834248022,none,0.5557279707154246,COMPLETE
25,0.3310203965906951,2026-08-27 23:54:04.140359,2026-08-27 23:54:48.621959,0 days 00:00:44.481600,0.7632217303901478,0.6094621633551488,0.009519903295296974,cosine,0.5439716119881142,COMPLETE
21,0.3274634159882146,2026-08-27 23:51:06.528357,2026-08-27 23:51:50.919165,0 days 00:00:44.390808,0.6010765783452393,0.8830287604435766,0.022302311777519297,none,0.4025955195174339,COMPLETE
9,0.32689491651848773,2026-08-27 23:42:07.874300,2026-08-27 23:42:54.229390,0 days 00:00:46.355090,0.44167609882313097,0.6620574158522747,0.004712078204899195,cosine,0.9116503046057082,COMPLETE
29,0.32243415563364997,2026-08-27 23:57:01.453268,2026-08-27 23:57:45.954692,0 days 00:00:44.501424,0.8194964006343146,0.5458749177656327,0.009687007017054331,cosine,0.6201058235580468,COMPLETE
2,0.31899358283761164,2026-08-27 23:36:51.798394,2026-08-27 23:37:37.549648,0 days 00:00:45.751254,0.3960000978372271,0.7870059824230067,0.0029605066460124682,none,0.3292976246686707,COMPLETE
15,0.31668776824792433,2026-08-27 23:46:37.583969,2026-08-27 23:47:21.698935,0 days 00:00:44.114966,0.6243889076470651,0.891426490771366,0.01695179606576936,none,0.06273767000756125,COMPLETE
20,0.31178744782292045,2026-08-27 23:50:21.566483,2026-08-27 23:51:06.514133,0 days 00:00:44.947650,0.4040510325193465,0.3971366749473062,0.005732046105257883,none,0.8364524311522535,COMPLETE
3,0.30979657903808544,2026-08-27 23:37:37.564361,2026-08-27 23:38:22.482187,0 days 00:00:44.917826,0.06354858614447184,0.7669898371423596,0.0037230249803291583,sqrt,0.7751966532052198,COMPLETE
26,0.3038918094074976,2026-08-27 23:54:48.642523,2026-08-27 23:55:33.465373,0 days 00:00:44.822850,0.7319095691848017,0.9631232174790654,0.009080277496557779,none,0.5455240408992618,COMPLETE
22,0.2909968156983083,2026-08-27 23:51:50.934077,2026-08-27 23:52:35.949637,0 days 00:00:45.015560,0.6577816412995623,1.0071536178963092,0.029220883654835203,none,0.3951122670029663,COMPLETE
8,0.2879403069083661,2026-08-27 23:41:22.146667,2026-08-27 23:42:07.854631,0 days 00:00:45.707964,0.33984042611482407,0.6044395276147576,0.003707437807890821,none,0.2199652050907297,COMPLETE
5,0.28705411706418843,2026-08-27 23:39:07.815620,2026-08-27 23:39:54.150723,0 days 00:00:46.335103,0.5134458654797016,0.9197294322185474,0.0029456681967589965,cosine,0.3154976177732478,COMPLETE
28,0.2845921991971138,2026-08-27 23:56:17.194227,2026-08-27 23:57:01.439552,0 days 00:00:44.245325,0.7609047863520247,0.3699939755479247,0.01350160234428767,sqrt,0.644196610068782,COMPLETE
12,0.27871786566924817,2026-08-27 23:44:24.092214,2026-08-27 23:45:08.689591,0 days 00:00:44.597377,0.23835463141964713,0.3011109361517713,0.007550299122371065,none,0.46716452643415407,COMPLETE
18,0.2679317395106671,2026-08-27 23:48:51.355633,2026-08-27 23:49:37.387703,0 days 00:00:46.032070,0.19416183554551314,0.255583904399334,0.005196871143217094,none,0.5567702813788947,COMPLETE
