number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_logit_adjust_tau,params_lr,params_lr_decay,params_server_momentum,state
27,0.34665805562085866,2026-08-26 04:03:21.116952,2026-08-26 04:04:09.852959,0 days 00:00:48.736007,0.7072631620009868,0.791528837568461,0.016345770352693363,cosine,0.8150985436297749,COMPLETE
24,0.33532475398294315,2026-08-26 04:00:53.439607,2026-08-26 04:01:42.650665,0 days 00:00:49.211058,0.7508707046222323,0.8078976938491029,0.007486055734972025,cosine,0.8715099946504501,COMPLETE
22,0.33402409860784005,2026-08-26 03:59:13.491277,2026-08-26 04:00:03.365514,0 days 00:00:49.874237,0.5922248410967625,0.7795789418318262,0.0072908635922151865,cosine,0.8633492866567649,COMPLETE
13,0.33337671968808147,2026-08-26 03:51:54.456610,2026-08-26 03:52:43.337098,0 days 00:00:48.880488,0.748877072369637,0.746072720947215,0.005741614133238835,cosine,0.7390067694698599,COMPLETE
29,0.33129440950968714,2026-08-26 04:04:57.833114,2026-08-26 04:05:47.430124,0 days 00:00:49.597010,0.7004783893152585,0.8873966270465956,0.016672461164700426,sqrt,0.804618626924576,COMPLETE
14,0.3303332377535562,2026-08-26 03:52:43.351193,2026-08-26 03:53:32.136293,0 days 00:00:48.785100,0.7589361713160545,0.7983951601354088,0.005184318440151667,cosine,0.748809760080709,COMPLETE
21,0.32703465464191667,2026-08-26 03:58:24.102282,2026-08-26 03:59:13.476854,0 days 00:00:49.374572,0.6424240777490883,0.6828402151457177,0.007158325681089348,cosine,0.8902489658771493,COMPLETE
12,0.32377832534036616,2026-08-26 03:51:04.192691,2026-08-26 03:51:54.443343,0 days 00:00:50.250652,0.6703335296943005,0.698445859376835,0.007667452863531357,cosine,0.9498076408608546,COMPLETE
11,0.31477381319782144,2026-08-26 03:50:15.343549,2026-08-26 03:51:04.178303,0 days 00:00:48.834754,0.6525106932958993,0.6180032226773979,0.011272901498774563,cosine,0.9663284862816951,COMPLETE
18,0.3113332901718216,2026-08-26 03:55:57.613472,2026-08-26 03:56:46.506781,0 days 00:00:48.893309,0.7232649989904595,0.8007723705321884,0.002989035186617812,cosine,0.622050072856025,COMPLETE
15,0.3113012856554665,2026-08-26 03:53:32.150387,2026-08-26 03:54:20.616573,0 days 00:00:48.466186,0.8005101561947002,0.927490386773435,0.00432243677801825,cosine,0.7279861496516147,COMPLETE
26,0.30649442538144483,2026-08-26 04:02:31.279969,2026-08-26 04:03:21.102365,0 days 00:00:49.822396,0.5835389148548105,0.48764298452567,0.00668323540727065,cosine,0.889764536367237,COMPLETE
23,0.30130342635262913,2026-08-26 04:00:03.380378,2026-08-26 04:00:53.425080,0 days 00:00:50.044702,0.5583981781954495,0.964587225176005,0.0037974291096136946,cosine,0.7772507531176082,COMPLETE
10,0.29773578864180444,2026-08-26 03:49:26.477046,2026-08-26 03:50:15.329056,0 days 00:00:48.852010,0.6560583406765641,0.6151060842495534,0.010485603556995012,cosine,0.9875423002309462,COMPLETE
4,0.2906832178064712,2026-08-26 03:44:29.478550,2026-08-26 03:45:17.487320,0 days 00:00:48.008770,0.5105667635131356,0.28404121978079133,0.013448443407979746,cosine,0.8160466070717274,COMPLETE
25,0.2860182470602102,2026-08-26 04:01:42.665437,2026-08-26 04:02:31.265673,0 days 00:00:48.600236,0.862199629359401,1.0689488820328288,0.009292828415848477,cosine,0.8630203994695584,COMPLETE
17,0.27418478238843275,2026-08-26 03:55:08.792541,2026-08-26 03:55:57.599638,0 days 00:00:48.807097,0.8626487235933913,0.47415622717369277,0.005296858167986095,cosine,0.7822304840587635,COMPLETE
28,0.2700736987410062,2026-08-26 04:04:09.867100,2026-08-26 04:04:57.817728,0 days 00:00:47.950628,0.855788351837997,1.0584082831348123,0.016884367098989765,none,0.9361741199729052,COMPLETE
5,0.2644462105770817,2026-08-26 03:45:17.501247,2026-08-26 03:46:07.907382,0 days 00:00:50.406135,0.818184674146572,0.18438156531394,0.017123232226237423,cosine,0.6780335600361299,COMPLETE
20,0.2593915110817409,2026-08-26 03:57:34.908520,2026-08-26 03:58:24.077462,0 days 00:00:49.168942,0.7362855646424913,0.5045247734194582,0.003699609783821045,cosine,0.611199104142492,COMPLETE
9,0.24968512211776162,2026-08-26 03:48:37.447238,2026-08-26 03:49:26.462825,0 days 00:00:49.015587,0.3797103716093821,0.36034509351935773,0.004414414905713671,sqrt,0.8875388317323685,COMPLETE
19,0.22781991747466226,2026-08-26 03:56:46.520450,2026-08-26 03:57:34.894769,0 days 00:00:48.374319,0.911786460260744,0.014776404277377475,0.006350428336988581,none,0.8452210397354002,COMPLETE
16,0.22707539287835668,2026-08-26 03:54:20.631069,2026-08-26 03:55:08.778521,0 days 00:00:48.147452,0.8000569522174719,0.8698998597482758,0.09848442131518617,cosine,0.6917622247145327,COMPLETE
1,0.22491857707253263,2026-08-26 03:42:02.247375,2026-08-26 03:42:51.878549,0 days 00:00:49.631174,0.9365539282011359,0.08990881319621535,0.002337060291574273,sqrt,0.4816790649622602,COMPLETE
2,0.14899239733482714,2026-08-26 03:42:51.893186,2026-08-26 03:43:40.748815,0 days 00:00:48.855629,0.42515392715982575,1.5548363170745967,0.03676441830711744,sqrt,0.1596330210893551,COMPLETE
7,0.12795895488605946,2026-08-26 03:46:57.429680,2026-08-26 03:47:47.569095,0 days 00:00:50.139415,0.9724674951642541,1.169143740769091,0.001492014265078544,none,0.33199907364079734,COMPLETE
8,0.12667922869370649,2026-08-26 03:47:47.583534,2026-08-26 03:48:37.433055,0 days 00:00:49.849521,0.025143192715898856,1.219105312257256,0.041831440900227126,none,0.4987893405271685,COMPLETE
0,0.05750047207472465,2026-08-26 03:41:10.248180,2026-08-26 03:42:02.218633,0 days 00:00:51.970453,0.3951666874134429,1.5089081860945084,0.002525958903456031,sqrt,0.36997217095931223,COMPLETE
6,0.0527648671959168,2026-08-26 03:46:07.921513,2026-08-26 03:46:57.413388,0 days 00:00:49.491875,0.5744298098803023,1.4746342760700555,0.0018191206075936182,cosine,0.11727718022211887,COMPLETE
3,0.029159621461076746,2026-08-26 03:43:40.762967,2026-08-26 03:44:29.457793,0 days 00:00:48.694826,0.2733446218351869,1.8857173498582382,0.0010988583879476684,none,0.5026493042381818,COMPLETE
