number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_logit_adjust_tau,params_lr,params_lr_decay,params_server_momentum,state
22,0.3424570123804114,2026-08-26 04:44:50.092019,2026-08-26 04:45:21.881935,0 days 00:00:31.789916,0.43286560791187356,0.7221326899986605,0.0382124160926631,cosine,0.9181979795989546,COMPLETE
24,0.34207194297662163,2026-08-26 04:45:53.085039,2026-08-26 04:46:24.445539,0 days 00:00:31.360500,0.45420185265140706,0.7925701109138124,0.03881026167444533,cosine,0.8946356115111519,COMPLETE
21,0.3382033286805348,2026-08-26 04:44:18.705439,2026-08-26 04:44:50.078404,0 days 00:00:31.372965,0.461215523356599,0.7498112035931083,0.03871545501551416,cosine,0.7686520105614407,COMPLETE
5,0.3328549141747427,2026-08-26 04:35:50.067290,2026-08-26 04:36:21.617701,0 days 00:00:31.550411,0.7575305096522048,0.7044894519732452,0.043945697840435526,sqrt,0.9430008251185493,COMPLETE
17,0.3270307585951316,2026-08-26 04:42:12.299828,2026-08-26 04:42:44.195521,0 days 00:00:31.895693,0.5522734944787856,0.6115775869457531,0.09357302664764006,cosine,0.9786119220845029,COMPLETE
23,0.3215442583428431,2026-08-26 04:45:21.896192,2026-08-26 04:45:53.062180,0 days 00:00:31.165988,0.4289245627462268,0.9153384591122025,0.03556167167653238,cosine,0.7960560099674459,COMPLETE
11,0.3215122157939873,2026-08-26 04:39:00.395245,2026-08-26 04:39:32.388579,0 days 00:00:31.993334,0.02814488212033138,0.7401572327457001,0.022354934883146202,cosine,0.6994159680213617,COMPLETE
20,0.3197348306536217,2026-08-26 04:43:46.928387,2026-08-26 04:44:18.691174,0 days 00:00:31.762787,0.583661615483766,0.5343295967902697,0.05085399492647078,cosine,0.9841643222865051,COMPLETE
26,0.31449350008700977,2026-08-26 04:46:55.936366,2026-08-26 04:47:27.282326,0 days 00:00:31.345960,0.35896402192691224,0.821910194182275,0.015958225516630477,cosine,0.7699488123457175,COMPLETE
13,0.30826618103011744,2026-08-26 04:40:04.612116,2026-08-26 04:40:36.713997,0 days 00:00:32.101881,0.006361521587564929,0.8364018850713124,0.023478112405259106,sqrt,0.5905253106495283,COMPLETE
27,0.30806727555345764,2026-08-26 04:47:27.296467,2026-08-26 04:47:58.663962,0 days 00:00:31.367495,0.2721083258316056,0.4251492794695709,0.0592850851028012,cosine,0.8850526587970222,COMPLETE
29,0.3075622337863582,2026-08-26 04:48:30.040069,2026-08-26 04:49:01.334459,0 days 00:00:31.294390,0.2838407521861359,0.5612497842861972,0.0594006596170248,cosine,0.5714402263554914,COMPLETE
18,0.3060466049659156,2026-08-26 04:42:44.209339,2026-08-26 04:43:15.646884,0 days 00:00:31.437545,0.5481433034645788,0.4786922748880595,0.08333152953152581,sqrt,0.9896544531033743,COMPLETE
25,0.30028014445430956,2026-08-26 04:46:24.466303,2026-08-26 04:46:55.922731,0 days 00:00:31.456428,0.43619930391131245,1.018503893276448,0.034024695611368165,cosine,0.8856475727256937,COMPLETE
16,0.2912318099512435,2026-08-26 04:41:40.372359,2026-08-26 04:42:12.285838,0 days 00:00:31.913479,0.7850852925804909,0.9381216568828366,0.013648845117033875,sqrt,0.6010422103791966,COMPLETE
7,0.283284451930042,2026-08-26 04:36:53.459550,2026-08-26 04:37:25.057867,0 days 00:00:31.598317,0.13878560713276614,0.8142977375600238,0.0056883528297375875,cosine,0.8322673049969226,COMPLETE
14,0.2744857399468899,2026-08-26 04:40:36.727625,2026-08-26 04:41:08.530636,0 days 00:00:31.803011,0.5240091068168611,0.373760812702124,0.0414179139487623,none,0.9487757818439249,COMPLETE
12,0.2741154612610404,2026-08-26 04:39:32.402013,2026-08-26 04:40:04.598436,0 days 00:00:32.196423,0.007152701157157937,0.3721830444579438,0.024973314500703257,cosine,0.6831933741852129,COMPLETE
28,0.2724636698940507,2026-08-26 04:47:58.677465,2026-08-26 04:48:30.025484,0 days 00:00:31.348019,0.4557399592980702,0.2972744664606356,0.03234605627328436,cosine,0.7603867927548483,COMPLETE
8,0.26510291495151056,2026-08-26 04:37:25.072672,2026-08-26 04:37:56.910620,0 days 00:00:31.837948,0.6971500559649326,1.0157882483282308,0.0031509480853734316,none,0.7236210848764618,COMPLETE
4,0.26267628071656257,2026-08-26 04:35:18.303447,2026-08-26 04:35:50.053834,0 days 00:00:31.750387,0.654974735750685,0.6598610126637174,0.0032396477050810044,cosine,0.8800878724488326,COMPLETE
19,0.23608117540154894,2026-08-26 04:43:15.660602,2026-08-26 04:43:46.914557,0 days 00:00:31.253955,0.7833748655585802,0.09867879842105132,0.09656092094382225,none,0.8305321704043933,COMPLETE
3,0.23438365324085264,2026-08-26 04:34:46.385964,2026-08-26 04:35:18.289566,0 days 00:00:31.903602,0.6495931675745394,0.6153497103402166,0.008915893148048772,cosine,0.381691538904687,COMPLETE
1,0.22491857707253263,2026-08-26 04:33:42.428532,2026-08-26 04:34:14.466698,0 days 00:00:32.038166,0.1862709281406971,0.02407006968587644,0.0019138418741464279,cosine,0.34896040723411126,COMPLETE
9,0.18182933226714884,2026-08-26 04:37:56.927563,2026-08-26 04:38:28.626635,0 days 00:00:31.699072,0.3847572494407166,1.2061536537328308,0.07179623216633903,sqrt,0.11720990631329022,COMPLETE
0,0.1391546282113002,2026-08-26 04:33:07.437499,2026-08-26 04:33:42.410316,0 days 00:00:34.972817,0.3046395514554438,1.3536608349679131,0.05624087000160216,sqrt,0.3392834344502194,COMPLETE
2,0.12577769941038633,2026-08-26 04:34:14.481141,2026-08-26 04:34:46.371756,0 days 00:00:31.890615,0.8594189804711945,1.4366440310128743,0.00900424242304556,none,0.8822685657806846,COMPLETE
15,0.10373371170814051,2026-08-26 04:41:08.550888,2026-08-26 04:41:40.356184,0 days 00:00:31.805296,0.32657014597534906,1.9583623718659642,0.08265348066608923,cosine,0.8126663441166762,COMPLETE
6,0.07579212573572265,2026-08-26 04:36:21.635049,2026-08-26 04:36:53.445339,0 days 00:00:31.810290,0.48157232789387744,1.1521325325555376,0.0024058506910925167,sqrt,0.7250676630826589,COMPLETE
10,0.05842095573321504,2026-08-26 04:38:28.640744,2026-08-26 04:39:00.381371,0 days 00:00:31.740627,0.9692238606844935,1.7208240690656036,0.0269427167855862,sqrt,0.9713786598802661,COMPLETE
