number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_fitness_0,params_fitness_1,params_fitness_2,params_logit_adjust_tau,params_lr,params_lr_decay,params_reputation_0,params_reputation_1,params_reputation_2,params_sel_gumbel_scale,params_sel_priority_0,params_sel_priority_1,params_sel_static_blend,params_server_momentum,params_utility_0,params_utility_1,params_utility_2,params_utility_3,state
0,-inf,2026-08-26 03:40:37.185961,2026-08-26 03:40:40.190492,0 days 00:00:03.004531,0.1534384394089944,0.10628951138709705,0.08814398781886747,0.9162467583170726,0.5097034266131331,0.05581623903601119,none,0.8453029739700328,0.6372430420499291,0.9667556526996889,0.7023825268408327,0.6910945772510071,0.557228689035881,0.45171256489658707,0.38221821956636703,0.6914245407150158,0.27223700827340985,0.08852288089776965,0.8368038865527851,COMPLETE
1,-inf,2026-08-26 03:40:40.217382,2026-08-26 03:40:40.452764,0 days 00:00:00.235382,0.1944063181796277,0.4348889569322351,0.41885062800376155,0.557637257075241,1.9050455649143145,0.015237984230966338,cosine,0.7966345752154435,0.6376400066319065,0.20303038187881628,1.2046772988647638,0.7334685868038651,0.1835278498743411,0.27792740215725376,0.6424639231606589,0.9486064288523652,0.6862534428643441,0.7963935675121939,0.3486776449730831,COMPLETE
2,-inf,2026-08-26 03:40:40.467048,2026-08-26 03:40:40.681333,0 days 00:00:00.214285,0.4341373162764832,0.5842294806453866,0.38360527850167775,0.26559065163767265,1.7449112980424788,0.05281612149262945,none,0.7338457334080435,0.23178030075537498,0.19014993991064832,0.10323036037321276,0.8642302449080093,0.01740633748865207,0.4295019347134119,0.3858191398487169,0.9860009131041784,0.8898664948508893,0.9275481653966224,0.5159506817169813,COMPLETE
3,-inf,2026-08-26 03:40:40.696049,2026-08-26 03:40:40.911254,0 days 00:00:00.215205,0.39005672347118325,0.9598108395141801,0.7504955591580855,0.7786361172933096,1.2005345140971604,0.039583467106051755,cosine,0.54620238256189,0.2816583839382758,0.604410148290641,0.7836161925324996,0.6588535525131096,0.6312145010363495,0.2044116350588131,0.7400007601169547,0.7200330938686784,0.14364392438426116,0.5917890702067676,0.22544932525983316,COMPLETE
4,-inf,2026-08-26 03:40:40.925803,2026-08-26 03:40:41.140481,0 days 00:00:00.214678,0.4646800788203644,0.13474250880900535,0.3513186425279026,0.8251136338118537,1.5906963140197734,0.010438874662458337,cosine,0.9100776441733935,0.4671212499303101,0.6206344899838625,1.3281865675034075,0.5025716485278,0.7030903757282377,0.08031094556868823,0.39421750107760556,0.8517361877678884,0.5466560113174629,0.4822334568563627,0.014379275048976226,COMPLETE
5,-inf,2026-08-26 03:40:41.154639,2026-08-26 03:40:41.350996,0 days 00:00:00.196357,0.08215775058866336,0.9163227057652289,0.21362056145404235,0.8238749359207135,1.0091297345231802,0.08632729924331614,cosine,0.6638579725747412,0.939004056510684,0.4924005199050007,1.2367603407241896,0.02309736520882609,0.9948589095830865,0.9539267900488753,0.9624974182719349,0.11515791668833145,0.3749775739762529,0.533406230775854,0.7537340873771835,COMPLETE
6,-inf,2026-08-26 03:40:41.365166,2026-08-26 03:40:41.628735,0 days 00:00:00.263569,0.3458302362016668,0.8489065376088546,0.06036524685822052,0.7547067205260087,1.8290567189296403,0.07026037313438552,none,0.5003934141244193,0.042163437960396684,0.5637421894324698,0.9016727873549764,0.6270064231567571,0.19067689335311006,0.9920748923114991,0.7423740014999465,0.5088441596801734,0.3479671474854955,0.30922951456208075,0.7860690267490109,COMPLETE
7,-inf,2026-08-26 03:40:41.643029,2026-08-26 03:40:41.856115,0 days 00:00:00.213086,0.5732714720482854,0.7364050559436428,0.1946868775943705,0.3151157444383798,0.13789012458628136,0.025319366364340238,cosine,0.6433155798139151,0.15149900808159256,0.4406445347755712,0.25156703436948175,0.05694481622693322,0.036315878671245125,0.4042831605342945,0.9250565122238582,0.5178335570283868,0.8483961575468857,0.8753735685269144,0.38662856026923625,COMPLETE
8,-inf,2026-08-26 03:40:41.870500,2026-08-26 03:40:42.082798,0 days 00:00:00.212298,0.6422101985445717,0.8285765082663962,0.9574955585187457,0.2860314631100678,0.9320777967335208,0.0023557670082804535,sqrt,0.41253100630816614,0.9647291674412579,0.7158837872752977,0.14693391739755235,0.20392991123283927,0.9097596231969721,0.756337625802015,0.9163049316705328,0.17704809153538778,0.37178371509207647,0.9283931395804667,0.13330363527326441,COMPLETE
9,-inf,2026-08-26 03:40:42.097318,2026-08-26 03:40:42.304271,0 days 00:00:00.206953,0.5977280029917654,0.9373653162603426,0.43134029194397094,0.8617166571543653,0.8619276119668235,0.038825970107867515,sqrt,0.6754039905165931,0.2248394831071005,0.01735406257788623,1.2881908850393544,0.3946638625452677,0.14965129423438892,0.5866653352456319,0.9895503302477074,0.7535363669307398,0.08178472837872855,0.5144900322697611,0.22918698075326357,COMPLETE
10,-inf,2026-08-26 03:40:42.318447,2026-08-26 03:40:42.570660,0 days 00:00:00.252213,0.8883299927624106,0.05229836963184771,0.051934590501062916,0.015152735117307414,0.32858702733677037,0.004510488884214141,none,0.173502011157447,0.689699038149946,0.9749362724629933,0.4821490002360321,0.9945476200958391,0.3867890177818604,0.6038446375711652,0.1339093434820059,0.26848533716955986,0.041618187410548096,0.019936411217026773,0.9874275136187765,COMPLETE
11,-inf,2026-08-26 03:40:42.592890,2026-08-26 03:40:42.872676,0 days 00:00:00.279786,0.048520297986749145,0.28701269348000036,0.5947472763135764,0.6082031700760419,1.982565045197607,0.016290556822456826,none,0.9945522127731357,0.6566301818146814,0.9204920746808576,0.9783595055628684,0.7878570898520636,0.40839405704347675,0.28309394233927226,0.577503830283065,0.9462576963159924,0.6647063556475066,0.04014821688479845,0.49965078893407333,COMPLETE
12,-inf,2026-08-26 03:40:42.886951,2026-08-26 03:40:43.142115,0 days 00:00:00.255164,0.20701626487351435,0.387611618400004,0.5825127328989559,0.9956068401673211,0.45452810024521995,0.017992255487984877,cosine,0.8668347328218338,0.5790665274418834,0.351107491066986,0.6127880132626919,0.7311676049217881,0.33879343745385715,0.04486771294673364,0.24992856533303429,0.6611246178796434,0.6949494166157567,0.7598817176258,0.6359487982000391,COMPLETE
13,-inf,2026-08-26 03:40:43.156309,2026-08-26 03:40:43.417379,0 days 00:00:00.261070,0.21450050662006717,0.23153863008041226,0.23677604303697092,0.5869862483831905,1.4369770048082624,0.00653999508870111,none,0.8117355448009749,0.7643228351289716,0.8232599334290558,1.4792245512821487,0.5899575905022125,0.5385576145876357,0.30473326259095807,0.03676055551261881,0.839056889955843,0.960450936047858,0.19661707484823443,0.9870566110006793,COMPLETE
