R_comm,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,metric,test,correction
4000.0,alzenad2017,flat_fl,10,0.0,0.001953125,0.07164906726306638,1.0,0.06512854128177138,0.0785830148415234,False,macro_f1,wilcoxon,holm
6000.0,alzenad2017,flat_fl,10,0.0,0.001953125,0.09562210476827566,1.0,0.08660029690278988,0.10495349530459529,False,macro_f1,wilcoxon,holm
8000.0,alzenad2017,flat_fl,10,0.0,0.001953125,0.11071470945173437,1.0,0.10280342368489241,0.1185818749021993,False,macro_f1,wilcoxon,holm
12000.0,alzenad2017,flat_fl,10,0.0,0.001953125,0.14222488430366745,1.0,0.13217238456761557,0.15108101056114429,False,macro_f1,wilcoxon,holm
20000.0,alzenad2017,flat_fl,10,0.0,0.001953125,0.19325101397865876,1.0,0.176510898914003,0.2074959902635559,False,macro_f1,wilcoxon,holm
4000.0,alzenad2017,mozaffari2016,10,0.0,0.001953125,0.08843234044002532,1.0,0.07072161570560292,0.10535426588365623,False,macro_f1,wilcoxon,holm
8000.0,alzenad2017,mozaffari2016,10,0.0,0.001953125,0.09565325690417864,1.0,0.084485680364341,0.107383712150326,False,macro_f1,wilcoxon,holm
6000.0,alzenad2017,mozaffari2016,10,0.0,0.001953125,0.10759126333964904,1.0,0.08711458841882175,0.12978056381681977,False,macro_f1,wilcoxon,holm
2000.0,flat_fl,mozaffari2016,10,0.0,0.001953125,0.05603125401936826,1.0,0.03315722990920437,0.0832966766631502,False,macro_f1,wilcoxon,holm
6000.0,flat_fl,hfl_static,10,0.0,0.001953125,-0.08664032169503748,-1.0,-0.0978705328397841,-0.07479402798606231,False,macro_f1,wilcoxon,holm
4000.0,flat_fl,hfl_static,10,0.0,0.001953125,-0.05548027178253008,-1.0,-0.06716507171508401,-0.0434006324645935,False,macro_f1,wilcoxon,holm
12000.0,flat_fl,hfl_static,10,0.0,0.001953125,-0.15249619758588046,-1.0,-0.16780776098779415,-0.1370779996733976,False,macro_f1,wilcoxon,holm
8000.0,flat_fl,hfl_static,10,0.0,0.001953125,-0.1059388222564436,-1.0,-0.11800532558323903,-0.09266577275754681,False,macro_f1,wilcoxon,holm
20000.0,flat_fl,hfl_static,10,0.0,0.001953125,-0.1876386261657926,-1.0,-0.20090289647311316,-0.17487928580768375,False,macro_f1,wilcoxon,holm
12000.0,alzenad2017,mozaffari2016,10,0.0,0.001953125,0.0940101701387689,1.0,0.07807098810066665,0.1082749783952679,False,macro_f1,wilcoxon,holm
20000.0,flat_fl,mozaffari2016,10,0.0,0.001953125,-0.17796552242398161,-1.0,-0.18655092082000851,-0.16921585285590252,False,macro_f1,wilcoxon,holm
12000.0,flat_fl,proposed_hfl,10,0.0,0.001953125,-0.1605440787274767,-1.0,-0.16867159375691534,-0.15394499469262987,False,macro_f1,wilcoxon,holm
12000.0,mozaffari2016,proposed_hfl,10,0.0,0.001953125,-0.11232936456257817,-1.0,-0.12710216936709112,-0.09217407912197703,False,macro_f1,wilcoxon,holm
8000.0,mozaffari2016,proposed_hfl,10,0.0,0.001953125,-0.09542255990238008,-1.0,-0.1029784379923511,-0.08714599260411325,False,macro_f1,wilcoxon,holm
6000.0,mozaffari2016,proposed_hfl,10,0.0,0.001953125,-0.10283870760288863,-1.0,-0.12201166362126928,-0.0839990041883361,False,macro_f1,wilcoxon,holm
4000.0,mozaffari2016,proposed_hfl,10,0.0,0.001953125,-0.08179699241073098,-1.0,-0.09726749999105586,-0.06557437916221573,False,macro_f1,wilcoxon,holm
6000.0,hfl_static,mozaffari2016,10,0.0,0.001953125,0.09860948026641085,1.0,0.08123304271406627,0.11655455245034863,False,macro_f1,wilcoxon,holm
8000.0,hfl_static,mozaffari2016,10,0.0,0.001953125,0.09087736970888786,1.0,0.079879882653985,0.10168772018332217,False,macro_f1,wilcoxon,holm
12000.0,hfl_static,mozaffari2016,10,0.0,0.001953125,0.10428148342098191,1.0,0.08745941520758867,0.1206293026631179,False,macro_f1,wilcoxon,holm
4000.0,flat_fl,proposed_hfl,10,0.0,0.001953125,-0.06501371923377203,-1.0,-0.07570307469281107,-0.05324012586520205,False,macro_f1,wilcoxon,holm
20000.0,flat_fl,proposed_hfl,10,0.0,0.001953125,-0.189585556425326,-1.0,-0.19983762456049678,-0.1786101725995089,False,macro_f1,wilcoxon,holm
4000.0,hfl_static,mozaffari2016,10,0.0,0.001953125,0.07226354495948903,1.0,0.05714204856877729,0.08810551677983937,False,macro_f1,wilcoxon,holm
8000.0,flat_fl,proposed_hfl,10,0.0,0.001953125,-0.1104840124499358,-1.0,-0.1169601956265268,-0.10415699133967574,False,macro_f1,wilcoxon,holm
12000.0,flat_fl,mozaffari2016,10,0.0,0.001953125,-0.048214714164898545,-1.0,-0.06796139556008907,-0.035134894478076106,False,macro_f1,wilcoxon,holm
6000.0,flat_fl,proposed_hfl,10,0.0,0.001953125,-0.09086954903151524,-1.0,-0.10034835672795915,-0.08126435372483738,False,macro_f1,wilcoxon,holm
2000.0,hfl_static,mozaffari2016,10,2.0,0.005859375,0.06414942781516604,0.9272727272727272,0.03489568013997235,0.09314093607336142,False,macro_f1,wilcoxon,holm
2000.0,mozaffari2016,proposed_hfl,10,3.0,0.009765625,-0.04898043320773579,-0.8909090909090909,-0.08189481502573634,-0.021385636319580726,False,macro_f1,wilcoxon,holm
8000.0,flat_fl,mozaffari2016,10,4.0,0.013671875,-0.01506145254755572,-0.8545454545454545,-0.024367361402389574,-0.0059399543014027984,False,macro_f1,wilcoxon,holm
4000.0,alzenad2017,hfl_static,10,5.0,0.01953125,0.0161687954805363,0.8181818181818182,0.005142556370302592,0.028647088895962285,False,macro_f1,wilcoxon,holm
12000.0,alzenad2017,proposed_hfl,10,5.0,0.01953125,-0.01831919442380926,-0.8181818181818182,-0.028685011942222033,-0.007959891734947174,False,macro_f1,wilcoxon,holm
2000.0,alzenad2017,mozaffari2016,10,5.0,0.01953125,0.054336641846548316,0.8181818181818182,0.02322556075925278,0.08786710467327921,False,macro_f1,wilcoxon,holm
