harness,method,N,seed_idx,job_seed,seed
paper_sweep,proposed_hfl,30,0,10806,18325
paper_sweep,proposed_hfl,30,1,18725,9350
paper_sweep,proposed_hfl,30,2,26644,1463
paper_sweep,flat_fl,30,0,10806,54950
paper_sweep,flat_fl,30,1,18725,46517
paper_sweep,flat_fl,30,2,26644,38020
paper_sweep,centralized,30,0,10806,55410
paper_sweep,centralized,30,1,18725,47969
paper_sweep,centralized,30,2,26644,39504
paper_sweep,hfl_no_selection,30,0,10806,19332
paper_sweep,hfl_no_selection,30,1,18725,10391
paper_sweep,hfl_no_selection,30,2,26644,2470
paper_sweep,hfl_static,30,0,10806,36615
paper_sweep,hfl_static,30,1,18725,60436
paper_sweep,hfl_static,30,2,26644,52517
paper_sweep,hfl_no_reputation,30,0,10806,26592
paper_sweep,hfl_no_reputation,30,1,18725,1267
paper_sweep,hfl_no_reputation,30,2,26644,9666
paper_sweep,fedcs,30,0,10806,50272
paper_sweep,fedcs,30,1,18725,42867
paper_sweep,fedcs,30,2,26644,34370
paper_sweep,rep_cap,30,0,10806,13744
paper_sweep,rep_cap,30,1,18725,22179
paper_sweep,rep_cap,30,2,26644,30610
paper_sweep,fair_mab,30,0,10806,19772
paper_sweep,fair_mab,30,1,18725,11823
paper_sweep,fair_mab,30,2,26644,3870
paper_sweep,mozaffari2016,30,0,10806,32357
paper_sweep,mozaffari2016,30,1,18725,7542
paper_sweep,mozaffari2016,30,2,26644,15431
paper_sweep,alzenad2017,30,0,10806,30254
paper_sweep,alzenad2017,30,1,18725,5437
paper_sweep,alzenad2017,30,2,26644,13324
paper_sweep,proposed_hfl,50,0,11426,16641
paper_sweep,proposed_hfl,50,1,19345,9778
paper_sweep,proposed_hfl,50,2,27264,1827
paper_sweep,flat_fl,50,0,11426,53298
paper_sweep,flat_fl,50,1,19345,46849
paper_sweep,flat_fl,50,2,27264,38416
paper_sweep,centralized,50,0,11426,57062
paper_sweep,centralized,50,1,19345,47573
paper_sweep,centralized,50,2,27264,39108
paper_sweep,hfl_no_selection,50,0,11426,19728
paper_sweep,hfl_no_selection,50,1,19345,10787
paper_sweep,hfl_no_selection,50,2,27264,2866
paper_sweep,hfl_static,50,0,11426,35219
paper_sweep,hfl_static,50,1,19345,61088
paper_sweep,hfl_static,50,2,27264,53169
paper_sweep,hfl_no_reputation,50,0,11426,24948
paper_sweep,hfl_no_reputation,50,1,19345,1607
paper_sweep,hfl_no_reputation,50,2,27264,10070
paper_sweep,fedcs,50,0,11426,49908
paper_sweep,fedcs,50,1,19345,42439
paper_sweep,fedcs,50,2,27264,34006
paper_sweep,rep_cap,50,0,11426,13092
paper_sweep,rep_cap,50,1,19345,21527
paper_sweep,rep_cap,50,2,27264,29958
paper_sweep,fair_mab,50,0,11426,19368
paper_sweep,fair_mab,50,1,19345,11419
paper_sweep,fair_mab,50,2,27264,3466
paper_sweep,mozaffari2016,50,0,11426,30961
paper_sweep,mozaffari2016,50,1,19345,8130
paper_sweep,mozaffari2016,50,2,27264,16083
paper_sweep,alzenad2017,50,0,11426,28858
paper_sweep,alzenad2017,50,1,19345,6025
paper_sweep,alzenad2017,50,2,27264,13976
paper_sweep,proposed_hfl,100,0,12976,24339
paper_sweep,proposed_hfl,100,1,20895,15420
paper_sweep,proposed_hfl,100,2,28814,7469
paper_sweep,flat_fl,100,0,12976,52768
paper_sweep,flat_fl,100,1,20895,44303
paper_sweep,flat_fl,100,2,28814,35870
paper_sweep,centralized,100,0,12976,49396
paper_sweep,centralized,100,1,20895,41947
paper_sweep,centralized,100,2,28814,33482
paper_sweep,hfl_no_selection,100,0,12976,21250
paper_sweep,hfl_no_selection,100,1,20895,12333
paper_sweep,hfl_no_selection,100,2,28814,4412
paper_sweep,hfl_static,100,0,12976,38785
paper_sweep,hfl_static,100,1,20895,62638
paper_sweep,hfl_static,100,2,28814,54719
paper_sweep,hfl_no_reputation,100,0,12976,32614
paper_sweep,hfl_no_reputation,100,1,20895,7241
paper_sweep,hfl_no_reputation,100,2,28814,15704
paper_sweep,fedcs,100,0,12976,56550
paper_sweep,fedcs,100,1,20895,49097
paper_sweep,fedcs,100,2,28814,40664
paper_sweep,rep_cap,100,0,12976,11574
paper_sweep,rep_cap,100,1,20895,19993
paper_sweep,rep_cap,100,2,28814,28424
paper_sweep,fair_mab,100,0,12976,21946
paper_sweep,fair_mab,100,1,20895,13973
paper_sweep,fair_mab,100,2,28814,6020
paper_sweep,mozaffari2016,100,0,12976,26339
paper_sweep,mozaffari2016,100,1,20895,1484
paper_sweep,mozaffari2016,100,2,28814,9437
paper_sweep,alzenad2017,100,0,12976,28328
paper_sweep,alzenad2017,100,1,20895,3463
paper_sweep,alzenad2017,100,2,28814,11414
