N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
200,proposed_hfl,centralized,10,0.0,0.001953125,-0.07542972074131202,-1.0,-0.08647738716730448,-0.06534442295624221,True,group,proposed_hfl,macro_f1,wilcoxon,holm
100,proposed_hfl,centralized,10,0.0,0.001953125,-0.050077528668094194,-1.0,-0.0656980073636591,-0.03765904746178982,True,group,proposed_hfl,macro_f1,wilcoxon,holm
50,proposed_hfl,centralized,10,0.0,0.001953125,-0.03276577609168554,-1.0,-0.04473705558691449,-0.023824249422084925,True,group,proposed_hfl,macro_f1,wilcoxon,holm
30,proposed_hfl,centralized,10,0.0,0.001953125,-0.029762422687003055,-1.0,-0.045693348985125774,-0.016074240544357354,True,group,proposed_hfl,macro_f1,wilcoxon,holm
30,proposed_hfl,fedcs,10,0.0,0.001953125,0.06619582266813548,1.0,0.044805649738381796,0.09080670773530856,True,group,proposed_hfl,macro_f1,wilcoxon,holm
100,proposed_hfl,fedcs,10,0.0,0.001953125,0.06982009556598327,1.0,0.05267726995012684,0.08615143840941131,True,group,proposed_hfl,macro_f1,wilcoxon,holm
50,proposed_hfl,fair_mab,10,0.0,0.001953125,0.11719113272056192,1.0,0.0874740041308988,0.15028959810816636,True,group,proposed_hfl,macro_f1,wilcoxon,holm
30,proposed_hfl,fair_mab,10,0.0,0.001953125,0.12392310411147708,1.0,0.11052691097596803,0.13898062508319142,True,group,proposed_hfl,macro_f1,wilcoxon,holm
200,proposed_hfl,fedcs,10,0.0,0.001953125,0.0733111068547062,1.0,0.057030751504593975,0.08860436403641461,True,group,proposed_hfl,macro_f1,wilcoxon,holm
50,proposed_hfl,hfl_no_selection,10,0.0,0.001953125,0.07476526262307823,1.0,0.04948087441672363,0.10108954123541936,True,group,proposed_hfl,macro_f1,wilcoxon,holm
100,proposed_hfl,hfl_no_selection,10,0.0,0.001953125,0.07102856665617088,1.0,0.053073734784456275,0.08698414140187169,True,group,proposed_hfl,macro_f1,wilcoxon,holm
200,proposed_hfl,hfl_no_selection,10,0.0,0.001953125,0.06620379393822377,1.0,0.05591680715544318,0.07569163037359591,True,group,proposed_hfl,macro_f1,wilcoxon,holm
