harness,method,N,seed_idx,seed
selection_sweep,ucb,30,0,10806
selection_sweep,ucb,30,1,18725
selection_sweep,ucb,30,2,26644
selection_sweep,random,30,0,10806
selection_sweep,random,30,1,18725
selection_sweep,random,30,2,26644
selection_sweep,fedcs,30,0,10806
selection_sweep,fedcs,30,1,18725
selection_sweep,fedcs,30,2,26644
selection_sweep,rep_cap,30,0,10806
selection_sweep,rep_cap,30,1,18725
selection_sweep,rep_cap,30,2,26644
selection_sweep,fair_mab,30,0,10806
selection_sweep,fair_mab,30,1,18725
selection_sweep,fair_mab,30,2,26644
selection_sweep,ucb,50,0,11426
selection_sweep,ucb,50,1,19345
selection_sweep,ucb,50,2,27264
selection_sweep,random,50,0,11426
selection_sweep,random,50,1,19345
selection_sweep,random,50,2,27264
selection_sweep,fedcs,50,0,11426
selection_sweep,fedcs,50,1,19345
selection_sweep,fedcs,50,2,27264
selection_sweep,rep_cap,50,0,11426
selection_sweep,rep_cap,50,1,19345
selection_sweep,rep_cap,50,2,27264
selection_sweep,fair_mab,50,0,11426
selection_sweep,fair_mab,50,1,19345
selection_sweep,fair_mab,50,2,27264
selection_sweep,ucb,100,0,12976
selection_sweep,ucb,100,1,20895
selection_sweep,ucb,100,2,28814
selection_sweep,random,100,0,12976
selection_sweep,random,100,1,20895
selection_sweep,random,100,2,28814
selection_sweep,fedcs,100,0,12976
selection_sweep,fedcs,100,1,20895
selection_sweep,fedcs,100,2,28814
selection_sweep,rep_cap,100,0,12976
selection_sweep,rep_cap,100,1,20895
selection_sweep,rep_cap,100,2,28814
selection_sweep,fair_mab,100,0,12976
selection_sweep,fair_mab,100,1,20895
selection_sweep,fair_mab,100,2,28814
selection_sweep,ucb,200,0,16076
selection_sweep,ucb,200,1,23995
selection_sweep,ucb,200,2,31914
selection_sweep,random,200,0,16076
selection_sweep,random,200,1,23995
selection_sweep,random,200,2,31914
selection_sweep,fedcs,200,0,16076
selection_sweep,fedcs,200,1,23995
selection_sweep,fedcs,200,2,31914
selection_sweep,rep_cap,200,0,16076
selection_sweep,rep_cap,200,1,23995
selection_sweep,rep_cap,200,2,31914
selection_sweep,fair_mab,200,0,16076
selection_sweep,fair_mab,200,1,23995
selection_sweep,fair_mab,200,2,31914
selection_sweep,ucb,350,0,20726
selection_sweep,ucb,350,1,28645
selection_sweep,ucb,350,2,36564
selection_sweep,random,350,0,20726
selection_sweep,random,350,1,28645
selection_sweep,random,350,2,36564
selection_sweep,fedcs,350,0,20726
selection_sweep,fedcs,350,1,28645
selection_sweep,fedcs,350,2,36564
selection_sweep,rep_cap,350,0,20726
selection_sweep,rep_cap,350,1,28645
selection_sweep,rep_cap,350,2,36564
selection_sweep,fair_mab,350,0,20726
selection_sweep,fair_mab,350,1,28645
selection_sweep,fair_mab,350,2,36564
selection_sweep,ucb,500,0,25376
selection_sweep,ucb,500,1,33295
selection_sweep,ucb,500,2,41214
selection_sweep,random,500,0,25376
selection_sweep,random,500,1,33295
selection_sweep,random,500,2,41214
selection_sweep,fedcs,500,0,25376
selection_sweep,fedcs,500,1,33295
selection_sweep,fedcs,500,2,41214
selection_sweep,rep_cap,500,0,25376
selection_sweep,rep_cap,500,1,33295
selection_sweep,rep_cap,500,2,41214
selection_sweep,fair_mab,500,0,25376
selection_sweep,fair_mab,500,1,33295
selection_sweep,fair_mab,500,2,41214
