N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,metric,test,correction
200,fair_mab,fedcs,10,0.0,0.001953125,0.025541645430627063,1.0,0.016080422364936127,0.03402001435317786,False,macro_f1,wilcoxon,holm
100,fair_mab,fedcs,10,0.0,0.001953125,0.02566414042406841,1.0,0.017098281878921946,0.03487806650281448,False,macro_f1,wilcoxon,holm
500,fair_mab,fedcs,10,0.0,0.001953125,-0.03373125247037568,-1.0,-0.04371510934373199,-0.023660622243073262,False,macro_f1,wilcoxon,holm
500,fair_mab,oort,10,0.0,0.001953125,-0.06530896292739548,-1.0,-0.07680114279735546,-0.053672529270394245,False,macro_f1,wilcoxon,holm
350,fair_mab,oort,10,0.0,0.001953125,-0.041769805176533316,-1.0,-0.05064017942865805,-0.03284412426761682,False,macro_f1,wilcoxon,holm
100,fair_mab,random,10,0.0,0.001953125,0.024465162817753877,1.0,0.018795178957766667,0.029516705643576398,False,macro_f1,wilcoxon,holm
500,fair_mab,power_of_choice,10,0.0,0.001953125,-0.0622208047635822,-1.0,-0.07253961594481424,-0.05167121036121959,False,macro_f1,wilcoxon,holm
350,fair_mab,power_of_choice,10,0.0,0.001953125,-0.047158828228897755,-1.0,-0.0526820154334224,-0.04135414590094427,False,macro_f1,wilcoxon,holm
350,fedcs,oort,10,0.0,0.001953125,-0.031435037211464595,-1.0,-0.040120958010591526,-0.022050673364325507,False,macro_f1,wilcoxon,holm
500,fedcs,power_of_choice,10,0.0,0.001953125,-0.028489552293206533,-1.0,-0.041795412594481676,-0.01756706003770508,False,macro_f1,wilcoxon,holm
200,fedcs,rep_cap,10,0.0,0.001953125,-0.028216528720370455,-1.0,-0.03960132524681814,-0.01927441789675763,False,macro_f1,wilcoxon,holm
100,fedcs,rep_cap,10,0.0,0.001953125,-0.023486391017716452,-1.0,-0.033939765710449356,-0.014629120797513747,False,macro_f1,wilcoxon,holm
350,fedcs,power_of_choice,10,0.0,0.001953125,-0.036824060263829034,-1.0,-0.04751189070756854,-0.027336136757880217,False,macro_f1,wilcoxon,holm
200,fedcs,power_of_choice,10,0.0,0.001953125,-0.039209392967836446,-1.0,-0.05071248504053947,-0.0280414948214132,False,macro_f1,wilcoxon,holm
350,oort,random,10,0.0,0.001953125,0.027882551460372496,1.0,0.01860140928756454,0.038679599150950074,False,macro_f1,wilcoxon,holm
500,fedcs,ucb,10,0.0,0.001953125,0.03253802613464708,1.0,0.02286274610343129,0.04132844067748665,False,macro_f1,wilcoxon,holm
500,oort,rep_cap,10,0.0,0.001953125,0.04802880629170784,1.0,0.03469776155796276,0.06045444149503771,False,macro_f1,wilcoxon,holm
350,oort,rep_cap,10,0.0,0.001953125,0.031936248423460746,1.0,0.02041888950256049,0.04277755663695994,False,macro_f1,wilcoxon,holm
500,power_of_choice,rep_cap,10,0.0,0.001953125,0.044940648127894584,1.0,0.034918568529111724,0.054629703295141455,False,macro_f1,wilcoxon,holm
500,power_of_choice,ucb,10,0.0,0.001953125,0.061027578427853627,1.0,0.05496960102401008,0.06754674675220174,False,macro_f1,wilcoxon,holm
100,random,rep_cap,10,0.0,0.001953125,-0.02228741341140192,-1.0,-0.028643635498676764,-0.016534665218807157,False,macro_f1,wilcoxon,holm
350,power_of_choice,rep_cap,10,0.0,0.001953125,0.037325271475825185,1.0,0.030727972382469954,0.04421378035381377,False,macro_f1,wilcoxon,holm
350,power_of_choice,ucb,10,0.0,0.001953125,0.04140682904114219,1.0,0.03379323837629314,0.049857964522861606,False,macro_f1,wilcoxon,holm
