N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
500,ucb,fedcs,10,0.0,0.001953125,-0.04236596473213292,-1.0,-0.0595755602367428,-0.02680630924915917,True,group,ucb,accuracy,wilcoxon,holm
100,ucb,fedcs,10,0.0,0.001953125,0.01772776535698679,1.0,0.013257782131753786,0.022379710890126046,True,group,ucb,accuracy,wilcoxon,holm
500,ucb,oort,10,0.0,0.001953125,0.03200450124319888,1.0,0.01674614395287121,0.04786993705581004,True,group,ucb,accuracy,wilcoxon,holm
350,ucb,oort,10,0.0,0.001953125,0.03063631799313544,1.0,0.023554588973436506,0.03782214269820616,True,group,ucb,accuracy,wilcoxon,holm
100,ucb,random,10,0.0,0.001953125,0.01819382393524851,1.0,0.014692049563899556,0.021985265773751393,True,group,ucb,accuracy,wilcoxon,holm
500,ucb,power_of_choice,10,0.0,0.001953125,0.04017641850949172,1.0,0.023252847400791175,0.05831608259640352,True,group,ucb,accuracy,wilcoxon,holm
500,ucb,rep_cap,10,0.0,0.001953125,-0.039699015005350224,-1.0,-0.054413968913554794,-0.02726727688215299,True,group,ucb,accuracy,wilcoxon,holm
350,ucb,power_of_choice,10,2.0,0.005859375,0.026446298676733704,0.9272727272727272,0.015346128764093196,0.037336567637297674,True,group,ucb,accuracy,wilcoxon,holm
350,ucb,rep_cap,10,3.0,0.009765625,-0.013657904842286673,-0.8909090909090909,-0.02231967411466245,-0.005464460213818486,True,group,ucb,accuracy,wilcoxon,holm
200,ucb,fedcs,10,5.0,0.01953125,0.015015026305020041,0.8181818181818182,0.0045755646681103854,0.026454856164220383,False,group,ucb,accuracy,wilcoxon,holm
500,ucb,fair_mab,10,7.0,0.037109375,0.019161249183720218,0.7454545454545455,0.006462126343309313,0.03249530692553301,False,group,ucb,accuracy,wilcoxon,holm
350,ucb,fedcs,10,10.0,0.083984375,-0.013443743259702634,-0.6363636363636364,-0.026974110237933304,0.0006105611230300802,False,group,ucb,accuracy,wilcoxon,holm
50,ucb,random,10,13.0,0.16015625,0.0070553467150520355,0.5272727272727272,0.00017634521428131378,0.01402841279019151,False,group,ucb,accuracy,wilcoxon,holm
50,ucb,fedcs,10,13.0,0.16015625,0.006473974771285818,0.5272727272727272,-0.0012762284537804558,0.014006604212064476,False,group,ucb,accuracy,wilcoxon,holm
350,ucb,random,10,14.0,0.193359375,0.005228120084145904,0.4909090909090909,-0.00284692153892404,0.01318474793062362,False,group,ucb,accuracy,wilcoxon,holm
200,ucb,power_of_choice,10,15.0,0.232421875,0.006685317618843644,0.45454545454545453,-0.0014869708561465276,0.01540458389288055,False,group,ucb,accuracy,wilcoxon,holm
