harness,method,N,seed_idx,seed,partition_seed
selection_sweep,ucb,350,0,20726,5309
selection_sweep,ucb,350,1,28645,5310
selection_sweep,ucb,350,2,36564,5311
selection_sweep,ucb,350,3,44483,5312
selection_sweep,ucb,350,4,52402,5313
selection_sweep,ucb,350,5,60321,5314
selection_sweep,ucb,350,6,68240,5315
selection_sweep,ucb,350,7,76159,5316
selection_sweep,ucb,350,8,84078,5317
selection_sweep,ucb,350,9,91997,5318
selection_sweep,oort,350,0,20726,5309
selection_sweep,oort,350,1,28645,5310
selection_sweep,oort,350,2,36564,5311
selection_sweep,oort,350,3,44483,5312
selection_sweep,oort,350,4,52402,5313
selection_sweep,oort,350,5,60321,5314
selection_sweep,oort,350,6,68240,5315
selection_sweep,oort,350,7,76159,5316
selection_sweep,oort,350,8,84078,5317
selection_sweep,oort,350,9,91997,5318
selection_sweep,power_of_choice,350,0,20726,5309
selection_sweep,power_of_choice,350,1,28645,5310
selection_sweep,power_of_choice,350,2,36564,5311
selection_sweep,power_of_choice,350,3,44483,5312
selection_sweep,power_of_choice,350,4,52402,5313
selection_sweep,power_of_choice,350,5,60321,5314
selection_sweep,power_of_choice,350,6,68240,5315
selection_sweep,power_of_choice,350,7,76159,5316
selection_sweep,power_of_choice,350,8,84078,5317
selection_sweep,power_of_choice,350,9,91997,5318
selection_sweep,random,350,0,20726,5309
selection_sweep,random,350,1,28645,5310
selection_sweep,random,350,2,36564,5311
selection_sweep,random,350,3,44483,5312
selection_sweep,random,350,4,52402,5313
selection_sweep,random,350,5,60321,5314
selection_sweep,random,350,6,68240,5315
selection_sweep,random,350,7,76159,5316
selection_sweep,random,350,8,84078,5317
selection_sweep,random,350,9,91997,5318
selection_sweep,ucb,500,0,25376,5309
selection_sweep,ucb,500,1,33295,5310
selection_sweep,ucb,500,2,41214,5311
selection_sweep,ucb,500,3,49133,5312
selection_sweep,ucb,500,4,57052,5313
selection_sweep,ucb,500,5,64971,5314
selection_sweep,ucb,500,6,72890,5315
selection_sweep,ucb,500,7,80809,5316
selection_sweep,ucb,500,8,88728,5317
selection_sweep,ucb,500,9,96647,5318
selection_sweep,oort,500,0,25376,5309
selection_sweep,oort,500,1,33295,5310
selection_sweep,oort,500,2,41214,5311
selection_sweep,oort,500,3,49133,5312
selection_sweep,oort,500,4,57052,5313
selection_sweep,oort,500,5,64971,5314
selection_sweep,oort,500,6,72890,5315
selection_sweep,oort,500,7,80809,5316
selection_sweep,oort,500,8,88728,5317
selection_sweep,oort,500,9,96647,5318
selection_sweep,power_of_choice,500,0,25376,5309
selection_sweep,power_of_choice,500,1,33295,5310
selection_sweep,power_of_choice,500,2,41214,5311
selection_sweep,power_of_choice,500,3,49133,5312
selection_sweep,power_of_choice,500,4,57052,5313
selection_sweep,power_of_choice,500,5,64971,5314
selection_sweep,power_of_choice,500,6,72890,5315
selection_sweep,power_of_choice,500,7,80809,5316
selection_sweep,power_of_choice,500,8,88728,5317
selection_sweep,power_of_choice,500,9,96647,5318
selection_sweep,random,500,0,25376,5309
selection_sweep,random,500,1,33295,5310
selection_sweep,random,500,2,41214,5311
selection_sweep,random,500,3,49133,5312
selection_sweep,random,500,4,57052,5313
selection_sweep,random,500,5,64971,5314
selection_sweep,random,500,6,72890,5315
selection_sweep,random,500,7,80809,5316
selection_sweep,random,500,8,88728,5317
selection_sweep,random,500,9,96647,5318
