harness,method,scenario,seed_idx,instance_seed,optimizer_stream
tier1,pso,uniform_N40_K4,0,2906597030,"SeedSequence([9876, 1, 0, 0, 0])"
tier1,pso,uniform_N40_K4,1,1897199863,"SeedSequence([9876, 1, 0, 0, 1])"
tier1,pso,uniform_N40_K4,2,2252033902,"SeedSequence([9876, 1, 0, 0, 2])"
tier1,pso,uniform_N40_K4,3,1879402385,"SeedSequence([9876, 1, 0, 0, 3])"
tier1,pso,uniform_N40_K4,4,846342707,"SeedSequence([9876, 1, 0, 0, 4])"
tier1,ga,uniform_N40_K4,0,2906597030,"SeedSequence([9876, 1, 1, 0, 0])"
tier1,ga,uniform_N40_K4,1,1897199863,"SeedSequence([9876, 1, 1, 0, 1])"
tier1,ga,uniform_N40_K4,2,2252033902,"SeedSequence([9876, 1, 1, 0, 2])"
tier1,ga,uniform_N40_K4,3,1879402385,"SeedSequence([9876, 1, 1, 0, 3])"
tier1,ga,uniform_N40_K4,4,846342707,"SeedSequence([9876, 1, 1, 0, 4])"
tier1,centroid,uniform_N40_K4,0,2906597030,"SeedSequence([9876, 1, 2, 0, 0])"
tier1,centroid,uniform_N40_K4,1,1897199863,"SeedSequence([9876, 1, 2, 0, 1])"
tier1,centroid,uniform_N40_K4,2,2252033902,"SeedSequence([9876, 1, 2, 0, 2])"
tier1,centroid,uniform_N40_K4,3,1879402385,"SeedSequence([9876, 1, 2, 0, 3])"
tier1,centroid,uniform_N40_K4,4,846342707,"SeedSequence([9876, 1, 2, 0, 4])"
tier1,static,uniform_N40_K4,0,2906597030,"SeedSequence([9876, 1, 3, 0, 0])"
tier1,static,uniform_N40_K4,1,1897199863,"SeedSequence([9876, 1, 3, 0, 1])"
tier1,static,uniform_N40_K4,2,2252033902,"SeedSequence([9876, 1, 3, 0, 2])"
tier1,static,uniform_N40_K4,3,1879402385,"SeedSequence([9876, 1, 3, 0, 3])"
tier1,static,uniform_N40_K4,4,846342707,"SeedSequence([9876, 1, 3, 0, 4])"
tier1,random,uniform_N40_K4,0,2906597030,"SeedSequence([9876, 1, 4, 0, 0])"
tier1,random,uniform_N40_K4,1,1897199863,"SeedSequence([9876, 1, 4, 0, 1])"
tier1,random,uniform_N40_K4,2,2252033902,"SeedSequence([9876, 1, 4, 0, 2])"
tier1,random,uniform_N40_K4,3,1879402385,"SeedSequence([9876, 1, 4, 0, 3])"
tier1,random,uniform_N40_K4,4,846342707,"SeedSequence([9876, 1, 4, 0, 4])"
tier1,pso,clustered_N40_K4,0,2637323298,"SeedSequence([9876, 1, 0, 1, 0])"
tier1,pso,clustered_N40_K4,1,1208750388,"SeedSequence([9876, 1, 0, 1, 1])"
tier1,pso,clustered_N40_K4,2,1141156122,"SeedSequence([9876, 1, 0, 1, 2])"
tier1,pso,clustered_N40_K4,3,1393887440,"SeedSequence([9876, 1, 0, 1, 3])"
tier1,pso,clustered_N40_K4,4,930859927,"SeedSequence([9876, 1, 0, 1, 4])"
tier1,ga,clustered_N40_K4,0,2637323298,"SeedSequence([9876, 1, 1, 1, 0])"
tier1,ga,clustered_N40_K4,1,1208750388,"SeedSequence([9876, 1, 1, 1, 1])"
tier1,ga,clustered_N40_K4,2,1141156122,"SeedSequence([9876, 1, 1, 1, 2])"
tier1,ga,clustered_N40_K4,3,1393887440,"SeedSequence([9876, 1, 1, 1, 3])"
tier1,ga,clustered_N40_K4,4,930859927,"SeedSequence([9876, 1, 1, 1, 4])"
tier1,centroid,clustered_N40_K4,0,2637323298,"SeedSequence([9876, 1, 2, 1, 0])"
tier1,centroid,clustered_N40_K4,1,1208750388,"SeedSequence([9876, 1, 2, 1, 1])"
tier1,centroid,clustered_N40_K4,2,1141156122,"SeedSequence([9876, 1, 2, 1, 2])"
tier1,centroid,clustered_N40_K4,3,1393887440,"SeedSequence([9876, 1, 2, 1, 3])"
tier1,centroid,clustered_N40_K4,4,930859927,"SeedSequence([9876, 1, 2, 1, 4])"
tier1,static,clustered_N40_K4,0,2637323298,"SeedSequence([9876, 1, 3, 1, 0])"
tier1,static,clustered_N40_K4,1,1208750388,"SeedSequence([9876, 1, 3, 1, 1])"
tier1,static,clustered_N40_K4,2,1141156122,"SeedSequence([9876, 1, 3, 1, 2])"
tier1,static,clustered_N40_K4,3,1393887440,"SeedSequence([9876, 1, 3, 1, 3])"
tier1,static,clustered_N40_K4,4,930859927,"SeedSequence([9876, 1, 3, 1, 4])"
tier1,random,clustered_N40_K4,0,2637323298,"SeedSequence([9876, 1, 4, 1, 0])"
tier1,random,clustered_N40_K4,1,1208750388,"SeedSequence([9876, 1, 4, 1, 1])"
tier1,random,clustered_N40_K4,2,1141156122,"SeedSequence([9876, 1, 4, 1, 2])"
tier1,random,clustered_N40_K4,3,1393887440,"SeedSequence([9876, 1, 4, 1, 3])"
tier1,random,clustered_N40_K4,4,930859927,"SeedSequence([9876, 1, 4, 1, 4])"
