scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,significant,metric,test,correction
clustered_N40_K4,centroid,ga,5,0.0,0.0625,-0.07219559608110311,False,final_fitness,wilcoxon,holm
uniform_N40_K4,centroid,ga,5,0.0,0.0625,-0.0815873189298737,False,final_fitness,wilcoxon,holm
clustered_N40_K4,centroid,pso,5,0.0,0.0625,-0.07605603316199157,False,final_fitness,wilcoxon,holm
uniform_N40_K4,centroid,pso,5,0.0,0.0625,-0.08776466851547833,False,final_fitness,wilcoxon,holm
uniform_N40_K4,centroid,random,5,0.0,0.0625,-0.03823731900149201,False,final_fitness,wilcoxon,holm
uniform_N40_K4,ga,random,5,0.0,0.0625,0.04334999992838169,False,final_fitness,wilcoxon,holm
clustered_N40_K4,ga,random,5,0.0,0.0625,0.05314769449441503,False,final_fitness,wilcoxon,holm
clustered_N40_K4,ga,pso,5,0.0,0.0625,-0.003860437080888457,False,final_fitness,wilcoxon,holm
clustered_N40_K4,pso,random,5,0.0,0.0625,0.05700813157530349,False,final_fitness,wilcoxon,holm
uniform_N40_K4,pso,random,5,0.0,0.0625,0.04952734951398632,False,final_fitness,wilcoxon,holm
clustered_N40_K4,centroid,random,5,1.0,0.125,-0.019047901586688076,False,final_fitness,wilcoxon,holm
uniform_N40_K4,centroid,static,5,1.0,0.125,-0.06724671021453571,False,final_fitness,wilcoxon,holm
uniform_N40_K4,ga,pso,5,1.0,0.125,-0.00617734958560463,False,final_fitness,wilcoxon,holm
clustered_N40_K4,pso,static,5,1.0,0.125,0.09410331375648798,False,final_fitness,wilcoxon,holm
clustered_N40_K4,ga,static,5,3.0,0.3125,0.09024287667559952,False,final_fitness,wilcoxon,holm
uniform_N40_K4,random,static,5,5.0,0.625,-0.0290093912130437,False,final_fitness,wilcoxon,holm
uniform_N40_K4,ga,static,5,6.0,0.8125,0.014340608715337988,False,final_fitness,wilcoxon,holm
clustered_N40_K4,centroid,static,5,6.0,0.8125,0.018047280594496406,False,final_fitness,wilcoxon,holm
uniform_N40_K4,pso,static,5,7.0,1.0,0.020517958300942617,False,final_fitness,wilcoxon,holm
clustered_N40_K4,random,static,5,7.0,1.0,0.03709518218118448,False,final_fitness,wilcoxon,holm
