dropout_rate,snr_degradation_db,black_chip_rate,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
0.1,0.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,-0.04752765966065151,-1.0,-0.05442244150340214,-0.04091489223890809,True,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,10.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,-0.06309327974788918,-1.0,-0.0764115149945249,-0.051122555924922285,True,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,3.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,-0.04939239175367079,-1.0,-0.0552371002299982,-0.0440218367619273,True,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,6.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,-0.05021670987976967,-1.0,-0.05767631459478033,-0.042958515793692094,True,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.2,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,-0.036977152673070876,-1.0,-0.04252979764308517,-0.03165703052243475,True,group,proposed_hfl,accuracy,wilcoxon,holm
0.4,0.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,-0.05046881538643027,-1.0,-0.05586678130432682,-0.04532062280991253,True,group,proposed_hfl,accuracy,wilcoxon,holm
0.2,0.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,-0.05262208938748101,-1.0,-0.05887214935321145,-0.04625979626811435,True,group,proposed_hfl,accuracy,wilcoxon,holm
0.3,0.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,-0.04836269033052956,-1.0,-0.05415397737200733,-0.043062168822816556,True,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.05,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,-0.041015721751428647,-1.0,-0.04613698778994667,-0.036296823610167936,True,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.1,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,-0.03747619969320703,-1.0,-0.042547359038416666,-0.03244868710874276,True,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,-0.0508007513714462,-1.0,-0.05701542369063292,-0.04543209857149326,True,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,3.0,0.0,proposed_hfl,fedcs,16,1.0,6.103515625e-05,0.01766988382284731,0.9852941176470589,0.01301243583639826,0.022252955047395172,True,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.1,proposed_hfl,oort,16,1.0,6.103515625e-05,0.020297557758584682,0.9852941176470589,0.013693616556731349,0.02715806341404947,True,group,proposed_hfl,accuracy,wilcoxon,holm
0.1,0.0,0.0,proposed_hfl,oort,16,1.0,6.103515625e-05,0.01874901266911405,0.9852941176470589,0.013126089960918939,0.024035765252800195,True,group,proposed_hfl,accuracy,wilcoxon,holm
