dropout_rate,snr_degradation_db,black_chip_rate,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
0.1,0.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,0.165256679873675,1.0,0.15614716910775775,0.17446635381393757,True,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,10.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,0.12775666705791233,1.0,0.10152522245626702,0.15137134767047902,True,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,3.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,0.1681483351760933,1.0,0.15384376604762393,0.1822430488726402,True,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,6.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,0.15783083908324302,1.0,0.13914604149598245,0.1732344726309254,True,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.2,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,0.14744852620834814,1.0,0.13388643549958082,0.16221403676517507,True,group,proposed_hfl,macro_f1,wilcoxon,holm
0.4,0.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,0.15641627036573016,1.0,0.1437662946834848,0.169637357922501,True,group,proposed_hfl,macro_f1,wilcoxon,holm
0.2,0.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,0.16053875542036472,1.0,0.14821267538860927,0.17239912103922497,True,group,proposed_hfl,macro_f1,wilcoxon,holm
0.3,0.0,0.0,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,0.16179766638561704,1.0,0.14689259762137186,0.1764759942104505,True,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.05,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,0.15891570544661857,1.0,0.1449540948007978,0.17265399610860713,True,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.1,proposed_hfl,flat_fl,16,0.0,3.0517578125e-05,0.15422621188214786,1.0,0.14022105822827002,0.1675855161110223,True,group,proposed_hfl,macro_f1,wilcoxon,holm
