scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,significant,metric,test,correction
uniform_N250_K10,alzenad2017,centroid,30,0.0,1.862645149230957e-09,0.09583640027948867,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,random,30,0.0,1.862645149230957e-09,0.3673961957132731,True,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,static,30,0.0,1.862645149230957e-09,0.33686948719057397,True,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,random,30,0.0,1.862645149230957e-09,0.12195430709328928,True,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,random,30,0.0,1.862645149230957e-09,0.2737006025736666,True,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,mozaffari2016,30,0.0,1.862645149230957e-09,-0.05931638956947405,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,pso,30,0.0,1.862645149230957e-09,-0.02535956111999279,True,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,mozaffari2016,30,0.0,1.862645149230957e-09,-0.15515278984896275,True,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,pso,30,0.0,1.862645149230957e-09,-0.04731716017508902,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,pso,30,0.0,1.862645149230957e-09,-0.028873011219907794,True,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,pso,30,0.0,1.862645149230957e-09,-0.1300231518054986,True,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,random,30,0.0,1.862645149230957e-09,0.24897388144857752,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,random,30,0.0,1.862645149230957e-09,0.36388274561335804,True,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,static,30,0.0,1.862645149230957e-09,0.31214276606548486,True,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,ga,30,0.0,1.862645149230957e-09,-0.11745429914355533,True,final_fitness,wilcoxon,holm
uniform_N250_K10,random,static,30,0.0,1.862645149230957e-09,-0.06713106084404906,True,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,random,30,0.0,1.862645149230957e-09,0.2972076542568993,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,random,30,0.0,1.862645149230957e-09,0.28294289784162413,True,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,random,30,0.0,1.862645149230957e-09,0.18127069666276327,True,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,static,30,0.0,1.862645149230957e-09,0.3603765388738067,True,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,static,30,0.0,1.862645149230957e-09,0.11413963581871424,True,final_fitness,wilcoxon,holm
clustered_N250_K10,pso,random,30,0.0,1.862645149230957e-09,0.29629104162366654,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,pso,random,30,0.0,1.862645149230957e-09,0.3927557568332659,True,final_fitness,wilcoxon,holm
uniform_N250_K10,pso,random,30,0.0,1.862645149230957e-09,0.1561410586192992,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,random,30,0.0,1.862645149230957e-09,0.3514258901441289,True,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,random,30,0.0,1.862645149230957e-09,0.14357220595735587,True,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,static,30,0.0,1.862645149230957e-09,0.324706795241817,True,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,static,30,0.0,1.862645149230957e-09,0.07644114511330684,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,pso,30,0.0,1.862645149230957e-09,-0.10981285899164175,True,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,random,30,0.0,1.862645149230957e-09,0.26153791062490955,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,pso,30,0.0,1.862645149230957e-09,-0.04132986668913703,True,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,mozaffari2016,30,0.0,1.862645149230957e-09,-0.037698490705407414,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,pso,static,30,0.0,1.862645149230957e-09,0.261512485495829,True,final_fitness,wilcoxon,holm
clustered_N250_K10,pso,static,30,0.0,1.862645149230957e-09,0.359459926240574,True,final_fitness,wilcoxon,holm
uniform_N250_K10,pso,static,30,0.0,1.862645149230957e-09,0.08900999777525012,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,mozaffari2016,30,4.0,1.30385160446167e-08,0.06848299230250475,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,mozaffari2016,30,6.0,2.60770320892334e-08,0.08445329787164899,True,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,pso,30,6.0,2.60770320892334e-08,-0.034186751526009924,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,static,30,8.0,4.6566128730773926e-08,0.23615292437583627,True,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,pso,30,9.0,6.146728992462158e-08,0.02512963804346412,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,static,30,9.0,6.146728992462158e-08,0.23263947427592122,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,mozaffari2016,30,12.0,1.30385160446167e-07,0.08093984777173398,True,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,static,30,18.0,4.7124922275543213e-07,0.05482324624924019,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,static,30,31.0,4.421919584274292e-06,0.22018261880669202,True,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,mozaffari2016,30,34.0,6.917864084243774e-06,-0.048233772808321876,True,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,pso,30,43.0,2.366676926612854e-05,-0.03475313099875692,True,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,pso,30,44.0,2.6885420083999634e-05,-0.01256885266194329,True,final_fitness,wilcoxon,holm
clustered_N250_K10,random,static,30,46.0,3.453157842159271e-05,0.06316888461690741,True,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,static,30,46.0,3.453157842159271e-05,-0.04101315403024846,True,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,centroid,30,50.0,5.5925920605659485e-05,0.024726721125089102,True,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,pso,30,56.0,0.00011058151721954346,-0.022590439049999918,True,final_fitness,wilcoxon,holm
