scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,significant,metric,test,correction
uniform_N250_K10,alzenad2017,ga,30,0.0,1.862645149230957e-09,-0.13652314990863493,True,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,pso,30,0.0,1.862645149230957e-09,-0.12711527224752592,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,random,30,0.0,1.862645149230957e-09,0.4261809686129911,True,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,static,30,0.0,1.862645149230957e-09,0.5550410420151889,True,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,random,30,0.0,1.862645149230957e-09,0.32995748215080134,True,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,mozaffari2016,30,0.0,1.862645149230957e-09,-0.09904933374681851,True,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,pso,30,0.0,1.862645149230957e-09,-0.058963816712779185,True,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,mozaffari2016,30,0.0,1.862645149230957e-09,-0.08870000590473724,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,static,30,0.0,1.862645149230957e-09,0.3930014381507246,True,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,random,30,0.0,1.862645149230957e-09,0.341836491386402,True,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,static,30,0.0,1.862645149230957e-09,0.5669200512507897,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,random,30,0.0,1.862645149230957e-09,0.4416148684820505,True,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,ga,30,0.0,1.862645149230957e-09,-0.12617382206655373,True,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,pso,30,0.0,1.862645149230957e-09,-0.11676594440544465,True,final_fitness,wilcoxon,holm
clustered_N250_K10,pso,static,30,0.0,1.862645149230957e-09,0.6140048587279684,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,pso,static,30,0.0,1.862645149230957e-09,0.3975548050848236,True,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,random,30,0.0,1.862645149230957e-09,0.35240487638317275,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,random,30,0.0,1.862645149230957e-09,0.3457015494080214,True,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,random,30,0.0,1.862645149230957e-09,0.1364926284747347,True,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,static,30,0.0,1.862645149230957e-09,0.5774884362475603,True,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,static,30,0.0,1.862645149230957e-09,0.17005702651107713,True,final_fitness,wilcoxon,holm
clustered_N250_K10,pso,random,30,0.0,1.862645149230957e-09,0.38892129886358057,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,pso,random,30,0.0,1.862645149230957e-09,0.44616823541614964,True,final_fitness,wilcoxon,holm
uniform_N250_K10,pso,random,30,0.0,1.862645149230957e-09,0.16455856697544208,True,final_fitness,wilcoxon,holm
clustered_N250_K10,random,static,30,0.0,1.862645149230957e-09,0.22508355986438763,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,random,30,0.0,1.862645149230957e-09,0.4035947081166313,True,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,static,30,0.0,1.862645149230957e-09,0.5548807945216245,True,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,static,30,0.0,1.862645149230957e-09,0.20753084267289362,True,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,pso,30,0.0,1.862645149230957e-09,-0.03651642248040788,True,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,random,30,0.0,1.862645149230957e-09,0.17396644463655117,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,pso,30,0.0,1.862645149230957e-09,-0.04257352729951844,True,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,random,30,0.0,1.862645149230957e-09,0.329797234657237,True,final_fitness,wilcoxon,holm
uniform_N250_K10,pso,static,30,0.0,1.862645149230957e-09,0.19812296501178453,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,static,30,1.0,3.725290298461914e-09,0.37756753828166506,True,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,pso,30,1.0,3.725290298461914e-09,-0.04708480747717852,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,pso,30,2.0,5.587935447692871e-09,-0.10046668600812826,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,mozaffari2016,30,2.0,5.587935447692871e-09,0.09591331907402921,True,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,pso,30,3.0,9.313225746154785e-09,-0.02806593850070739,True,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,mozaffari2016,30,5.0,1.862645149230957e-08,0.03747381616181646,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,pso,30,9.0,6.146728992462158e-08,-0.019987266803158567,True,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,static,30,13.0,1.6391277313232422e-07,0.07100769276425863,True,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,random,30,14.0,2.0489096641540527e-07,0.04779262256999744,True,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,static,30,14.0,2.0489096641540527e-07,0.08135702060633987,True,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,random,30,16.0,3.1478703022003174e-07,0.037443294727916195,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,mozaffari2016,30,17.0,3.855675458908081e-07,0.08047941920496969,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,static,30,17.0,3.855675458908081e-07,0.3549812777853052,True,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,pso,30,31.0,4.421919584274292e-06,-0.059124064206343634,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,centroid,30,34.0,6.917864084243774e-06,-0.01543389986905953,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,ga,30,35.0,7.994472980499268e-06,0.03802016036541939,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,static,30,39.0,1.3966113328933716e-05,0.29708811907669536,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,mozaffari2016,30,42.0,2.0798295736312866e-05,0.057893158708609824,True,final_fitness,wilcoxon,holm
uniform_N250_K10,random,static,30,62.0,0.00020912662148475647,0.03356439803634243,True,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,mozaffari2016,30,78.0,0.0009517744183540344,-0.022447394232371312,True,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,ga,30,108.0,0.009301122277975082,0.022586260496359867,False,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,pso,30,118.0,0.017453668639063835,0.009407877661109074,False,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,mozaffari2016,30,125.0,0.026228994131088257,-0.010568384996770645,False,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,pso,30,129.0,0.03272089920938015,-0.004553366934099038,False,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,centroid,30,144.0,0.06989291124045849,-0.011879009235600669,False,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,mozaffari2016,30,158.0,0.12935307621955872,-0.02260764172593576,False,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,centroid,30,160.0,0.140283040702343,-0.010349327842081249,False,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,random,static,30,193.0,0.42795460671186447,-0.048613430331325966,False,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,ga,30,203.0,0.5561132747679949,0.012039256729165115,False,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,ga,30,220.0,0.8078304156661034,0.00016024749356444712,False,final_fitness,wilcoxon,holm
