harness,method,scenario,seed_idx,instance_seed,optimizer_stream
tier1,pso,uniform_N250_K10,0,2906597030,"SeedSequence([9876, 1, 0, 0, 0])"
tier1,pso,uniform_N250_K10,1,1897199863,"SeedSequence([9876, 1, 0, 0, 1])"
tier1,pso,uniform_N250_K10,2,2252033902,"SeedSequence([9876, 1, 0, 0, 2])"
tier1,pso,uniform_N250_K10,3,1879402385,"SeedSequence([9876, 1, 0, 0, 3])"
tier1,pso,uniform_N250_K10,4,846342707,"SeedSequence([9876, 1, 0, 0, 4])"
tier1,pso,uniform_N250_K10,5,285823764,"SeedSequence([9876, 1, 0, 0, 5])"
tier1,pso,uniform_N250_K10,6,812504490,"SeedSequence([9876, 1, 0, 0, 6])"
tier1,pso,uniform_N250_K10,7,1849366408,"SeedSequence([9876, 1, 0, 0, 7])"
tier1,pso,uniform_N250_K10,8,3052122565,"SeedSequence([9876, 1, 0, 0, 8])"
tier1,pso,uniform_N250_K10,9,2467340011,"SeedSequence([9876, 1, 0, 0, 9])"
tier1,pso,uniform_N250_K10,10,4197919794,"SeedSequence([9876, 1, 0, 0, 10])"
tier1,pso,uniform_N250_K10,11,2834588526,"SeedSequence([9876, 1, 0, 0, 11])"
tier1,pso,uniform_N250_K10,12,2063422320,"SeedSequence([9876, 1, 0, 0, 12])"
tier1,pso,uniform_N250_K10,13,2937595121,"SeedSequence([9876, 1, 0, 0, 13])"
tier1,pso,uniform_N250_K10,14,2470441522,"SeedSequence([9876, 1, 0, 0, 14])"
tier1,pso,uniform_N250_K10,15,2753188299,"SeedSequence([9876, 1, 0, 0, 15])"
tier1,pso,uniform_N250_K10,16,2969715714,"SeedSequence([9876, 1, 0, 0, 16])"
tier1,pso,uniform_N250_K10,17,516405647,"SeedSequence([9876, 1, 0, 0, 17])"
tier1,pso,uniform_N250_K10,18,2228315801,"SeedSequence([9876, 1, 0, 0, 18])"
tier1,pso,uniform_N250_K10,19,2566146087,"SeedSequence([9876, 1, 0, 0, 19])"
tier1,ga,uniform_N250_K10,0,2906597030,"SeedSequence([9876, 1, 1, 0, 0])"
tier1,ga,uniform_N250_K10,1,1897199863,"SeedSequence([9876, 1, 1, 0, 1])"
tier1,ga,uniform_N250_K10,2,2252033902,"SeedSequence([9876, 1, 1, 0, 2])"
tier1,ga,uniform_N250_K10,3,1879402385,"SeedSequence([9876, 1, 1, 0, 3])"
tier1,ga,uniform_N250_K10,4,846342707,"SeedSequence([9876, 1, 1, 0, 4])"
tier1,ga,uniform_N250_K10,5,285823764,"SeedSequence([9876, 1, 1, 0, 5])"
tier1,ga,uniform_N250_K10,6,812504490,"SeedSequence([9876, 1, 1, 0, 6])"
tier1,ga,uniform_N250_K10,7,1849366408,"SeedSequence([9876, 1, 1, 0, 7])"
tier1,ga,uniform_N250_K10,8,3052122565,"SeedSequence([9876, 1, 1, 0, 8])"
tier1,ga,uniform_N250_K10,9,2467340011,"SeedSequence([9876, 1, 1, 0, 9])"
tier1,ga,uniform_N250_K10,10,4197919794,"SeedSequence([9876, 1, 1, 0, 10])"
tier1,ga,uniform_N250_K10,11,2834588526,"SeedSequence([9876, 1, 1, 0, 11])"
tier1,ga,uniform_N250_K10,12,2063422320,"SeedSequence([9876, 1, 1, 0, 12])"
tier1,ga,uniform_N250_K10,13,2937595121,"SeedSequence([9876, 1, 1, 0, 13])"
tier1,ga,uniform_N250_K10,14,2470441522,"SeedSequence([9876, 1, 1, 0, 14])"
tier1,ga,uniform_N250_K10,15,2753188299,"SeedSequence([9876, 1, 1, 0, 15])"
tier1,ga,uniform_N250_K10,16,2969715714,"SeedSequence([9876, 1, 1, 0, 16])"
tier1,ga,uniform_N250_K10,17,516405647,"SeedSequence([9876, 1, 1, 0, 17])"
tier1,ga,uniform_N250_K10,18,2228315801,"SeedSequence([9876, 1, 1, 0, 18])"
tier1,ga,uniform_N250_K10,19,2566146087,"SeedSequence([9876, 1, 1, 0, 19])"
tier1,centroid,uniform_N250_K10,0,2906597030,"SeedSequence([9876, 1, 2, 0, 0])"
tier1,centroid,uniform_N250_K10,1,1897199863,"SeedSequence([9876, 1, 2, 0, 1])"
tier1,centroid,uniform_N250_K10,2,2252033902,"SeedSequence([9876, 1, 2, 0, 2])"
tier1,centroid,uniform_N250_K10,3,1879402385,"SeedSequence([9876, 1, 2, 0, 3])"
tier1,centroid,uniform_N250_K10,4,846342707,"SeedSequence([9876, 1, 2, 0, 4])"
tier1,centroid,uniform_N250_K10,5,285823764,"SeedSequence([9876, 1, 2, 0, 5])"
tier1,centroid,uniform_N250_K10,6,812504490,"SeedSequence([9876, 1, 2, 0, 6])"
tier1,centroid,uniform_N250_K10,7,1849366408,"SeedSequence([9876, 1, 2, 0, 7])"
tier1,centroid,uniform_N250_K10,8,3052122565,"SeedSequence([9876, 1, 2, 0, 8])"
tier1,centroid,uniform_N250_K10,9,2467340011,"SeedSequence([9876, 1, 2, 0, 9])"
tier1,centroid,uniform_N250_K10,10,4197919794,"SeedSequence([9876, 1, 2, 0, 10])"
tier1,centroid,uniform_N250_K10,11,2834588526,"SeedSequence([9876, 1, 2, 0, 11])"
tier1,centroid,uniform_N250_K10,12,2063422320,"SeedSequence([9876, 1, 2, 0, 12])"
tier1,centroid,uniform_N250_K10,13,2937595121,"SeedSequence([9876, 1, 2, 0, 13])"
tier1,centroid,uniform_N250_K10,14,2470441522,"SeedSequence([9876, 1, 2, 0, 14])"
tier1,centroid,uniform_N250_K10,15,2753188299,"SeedSequence([9876, 1, 2, 0, 15])"
tier1,centroid,uniform_N250_K10,16,2969715714,"SeedSequence([9876, 1, 2, 0, 16])"
tier1,centroid,uniform_N250_K10,17,516405647,"SeedSequence([9876, 1, 2, 0, 17])"
tier1,centroid,uniform_N250_K10,18,2228315801,"SeedSequence([9876, 1, 2, 0, 18])"
tier1,centroid,uniform_N250_K10,19,2566146087,"SeedSequence([9876, 1, 2, 0, 19])"
tier1,static,uniform_N250_K10,0,2906597030,"SeedSequence([9876, 1, 3, 0, 0])"
tier1,static,uniform_N250_K10,1,1897199863,"SeedSequence([9876, 1, 3, 0, 1])"
tier1,static,uniform_N250_K10,2,2252033902,"SeedSequence([9876, 1, 3, 0, 2])"
tier1,static,uniform_N250_K10,3,1879402385,"SeedSequence([9876, 1, 3, 0, 3])"
tier1,static,uniform_N250_K10,4,846342707,"SeedSequence([9876, 1, 3, 0, 4])"
tier1,static,uniform_N250_K10,5,285823764,"SeedSequence([9876, 1, 3, 0, 5])"
tier1,static,uniform_N250_K10,6,812504490,"SeedSequence([9876, 1, 3, 0, 6])"
tier1,static,uniform_N250_K10,7,1849366408,"SeedSequence([9876, 1, 3, 0, 7])"
tier1,static,uniform_N250_K10,8,3052122565,"SeedSequence([9876, 1, 3, 0, 8])"
tier1,static,uniform_N250_K10,9,2467340011,"SeedSequence([9876, 1, 3, 0, 9])"
tier1,static,uniform_N250_K10,10,4197919794,"SeedSequence([9876, 1, 3, 0, 10])"
tier1,static,uniform_N250_K10,11,2834588526,"SeedSequence([9876, 1, 3, 0, 11])"
tier1,static,uniform_N250_K10,12,2063422320,"SeedSequence([9876, 1, 3, 0, 12])"
tier1,static,uniform_N250_K10,13,2937595121,"SeedSequence([9876, 1, 3, 0, 13])"
tier1,static,uniform_N250_K10,14,2470441522,"SeedSequence([9876, 1, 3, 0, 14])"
tier1,static,uniform_N250_K10,15,2753188299,"SeedSequence([9876, 1, 3, 0, 15])"
tier1,static,uniform_N250_K10,16,2969715714,"SeedSequence([9876, 1, 3, 0, 16])"
tier1,static,uniform_N250_K10,17,516405647,"SeedSequence([9876, 1, 3, 0, 17])"
tier1,static,uniform_N250_K10,18,2228315801,"SeedSequence([9876, 1, 3, 0, 18])"
tier1,static,uniform_N250_K10,19,2566146087,"SeedSequence([9876, 1, 3, 0, 19])"
tier1,random,uniform_N250_K10,0,2906597030,"SeedSequence([9876, 1, 4, 0, 0])"
tier1,random,uniform_N250_K10,1,1897199863,"SeedSequence([9876, 1, 4, 0, 1])"
tier1,random,uniform_N250_K10,2,2252033902,"SeedSequence([9876, 1, 4, 0, 2])"
tier1,random,uniform_N250_K10,3,1879402385,"SeedSequence([9876, 1, 4, 0, 3])"
tier1,random,uniform_N250_K10,4,846342707,"SeedSequence([9876, 1, 4, 0, 4])"
tier1,random,uniform_N250_K10,5,285823764,"SeedSequence([9876, 1, 4, 0, 5])"
tier1,random,uniform_N250_K10,6,812504490,"SeedSequence([9876, 1, 4, 0, 6])"
tier1,random,uniform_N250_K10,7,1849366408,"SeedSequence([9876, 1, 4, 0, 7])"
tier1,random,uniform_N250_K10,8,3052122565,"SeedSequence([9876, 1, 4, 0, 8])"
tier1,random,uniform_N250_K10,9,2467340011,"SeedSequence([9876, 1, 4, 0, 9])"
tier1,random,uniform_N250_K10,10,4197919794,"SeedSequence([9876, 1, 4, 0, 10])"
tier1,random,uniform_N250_K10,11,2834588526,"SeedSequence([9876, 1, 4, 0, 11])"
tier1,random,uniform_N250_K10,12,2063422320,"SeedSequence([9876, 1, 4, 0, 12])"
tier1,random,uniform_N250_K10,13,2937595121,"SeedSequence([9876, 1, 4, 0, 13])"
tier1,random,uniform_N250_K10,14,2470441522,"SeedSequence([9876, 1, 4, 0, 14])"
tier1,random,uniform_N250_K10,15,2753188299,"SeedSequence([9876, 1, 4, 0, 15])"
tier1,random,uniform_N250_K10,16,2969715714,"SeedSequence([9876, 1, 4, 0, 16])"
tier1,random,uniform_N250_K10,17,516405647,"SeedSequence([9876, 1, 4, 0, 17])"
tier1,random,uniform_N250_K10,18,2228315801,"SeedSequence([9876, 1, 4, 0, 18])"
tier1,random,uniform_N250_K10,19,2566146087,"SeedSequence([9876, 1, 4, 0, 19])"
tier1,mozaffari2016,uniform_N250_K10,0,2906597030,"SeedSequence([9876, 1, 5, 0, 0])"
tier1,mozaffari2016,uniform_N250_K10,1,1897199863,"SeedSequence([9876, 1, 5, 0, 1])"
tier1,mozaffari2016,uniform_N250_K10,2,2252033902,"SeedSequence([9876, 1, 5, 0, 2])"
tier1,mozaffari2016,uniform_N250_K10,3,1879402385,"SeedSequence([9876, 1, 5, 0, 3])"
tier1,mozaffari2016,uniform_N250_K10,4,846342707,"SeedSequence([9876, 1, 5, 0, 4])"
tier1,mozaffari2016,uniform_N250_K10,5,285823764,"SeedSequence([9876, 1, 5, 0, 5])"
tier1,mozaffari2016,uniform_N250_K10,6,812504490,"SeedSequence([9876, 1, 5, 0, 6])"
tier1,mozaffari2016,uniform_N250_K10,7,1849366408,"SeedSequence([9876, 1, 5, 0, 7])"
tier1,mozaffari2016,uniform_N250_K10,8,3052122565,"SeedSequence([9876, 1, 5, 0, 8])"
tier1,mozaffari2016,uniform_N250_K10,9,2467340011,"SeedSequence([9876, 1, 5, 0, 9])"
tier1,mozaffari2016,uniform_N250_K10,10,4197919794,"SeedSequence([9876, 1, 5, 0, 10])"
tier1,mozaffari2016,uniform_N250_K10,11,2834588526,"SeedSequence([9876, 1, 5, 0, 11])"
tier1,mozaffari2016,uniform_N250_K10,12,2063422320,"SeedSequence([9876, 1, 5, 0, 12])"
tier1,mozaffari2016,uniform_N250_K10,13,2937595121,"SeedSequence([9876, 1, 5, 0, 13])"
tier1,mozaffari2016,uniform_N250_K10,14,2470441522,"SeedSequence([9876, 1, 5, 0, 14])"
tier1,mozaffari2016,uniform_N250_K10,15,2753188299,"SeedSequence([9876, 1, 5, 0, 15])"
tier1,mozaffari2016,uniform_N250_K10,16,2969715714,"SeedSequence([9876, 1, 5, 0, 16])"
tier1,mozaffari2016,uniform_N250_K10,17,516405647,"SeedSequence([9876, 1, 5, 0, 17])"
tier1,mozaffari2016,uniform_N250_K10,18,2228315801,"SeedSequence([9876, 1, 5, 0, 18])"
tier1,mozaffari2016,uniform_N250_K10,19,2566146087,"SeedSequence([9876, 1, 5, 0, 19])"
tier1,alzenad2017,uniform_N250_K10,0,2906597030,"SeedSequence([9876, 1, 6, 0, 0])"
tier1,alzenad2017,uniform_N250_K10,1,1897199863,"SeedSequence([9876, 1, 6, 0, 1])"
tier1,alzenad2017,uniform_N250_K10,2,2252033902,"SeedSequence([9876, 1, 6, 0, 2])"
tier1,alzenad2017,uniform_N250_K10,3,1879402385,"SeedSequence([9876, 1, 6, 0, 3])"
tier1,alzenad2017,uniform_N250_K10,4,846342707,"SeedSequence([9876, 1, 6, 0, 4])"
tier1,alzenad2017,uniform_N250_K10,5,285823764,"SeedSequence([9876, 1, 6, 0, 5])"
tier1,alzenad2017,uniform_N250_K10,6,812504490,"SeedSequence([9876, 1, 6, 0, 6])"
tier1,alzenad2017,uniform_N250_K10,7,1849366408,"SeedSequence([9876, 1, 6, 0, 7])"
tier1,alzenad2017,uniform_N250_K10,8,3052122565,"SeedSequence([9876, 1, 6, 0, 8])"
tier1,alzenad2017,uniform_N250_K10,9,2467340011,"SeedSequence([9876, 1, 6, 0, 9])"
tier1,alzenad2017,uniform_N250_K10,10,4197919794,"SeedSequence([9876, 1, 6, 0, 10])"
tier1,alzenad2017,uniform_N250_K10,11,2834588526,"SeedSequence([9876, 1, 6, 0, 11])"
tier1,alzenad2017,uniform_N250_K10,12,2063422320,"SeedSequence([9876, 1, 6, 0, 12])"
