R_comm,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
4000.0,proposed_hfl,flat_fl,10,0.0,0.001953125,0.06501371923377203,1.0,0.05324012586520205,0.07570307469281107,True,group,proposed_hfl,macro_f1,wilcoxon,holm
12000.0,proposed_hfl,flat_fl,10,0.0,0.001953125,0.1605440787274767,1.0,0.15394499469262984,0.16867159375691534,True,group,proposed_hfl,macro_f1,wilcoxon,holm
8000.0,proposed_hfl,flat_fl,10,0.0,0.001953125,0.1104840124499358,1.0,0.10415699133967574,0.1169601956265268,True,group,proposed_hfl,macro_f1,wilcoxon,holm
6000.0,proposed_hfl,flat_fl,10,0.0,0.001953125,0.09086954903151524,1.0,0.08126435372483738,0.10034835672795915,True,group,proposed_hfl,macro_f1,wilcoxon,holm
20000.0,proposed_hfl,flat_fl,10,0.0,0.001953125,0.189585556425326,1.0,0.1786101725995089,0.19983762456049678,True,group,proposed_hfl,macro_f1,wilcoxon,holm
8000.0,proposed_hfl,mozaffari2016,10,0.0,0.001953125,0.09542255990238008,1.0,0.08714599260411325,0.1029784379923511,True,group,proposed_hfl,macro_f1,wilcoxon,holm
12000.0,proposed_hfl,mozaffari2016,10,0.0,0.001953125,0.11232936456257817,1.0,0.09217407912197703,0.12710216936709112,True,group,proposed_hfl,macro_f1,wilcoxon,holm
4000.0,proposed_hfl,mozaffari2016,10,0.0,0.001953125,0.08179699241073098,1.0,0.06557437916221573,0.09726749999105586,True,group,proposed_hfl,macro_f1,wilcoxon,holm
6000.0,proposed_hfl,mozaffari2016,10,0.0,0.001953125,0.10283870760288863,1.0,0.0839990041883361,0.12201166362126926,True,group,proposed_hfl,macro_f1,wilcoxon,holm
2000.0,proposed_hfl,mozaffari2016,10,3.0,0.009765625,0.04898043320773579,0.8909090909090909,0.021385636319580726,0.08189481502573634,True,group,proposed_hfl,macro_f1,wilcoxon,holm
12000.0,proposed_hfl,alzenad2017,10,5.0,0.01953125,0.01831919442380926,0.8181818181818182,0.007959891734947164,0.028685011942222026,True,group,proposed_hfl,macro_f1,wilcoxon,holm
20000.0,proposed_hfl,mozaffari2016,10,12.0,0.130859375,0.01162003400134438,0.5636363636363636,-0.0003529965065885176,0.022882783771624962,False,group,proposed_hfl,macro_f1,wilcoxon,holm
4000.0,proposed_hfl,alzenad2017,10,13.0,0.16015625,-0.006635348029294353,-0.5272727272727272,-0.014555491159201262,0.0019363287375656478,False,group,proposed_hfl,macro_f1,wilcoxon,holm
6000.0,proposed_hfl,alzenad2017,10,14.0,0.193359375,-0.004752555736760417,-0.4909090909090909,-0.010286078403571219,0.0002936140643969964,False,group,proposed_hfl,macro_f1,wilcoxon,holm
2000.0,proposed_hfl,hfl_static,10,14.0,0.193359375,-0.015168994607430236,-0.4909090909090909,-0.03321661334316168,0.00495246109178396,False,group,proposed_hfl,macro_f1,wilcoxon,holm
4000.0,proposed_hfl,hfl_static,10,15.0,0.232421875,0.00953344745124195,0.45454545454545453,-0.001036136005955555,0.022608574190170982,False,group,proposed_hfl,macro_f1,wilcoxon,holm
12000.0,proposed_hfl,hfl_static,10,18.0,0.375,0.008047881141596252,0.34545454545454546,-0.004671494612135643,0.0206463444228841,False,group,proposed_hfl,macro_f1,wilcoxon,holm
6000.0,proposed_hfl,hfl_static,10,18.0,0.375,0.004229227336477759,0.34545454545454546,-0.0029895185949733454,0.010643236542078058,False,group,proposed_hfl,macro_f1,wilcoxon,holm
2000.0,proposed_hfl,flat_fl,10,19.0,0.431640625,-0.007050820811632464,-0.3090909090909091,-0.021509335865259053,0.00663974150840112,False,group,proposed_hfl,macro_f1,wilcoxon,holm
20000.0,proposed_hfl,alzenad2017,10,22.0,0.625,-0.0036654575533327516,-0.2,-0.02070403567261311,0.013211741411257461,False,group,proposed_hfl,macro_f1,wilcoxon,holm
8000.0,proposed_hfl,hfl_static,10,22.0,0.625,0.00454519019349221,0.2,-0.00612132050479786,0.014905633666328704,False,group,proposed_hfl,macro_f1,wilcoxon,holm
2000.0,proposed_hfl,alzenad2017,10,23.0,0.6953125,-0.005356208638812532,-0.16363636363636364,-0.024617581924696322,0.013958526906489348,False,group,proposed_hfl,macro_f1,wilcoxon,holm
20000.0,proposed_hfl,hfl_static,10,24.0,0.76953125,0.0019469302595334248,0.12727272727272726,-0.01413989070430457,0.01794886972250469,False,group,proposed_hfl,macro_f1,wilcoxon,holm
8000.0,proposed_hfl,alzenad2017,10,27.0,1.0,-0.00023069700179855767,0.01818181818181818,-0.009533875280174176,0.008620081183913393,False,group,proposed_hfl,macro_f1,wilcoxon,holm
