harness,method,N,R_comm,seed_idx,job_seed,seed,partition_seed
coverage,proposed_hfl,200,500,0,16076,21359,5309
coverage,proposed_hfl,200,500,1,23995,12312,5310
coverage,proposed_hfl,200,500,2,31914,4361,5311
coverage,proposed_hfl,200,500,3,39833,63034,5312
coverage,proposed_hfl,200,500,4,47752,55083,5313
coverage,proposed_hfl,200,500,5,55671,46292,5314
coverage,proposed_hfl,200,500,6,63590,38341,5315
coverage,proposed_hfl,200,500,7,71509,97014,5316
coverage,proposed_hfl,200,500,8,79428,89063,5317
coverage,proposed_hfl,200,500,9,87347,80016,5318
coverage,flat_fl,200,500,0,16076,49756,5309
coverage,flat_fl,200,500,1,23995,41259,5310
coverage,flat_fl,200,500,2,31914,32826,5311
coverage,flat_fl,200,500,3,39833,26377,5312
coverage,flat_fl,200,500,4,47752,17944,5313
coverage,flat_fl,200,500,5,55671,9703,5314
coverage,flat_fl,200,500,6,63590,1270,5315
coverage,flat_fl,200,500,7,71509,125893,5316
coverage,flat_fl,200,500,8,79428,117460,5317
coverage,flat_fl,200,500,9,87347,108963,5318
coverage,hfl_no_selection,200,500,0,16076,24446,5309
coverage,hfl_no_selection,200,500,1,23995,15369,5310
coverage,hfl_no_selection,200,500,2,31914,7448,5311
coverage,hfl_no_selection,200,500,3,39833,64043,5312
coverage,hfl_no_selection,200,500,4,47752,56122,5313
coverage,hfl_no_selection,200,500,5,55671,47301,5314
coverage,hfl_no_selection,200,500,6,63590,39380,5315
coverage,hfl_no_selection,200,500,7,71509,95975,5316
coverage,hfl_no_selection,200,500,8,79428,88054,5317
coverage,hfl_no_selection,200,500,9,87347,78977,5318
coverage,fedcs,200,500,0,16076,53402,5309
coverage,fedcs,200,500,1,23995,46061,5310
coverage,fedcs,200,500,2,31914,37628,5311
coverage,fedcs,200,500,3,39833,30159,5312
coverage,fedcs,200,500,4,47752,21726,5313
coverage,fedcs,200,500,5,55671,14113,5314
coverage,fedcs,200,500,6,63590,5680,5315
coverage,fedcs,200,500,7,71509,129283,5316
coverage,fedcs,200,500,8,79428,120850,5317
coverage,fedcs,200,500,9,87347,113509,5318
coverage,oort,200,500,0,16076,37532,5309
coverage,oort,200,500,1,23995,61931,5310
coverage,oort,200,500,2,31914,53498,5311
coverage,oort,200,500,3,39833,14281,5312
coverage,oort,200,500,4,47752,5848,5313
coverage,oort,200,500,5,55671,29991,5314
coverage,oort,200,500,6,63590,21558,5315
coverage,oort,200,500,7,71509,113413,5316
coverage,oort,200,500,8,79428,104980,5317
coverage,oort,200,500,9,87347,129379,5318
coverage,proposed_hfl,200,1000,0,16076,21359,5309
coverage,proposed_hfl,200,1000,1,23995,12312,5310
coverage,proposed_hfl,200,1000,2,31914,4361,5311
coverage,proposed_hfl,200,1000,3,39833,63034,5312
coverage,proposed_hfl,200,1000,4,47752,55083,5313
coverage,proposed_hfl,200,1000,5,55671,46292,5314
coverage,proposed_hfl,200,1000,6,63590,38341,5315
coverage,proposed_hfl,200,1000,7,71509,97014,5316
coverage,proposed_hfl,200,1000,8,79428,89063,5317
coverage,proposed_hfl,200,1000,9,87347,80016,5318
coverage,flat_fl,200,1000,0,16076,49756,5309
coverage,flat_fl,200,1000,1,23995,41259,5310
coverage,flat_fl,200,1000,2,31914,32826,5311
coverage,flat_fl,200,1000,3,39833,26377,5312
coverage,flat_fl,200,1000,4,47752,17944,5313
