R_comm,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
500.0,mclp_place,alzenad2017,10,0.0,0.001953125,-0.27184881573568237,-1.0,-0.35980171819573453,-0.19589344127917138,True,group,mclp_place,accuracy,wilcoxon,holm
5000.0,mclp_place,alzenad2017,10,0.0,0.001953125,0.23291712717087826,1.0,0.16306686800113798,0.306678807415696,True,group,mclp_place,accuracy,wilcoxon,holm
500.0,mclp_place,flat_fl,10,0.0,0.001953125,-0.3101634181334375,-1.0,-0.41288019851301727,-0.21864293889891384,True,group,mclp_place,accuracy,wilcoxon,holm
5000.0,mclp_place,de_place,10,0.0,0.001953125,-0.025277113184772847,-1.0,-0.06146195028376303,-0.004962292348704454,True,group,mclp_place,accuracy,wilcoxon,holm
500.0,mclp_place,mogoa,10,0.0,0.001953125,-0.3010956758743136,-1.0,-0.42097810319922724,-0.19486077420119952,True,group,mclp_place,accuracy,wilcoxon,holm
4000.0,mclp_place,spiral_place,10,0.0,0.001953125,0.18475929068331604,1.0,0.1324127708528279,0.22933966473547943,True,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,spiral_place,10,0.0,0.001953125,0.2752984000870724,1.0,0.1940775529283403,0.339505290595694,True,group,mclp_place,accuracy,wilcoxon,holm
500.0,mclp_place,pso_cluster_place,10,0.0,0.001953125,-0.30029375031196043,-1.0,-0.42216883873074335,-0.18817786116893712,True,group,mclp_place,accuracy,wilcoxon,holm
5000.0,mclp_place,mozaffari2016,10,1.0,0.00390625,0.16535598603496923,0.9636363636363636,0.11531217545760798,0.1992909682347887,False,group,mclp_place,accuracy,wilcoxon,holm
1000.0,mclp_place,de_place,10,1.0,0.00390625,-0.20509396755719375,-0.9636363636363636,-0.34620407683502386,-0.08299506790231297,False,group,mclp_place,accuracy,wilcoxon,holm
4000.0,mclp_place,mogoa,10,1.0,0.00390625,-0.05111062409964179,-0.9636363636363636,-0.09912297057879497,-0.012412074946586268,False,group,mclp_place,accuracy,wilcoxon,holm
3000.0,mclp_place,mozaffari2016,10,2.0,0.005859375,0.15814333637176595,0.9272727272727272,0.0934048198684425,0.21190568165127696,False,group,mclp_place,accuracy,wilcoxon,holm
5000.0,mclp_place,gwo_place,10,2.0,0.005859375,-0.023335401612926188,-0.9272727272727272,-0.05607307821604731,-0.004683271718852206,False,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,mozaffari2016,10,2.0,0.005859375,0.13501244897980874,0.9272727272727272,0.074202092219603,0.18121668779881853,False,group,mclp_place,accuracy,wilcoxon,holm
3000.0,mclp_place,spiral_place,10,2.0,0.005859375,0.2184410543678486,0.9272727272727272,0.13945305931714438,0.28293085159938636,False,group,mclp_place,accuracy,wilcoxon,holm
4000.0,mclp_place,alzenad2017,10,2.0,0.005859375,0.19962296994153284,0.9272727272727272,0.09968862935268792,0.28050786217347445,False,group,mclp_place,accuracy,wilcoxon,holm
4000.0,mclp_place,mozaffari2016,10,2.0,0.005859375,0.12465653525048177,0.9272727272727272,0.07159838819503478,0.16953622995674061,False,group,mclp_place,accuracy,wilcoxon,holm
4000.0,mclp_place,gwo_place,10,3.0,0.009765625,-0.05055596752579056,-0.8909090909090909,-0.09837514533536405,-0.011121336584655079,False,group,mclp_place,accuracy,wilcoxon,holm
4000.0,mclp_place,cap_kmeans_place,10,3.0,0.009765625,-0.04790104980607015,-0.8909090909090909,-0.09442489699942835,-0.010382814659207748,False,group,mclp_place,accuracy,wilcoxon,holm
5000.0,mclp_place,spiral_place,10,3.0,0.009765625,0.13916806584130187,0.8909090909090909,0.0827753330366992,0.19021549850866484,False,group,mclp_place,accuracy,wilcoxon,holm
