R_comm,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
500.0,mclp_place,ahc_place,10,0.0,0.001953125,6.75,1.0,5.95,7.7,True,group,mclp_place,coverage_pct,wilcoxon,holm
1000.0,mclp_place,ahc_place,10,0.0,0.001953125,17.65,1.0,16.85,18.35,True,group,mclp_place,coverage_pct,wilcoxon,holm
2000.0,mclp_place,ahc_place,10,0.0,0.001953125,22.0,1.0,21.2,22.8,True,group,mclp_place,coverage_pct,wilcoxon,holm
3000.0,mclp_place,ahc_place,10,0.0,0.001953125,13.6,1.0,11.55,15.45,True,group,mclp_place,coverage_pct,wilcoxon,holm
4000.0,mclp_place,ahc_place,10,0.0,0.001953125,5.7,1.0,3.7,7.75,True,group,mclp_place,coverage_pct,wilcoxon,holm
1000.0,mclp_place,alzenad2017,10,0.0,0.001953125,-2.05,-1.0,-2.75,-1.4,True,group,mclp_place,coverage_pct,wilcoxon,holm
3000.0,mclp_place,alzenad2017,10,0.0,0.001953125,29.1,1.0,27.4,30.95,True,group,mclp_place,coverage_pct,wilcoxon,holm
2000.0,mclp_place,alzenad2017,10,0.0,0.001953125,3.4,1.0,2.05,4.85,True,group,mclp_place,coverage_pct,wilcoxon,holm
500.0,mclp_place,cap_kmeans_place,10,0.0,0.001953125,8.875,1.0,8.15,9.5,True,group,mclp_place,coverage_pct,wilcoxon,holm
1000.0,mclp_place,cap_kmeans_place,10,0.0,0.001953125,14.0,1.0,12.975,15.025,True,group,mclp_place,coverage_pct,wilcoxon,holm
4000.0,mclp_place,alzenad2017,10,0.0,0.001953125,43.7,1.0,42.6,44.9,True,group,mclp_place,coverage_pct,wilcoxon,holm
5000.0,mclp_place,alzenad2017,10,0.0,0.001953125,52.9,1.0,51.05,54.9,True,group,mclp_place,coverage_pct,wilcoxon,holm
2000.0,mclp_place,cap_kmeans_place,10,0.0,0.001953125,13.275,1.0,11.9,14.875,True,group,mclp_place,coverage_pct,wilcoxon,holm
3000.0,mclp_place,cap_kmeans_place,10,0.0,0.001953125,10.625,1.0,9.025,12.275,True,group,mclp_place,coverage_pct,wilcoxon,holm
5000.0,mclp_place,cap_kmeans_place,10,0.0,0.001953125,5.9,1.0,3.55,8.725,True,group,mclp_place,coverage_pct,wilcoxon,holm
4000.0,mclp_place,cap_kmeans_place,10,0.0,0.001953125,8.35,1.0,7.125,9.425,True,group,mclp_place,coverage_pct,wilcoxon,holm
500.0,mclp_place,flat_fl,10,0.0,0.001953125,-87.85,-1.0,-88.25,-87.4,True,group,mclp_place,coverage_pct,wilcoxon,holm
5000.0,mclp_place,de_place,10,0.0,0.001953125,20.375,1.0,17.725,23.275,True,group,mclp_place,coverage_pct,wilcoxon,holm
500.0,mclp_place,centroid_place,10,0.0,0.001953125,9.375,1.0,8.725,10.075,True,group,mclp_place,coverage_pct,wilcoxon,holm
1000.0,mclp_place,centroid_place,10,0.0,0.001953125,14.6,1.0,13.9,15.25,True,group,mclp_place,coverage_pct,wilcoxon,holm
2000.0,mclp_place,centroid_place,10,0.0,0.001953125,15.4,1.0,14.3,16.525,True,group,mclp_place,coverage_pct,wilcoxon,holm
3000.0,mclp_place,centroid_place,10,0.0,0.001953125,6.55,1.0,5.375,7.65,True,group,mclp_place,coverage_pct,wilcoxon,holm
2000.0,mclp_place,de_place,10,0.0,0.001953125,17.925,1.0,16.775,19.1,True,group,mclp_place,coverage_pct,wilcoxon,holm
1000.0,mclp_place,de_place,10,0.0,0.001953125,9.675,1.0,8.55,10.625,True,group,mclp_place,coverage_pct,wilcoxon,holm
1000.0,mclp_place,flat_fl,10,0.0,0.001953125,-76.55,-1.0,-77.2,-75.85,True,group,mclp_place,coverage_pct,wilcoxon,holm
4000.0,mclp_place,de_place,10,0.0,0.001953125,19.875,1.0,17.8,21.925,True,group,mclp_place,coverage_pct,wilcoxon,holm
3000.0,mclp_place,de_place,10,0.0,0.001953125,17.35,1.0,16.05,18.7,True,group,mclp_place,coverage_pct,wilcoxon,holm
500.0,mclp_place,ga_place,10,0.0,0.001953125,8.1,1.0,7.125,9.075,True,group,mclp_place,coverage_pct,wilcoxon,holm
5000.0,mclp_place,flat_fl,10,0.0,0.001953125,-19.6,-1.0,-21.1,-17.95,True,group,mclp_place,coverage_pct,wilcoxon,holm
4000.0,mclp_place,flat_fl,10,0.0,0.001953125,-29.1,-1.0,-30.1,-28.1,True,group,mclp_place,coverage_pct,wilcoxon,holm
3000.0,mclp_place,flat_fl,10,0.0,0.001953125,-42.3,-1.0,-43.45,-41.0,True,group,mclp_place,coverage_pct,wilcoxon,holm
2000.0,mclp_place,flat_fl,10,0.0,0.001953125,-56.25,-1.0,-56.85,-55.6,True,group,mclp_place,coverage_pct,wilcoxon,holm
