method,N,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,f1_survived_mean,f1_survived_std,f1_collapsed_mean,f1_collapsed_std,f1_obstructed_mean,f1_obstructed_std,f1_missing_mean,f1_missing_std,n_seeds
alzenad2017,30,0.5742,0.2041,0.2506,0.0605,0.7035,0.2025,0.0729,0.0693,0.1241,0.0989,0.1017,0.0898,10
alzenad2017,50,0.6959,0.2391,0.2291,0.0728,0.773,0.2858,0.0707,0.0921,0.0123,0.0381,0.0605,0.098,10
alzenad2017,100,0.6225,0.1261,0.2847,0.0337,0.7653,0.0889,0.1321,0.0571,0.0695,0.0434,0.172,0.101,10
alzenad2017,200,0.5659,0.0957,0.2942,0.0425,0.7169,0.0907,0.1174,0.0378,0.1137,0.058,0.229,0.0233,10
centralized,30,0.7644,0.0124,0.5971,0.0076,0.8547,0.01,0.3242,0.0197,0.7935,0.011,0.4158,0.0088,10
centralized,50,0.7698,0.013,0.6,0.0074,0.859,0.0104,0.332,0.0255,0.7871,0.0139,0.422,0.0131,10
centralized,100,0.7655,0.0111,0.6,0.0096,0.8552,0.0083,0.3358,0.0198,0.7884,0.0112,0.4207,0.0126,10
centralized,200,0.7674,0.0107,0.5994,0.0109,0.8571,0.0082,0.3285,0.0221,0.7981,0.0154,0.414,0.0155,10
fair_mab,30,0.5659,0.0599,0.3561,0.0295,0.711,0.0588,0.2299,0.0244,0.2209,0.0574,0.2628,0.0127,10
fair_mab,50,0.5502,0.0899,0.3439,0.0476,0.6933,0.0862,0.2287,0.0427,0.1918,0.0775,0.2617,0.0181,10
fair_mab,100,0.5766,0.0206,0.3733,0.0138,0.7222,0.0187,0.2569,0.0355,0.2454,0.0355,0.2687,0.0127,10
fair_mab,200,0.6071,0.034,0.3855,0.0169,0.7498,0.03,0.2261,0.0267,0.2916,0.0421,0.2747,0.0089,10
fedcs,30,0.68,0.032,0.4208,0.0205,0.8078,0.0258,0.2625,0.0262,0.3158,0.0577,0.2973,0.0127,10
fedcs,50,0.6964,0.0185,0.4205,0.0137,0.8218,0.014,0.2577,0.0292,0.3226,0.0497,0.2798,0.0129,10
fedcs,100,0.6833,0.0128,0.4146,0.0116,0.8123,0.0102,0.2683,0.0106,0.2945,0.0314,0.2834,0.0096,10
fedcs,200,0.7024,0.0116,0.4172,0.011,0.8271,0.0085,0.2703,0.0223,0.2956,0.0319,0.276,0.0084,10
flat_fl,30,0.7589,0.0189,0.5136,0.0211,0.8587,0.0122,0.3063,0.0323,0.6015,0.0796,0.288,0.0251,10
flat_fl,50,0.7461,0.0244,0.4526,0.0265,0.8537,0.0161,0.3024,0.0073,0.3807,0.0897,0.2735,0.0135,10
flat_fl,100,0.7353,0.0157,0.4355,0.0159,0.8469,0.0103,0.2792,0.0167,0.3485,0.0553,0.2675,0.0313,10
flat_fl,200,0.7442,0.0061,0.3939,0.0216,0.8556,0.0036,0.255,0.0273,0.2221,0.0697,0.2429,0.0197,10
hfl_no_reputation,30,0.6581,0.1385,0.352,0.0317,0.7795,0.1098,0.237,0.0548,0.2019,0.0639,0.1898,0.1081,10
hfl_no_reputation,50,0.8197,0.0042,0.3056,0.0184,0.9008,0.0024,0.1786,0.0561,0.1207,0.049,0.0223,0.0178,10
hfl_no_reputation,100,0.7557,0.0837,0.3588,0.0308,0.8602,0.0562,0.2328,0.0534,0.1849,0.0598,0.1573,0.0875,10
