method,coverage_pct,participation_pct,comm_mb_round,cumulative_energy_j,round_time_s,placement_fitness,jain_fairness,rounds_to_target
alzenad2017,100.0,30.5417,23.9573,589232728.6206,12.1163,0.7733,0.8906,23.15
centralized,100.0,,0.0,0.0,33.5704,1.0,,
fair_mab,100.0,31.8333,33.1907,379423896.454,14.706,0.7781,0.9032,54.2188
fedcs,100.0,31.9292,28.7746,358668140.5053,14.7032,0.7776,0.8672,64.2703
flat_fl,100.0,30.4042,15.0729,0.0,7.3637,1.0,0.8873,70.0769
hfl_no_reputation,100.0,30.1167,23.8725,376884718.415,13.4893,0.7777,0.9018,25.025
hfl_no_selection,100.0,31.4167,29.5207,352752915.7159,13.7729,0.7775,0.8773,60.5263
hfl_static,100.0,32.0208,24.9896,0.0,14.23,0.7851,0.8856,27.55
mozaffari2016,100.0,28.7,18.9968,9854563.3642,13.2039,0.6532,0.8178,28.925
oort,100.0,30.6792,32.6837,368895449.387,14.2263,0.7778,0.9016,46.2812
power_of_choice,100.0,31.0375,32.5504,373107713.0635,13.961,0.7778,0.8933,47.3529
proposed_hfl,100.0,32.7042,24.3465,372445980.2814,14.5821,0.7779,0.8971,25.6
rep_cap,100.0,30.6417,32.7533,373979223.3755,13.4051,0.7779,0.8911,58.0323
