method,f1_survived,f1_collapsed,f1_obstructed,f1_missing
alzenad2017,0.8654,0.3387,0.687,0.365
centralized,0.8746,0.3539,0.8053,0.4217
fair_mab,0.869,0.3178,0.4836,0.2723
fedcs,0.8677,0.3294,0.5071,0.2826
flat_fl,0.8711,0.2868,0.3053,0.225
hfl_no_reputation,0.8647,0.3392,0.6729,0.3632
hfl_no_selection,0.865,0.3188,0.524,0.2895
hfl_static,0.8631,0.3352,0.6551,0.352
mozaffari2016,0.8643,0.3317,0.6821,0.353
oort,0.8671,0.3103,0.4895,0.2824
power_of_choice,0.8642,0.3069,0.511,0.292
proposed_hfl,0.8659,0.3404,0.6933,0.3608
rep_cap,0.8677,0.3095,0.4693,0.2661
