harness,method,N,seed_idx,job_seed,seed,partition_seed
paper_sweep,proposed_hfl,30,0,10806,18325,5309
paper_sweep,proposed_hfl,30,1,18725,9350,5310
paper_sweep,proposed_hfl,30,2,26644,1463,5311
paper_sweep,proposed_hfl,30,3,34563,60064,5312
paper_sweep,proposed_hfl,30,4,42482,51281,5313
paper_sweep,proposed_hfl,30,5,50401,43330,5314
paper_sweep,proposed_hfl,30,6,58320,36467,5315
paper_sweep,proposed_hfl,30,7,66239,93980,5316
paper_sweep,proposed_hfl,30,8,74158,85005,5317
paper_sweep,proposed_hfl,30,9,82077,77118,5318
paper_sweep,flat_fl,30,0,10806,54950,5309
paper_sweep,flat_fl,30,1,18725,46517,5310
paper_sweep,flat_fl,30,2,26644,38020,5311
paper_sweep,flat_fl,30,3,34563,31635,5312
paper_sweep,flat_fl,30,4,42482,22882,5313
paper_sweep,flat_fl,30,5,50401,14449,5314
paper_sweep,flat_fl,30,6,58320,8000,5315
paper_sweep,flat_fl,30,7,66239,130607,5316
paper_sweep,flat_fl,30,8,74158,122174,5317
paper_sweep,flat_fl,30,9,82077,113677,5318
paper_sweep,centralized,30,0,10806,55410,5309
paper_sweep,centralized,30,1,18725,47969,5310
paper_sweep,centralized,30,2,26644,39504,5311
paper_sweep,centralized,30,3,34563,30023,5312
paper_sweep,centralized,30,4,42482,22454,5313
paper_sweep,centralized,30,5,50401,13989,5314
paper_sweep,centralized,30,6,58320,4500,5315
paper_sweep,centralized,30,7,66239,127227,5316
paper_sweep,centralized,30,8,74158,119786,5317
paper_sweep,centralized,30,9,82077,111321,5318
paper_sweep,hfl_no_selection,30,0,10806,19332,5309
paper_sweep,hfl_no_selection,30,1,18725,10391,5310
paper_sweep,hfl_no_selection,30,2,26644,2470,5311
paper_sweep,hfl_no_selection,30,3,34563,59057,5312
paper_sweep,hfl_no_selection,30,4,42482,50240,5313
paper_sweep,hfl_no_selection,30,5,50401,42323,5314
paper_sweep,hfl_no_selection,30,6,58320,33378,5315
paper_sweep,hfl_no_selection,30,7,66239,90893,5316
paper_sweep,hfl_no_selection,30,8,74158,81948,5317
paper_sweep,hfl_no_selection,30,9,82077,74031,5318
paper_sweep,hfl_static,30,0,10806,36615,5309
paper_sweep,hfl_static,30,1,18725,60436,5310
paper_sweep,hfl_static,30,2,26644,52517,5311
paper_sweep,hfl_static,30,3,34563,8754,5312
paper_sweep,hfl_static,30,4,42482,195,5313
paper_sweep,hfl_static,30,5,50401,25040,5314
paper_sweep,hfl_static,30,6,58320,18145,5315
paper_sweep,hfl_static,30,7,66239,108430,5316
paper_sweep,hfl_static,30,8,74158,99487,5317
paper_sweep,hfl_static,30,9,82077,124332,5318
paper_sweep,hfl_no_reputation,30,0,10806,26592,5309
paper_sweep,hfl_no_reputation,30,1,18725,1267,5310
paper_sweep,hfl_no_reputation,30,2,26644,9666,5311
paper_sweep,hfl_no_reputation,30,3,34563,51925,5312
paper_sweep,hfl_no_reputation,30,4,42482,59428,5313
paper_sweep,hfl_no_reputation,30,5,50401,35127,5314
paper_sweep,hfl_no_reputation,30,6,58320,44550,5315
paper_sweep,hfl_no_reputation,30,7,66239,85865,5316
paper_sweep,hfl_no_reputation,30,8,74158,93304,5317
paper_sweep,hfl_no_reputation,30,9,82077,68939,5318
paper_sweep,fedcs,30,0,10806,50272,5309
paper_sweep,fedcs,30,1,18725,42867,5310
paper_sweep,fedcs,30,2,26644,34370,5311
paper_sweep,fedcs,30,3,34563,26965,5312
paper_sweep,fedcs,30,4,42482,19364,5313
paper_sweep,fedcs,30,5,50401,10935,5314
paper_sweep,fedcs,30,6,58320,3462,5315
paper_sweep,fedcs,30,7,66239,126185,5316
paper_sweep,fedcs,30,8,74158,118776,5317
paper_sweep,fedcs,30,9,82077,110283,5318
paper_sweep,rep_cap,30,0,10806,13744,5309
paper_sweep,rep_cap,30,1,18725,22179,5310
paper_sweep,rep_cap,30,2,26644,30610,5311
paper_sweep,rep_cap,30,3,34563,39045,5312
paper_sweep,rep_cap,30,4,42482,47732,5313
paper_sweep,rep_cap,30,5,50401,56167,5314
paper_sweep,rep_cap,30,6,58320,64598,5315
paper_sweep,rep_cap,30,7,66239,73017,5316
paper_sweep,rep_cap,30,8,74158,81448,5317
paper_sweep,rep_cap,30,9,82077,89883,5318
paper_sweep,fair_mab,30,0,10806,19772,5309
paper_sweep,fair_mab,30,1,18725,11823,5310
paper_sweep,fair_mab,30,2,26644,3870,5311
paper_sweep,fair_mab,30,3,34563,57353,5312
paper_sweep,fair_mab,30,4,42482,49912,5313
paper_sweep,fair_mab,30,5,50401,41963,5314
paper_sweep,fair_mab,30,6,58320,34010,5315
paper_sweep,fair_mab,30,7,66239,91573,5316
paper_sweep,fair_mab,30,8,74158,83620,5317
paper_sweep,fair_mab,30,9,82077,75671,5318
paper_sweep,oort,30,0,10806,34406,5309
paper_sweep,oort,30,1,18725,58741,5310
paper_sweep,oort,30,2,26644,50244,5311
paper_sweep,oort,30,3,34563,11091,5312
paper_sweep,oort,30,4,42482,2466,5313
paper_sweep,oort,30,5,50401,26801,5314
paper_sweep,oort,30,6,58320,20352,5315
paper_sweep,oort,30,7,66239,110319,5316
paper_sweep,oort,30,8,74158,101886,5317
paper_sweep,oort,30,9,82077,126157,5318
paper_sweep,power_of_choice,30,0,10806,52117,5309
paper_sweep,power_of_choice,30,1,18725,43142,5310
paper_sweep,power_of_choice,30,2,26644,35255,5311
paper_sweep,power_of_choice,30,3,34563,26272,5312
paper_sweep,power_of_choice,30,4,42482,17489,5313
paper_sweep,power_of_choice,30,5,50401,9538,5314
paper_sweep,power_of_choice,30,6,58320,627,5315
paper_sweep,power_of_choice,30,7,66239,123676,5316
paper_sweep,power_of_choice,30,8,74158,114701,5317
