N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
200,proposed_hfl,alzenad2017,10,0.0,0.001953125,0.20740360478435088,1.0,0.1403443743284792,0.2841545341870547,True,group,proposed_hfl,accuracy,wilcoxon,holm
200,proposed_hfl,fair_mab,10,0.0,0.001953125,0.14875252277444578,1.0,0.11086074771040672,0.1806198275772985,True,group,proposed_hfl,accuracy,wilcoxon,holm
100,proposed_hfl,fair_mab,10,0.0,0.001953125,0.1553723000883604,1.0,0.10355663748832189,0.20502878336487126,True,group,proposed_hfl,accuracy,wilcoxon,holm
200,proposed_hfl,mozaffari2016,10,0.0,0.001953125,0.13965027784021977,1.0,0.09941697224144073,0.17460502681436368,True,group,proposed_hfl,accuracy,wilcoxon,holm
100,proposed_hfl,mozaffari2016,10,0.0,0.001953125,0.11846241767313441,1.0,0.08410432647722385,0.14756873466969475,True,group,proposed_hfl,accuracy,wilcoxon,holm
100,proposed_hfl,power_of_choice,10,1.0,0.00390625,0.14339133496027387,0.9636363636363636,0.0900899615864507,0.20135298147175973,True,group,proposed_hfl,accuracy,wilcoxon,holm
30,proposed_hfl,fair_mab,10,3.0,0.009765625,0.15667436068115947,0.8909090909090909,0.07169133494018945,0.23114928244969782,False,group,proposed_hfl,accuracy,wilcoxon,holm
30,proposed_hfl,power_of_choice,10,4.0,0.013671875,0.1322681121736933,0.8545454545454545,0.05705682538867066,0.19825044057923785,False,group,proposed_hfl,accuracy,wilcoxon,holm
50,proposed_hfl,fair_mab,10,5.0,0.01953125,0.1692870722781552,0.8181818181818182,0.07873760742568058,0.25096483244882783,False,group,proposed_hfl,accuracy,wilcoxon,holm
200,proposed_hfl,fedcs,10,5.0,0.01953125,0.0634425388628962,0.8181818181818182,0.02226441132347018,0.09803513874854863,False,group,proposed_hfl,accuracy,wilcoxon,holm
200,proposed_hfl,power_of_choice,10,6.0,0.02734375,0.10344767369864813,0.7818181818181819,0.04300663097888865,0.16460002149230102,False,group,proposed_hfl,accuracy,wilcoxon,holm
100,proposed_hfl,alzenad2017,10,7.0,0.037109375,0.1243689798857921,0.7454545454545455,0.04333976161532642,0.20272436313469505,False,group,proposed_hfl,accuracy,wilcoxon,holm
200,proposed_hfl,hfl_no_selection,10,7.0,0.037109375,-0.04972377628227648,-0.7454545454545455,-0.09263688000295912,-0.012961837802794413,False,group,proposed_hfl,accuracy,wilcoxon,holm
100,proposed_hfl,hfl_no_selection,10,7.0,0.037109375,-0.05618531688371571,-0.7454545454545455,-0.10420706512722415,-0.013221940736982758,False,group,proposed_hfl,accuracy,wilcoxon,holm
30,proposed_hfl,hfl_no_selection,10,8.0,0.048828125,-0.0917573404586925,-0.7090909090909091,-0.1739728273716709,-0.01100569492499053,False,group,proposed_hfl,accuracy,wilcoxon,holm
100,proposed_hfl,fedcs,10,9.0,0.064453125,0.05418975287517429,0.6727272727272727,0.007373933230887888,0.09867695239254635,False,group,proposed_hfl,accuracy,wilcoxon,holm
30,proposed_hfl,alzenad2017,10,9.0,0.064453125,0.10678709609572543,0.6727272727272727,0.006773863563438815,0.20658862057043306,False,group,proposed_hfl,accuracy,wilcoxon,holm
50,proposed_hfl,power_of_choice,10,12.0,0.130859375,0.06631706607880163,0.5636363636363636,-0.010455101462631677,0.1408893788606963,False,group,proposed_hfl,accuracy,wilcoxon,holm
30,proposed_hfl,flat_fl,10,15.0,0.232421875,-0.045365398166602434,-0.45454545454545453,-0.11553737241760005,0.01980613482268117,False,group,proposed_hfl,accuracy,wilcoxon,holm
200,proposed_hfl,oort,10,15.0,0.232421875,0.02881187306060311,0.45454545454545453,-0.011314668256320604,0.06354275994800294,False,group,proposed_hfl,accuracy,wilcoxon,holm
30,proposed_hfl,hfl_no_reputation,10,15.0,0.232421875,0.046312741759924926,0.45454545454545453,-0.02312393959706578,0.11296109932159375,False,group,proposed_hfl,accuracy,wilcoxon,holm
30,proposed_hfl,centralized,10,15.0,0.232421875,-0.048389643676681596,-0.45454545454545453,-0.11903649695855753,0.0173044748201379,False,group,proposed_hfl,accuracy,wilcoxon,holm
50,proposed_hfl,rep_cap,10,16.0,0.275390625,0.02175522613463766,0.41818181818181815,-0.0795318845301531,0.12466924488640162,False,group,proposed_hfl,accuracy,wilcoxon,holm
200,proposed_hfl,rep_cap,10,17.0,0.322265625,0.04763987290462306,0.38181818181818183,-0.03198351465494111,0.12437778785742941,False,group,proposed_hfl,accuracy,wilcoxon,holm
200,proposed_hfl,flat_fl,10,17.0,0.322265625,0.01943362741777723,0.38181818181818183,-0.0224601169474667,0.05515900027443922,False,group,proposed_hfl,accuracy,wilcoxon,holm
50,proposed_hfl,hfl_no_reputation,10,18.0,0.375,-0.09514540828424731,-0.34545454545454546,-0.17481961847682959,-0.01958843540630762,False,group,proposed_hfl,accuracy,wilcoxon,holm
100,proposed_hfl,rep_cap,10,18.0,0.375,0.059496095860885986,0.34545454545454546,-0.02358089629822273,0.1486247844556726,False,group,proposed_hfl,accuracy,wilcoxon,holm
30,proposed_hfl,rep_cap,10,19.0,0.431640625,0.0651006914532112,0.3090909090909091,-0.054737258311599715,0.19845841223577143,False,group,proposed_hfl,accuracy,wilcoxon,holm
30,proposed_hfl,fedcs,10,20.0,0.4921875,0.028021478753476547,0.2727272727272727,-0.04775520442577787,0.09580558854976645,False,group,proposed_hfl,accuracy,wilcoxon,holm
50,proposed_hfl,fedcs,10,20.0,0.4921875,0.02910444823959315,0.2727272727272727,-0.05007714143352666,0.10134423632455254,False,group,proposed_hfl,accuracy,wilcoxon,holm
200,proposed_hfl,hfl_no_reputation,10,21.0,0.556640625,-0.01649801189813549,-0.23636363636363636,-0.05979570308702345,0.029077090318673105,False,group,proposed_hfl,accuracy,wilcoxon,holm
50,proposed_hfl,centralized,10,21.0,0.556640625,-0.04219001660485892,-0.23636363636363636,-0.12127028069353306,0.0313186513598615,False,group,proposed_hfl,accuracy,wilcoxon,holm
30,proposed_hfl,mozaffari2016,10,21.0,0.556640625,0.030781064813238307,0.23636363636363636,-0.09055863462233302,0.1491863077323565,False,group,proposed_hfl,accuracy,wilcoxon,holm
30,proposed_hfl,oort,10,22.0,0.625,0.011176249408030015,0.2,-0.06042080224165156,0.07460949665480598,False,group,proposed_hfl,accuracy,wilcoxon,holm
100,proposed_hfl,hfl_no_reputation,10,22.0,0.625,-0.02343756422868156,-0.2,-0.07021849308287743,0.01713437629406449,False,group,proposed_hfl,accuracy,wilcoxon,holm
200,proposed_hfl,centralized,10,22.0,0.625,0.0030482594547175503,0.2,-0.0411669861532318,0.04110371204286124,False,group,proposed_hfl,accuracy,wilcoxon,holm
100,proposed_hfl,centralized,10,23.0,0.6953125,-0.01879662677723527,-0.16363636363636364,-0.06501627358350967,0.02501314770794291,False,group,proposed_hfl,accuracy,wilcoxon,holm
200,proposed_hfl,hfl_static,10,23.0,0.6953125,-0.026180127138631593,-0.16363636363636364,-0.07607187973895602,0.020877759955977848,False,group,proposed_hfl,accuracy,wilcoxon,holm
50,proposed_hfl,flat_fl,10,23.0,0.6953125,-0.02053826664292846,-0.16363636363636364,-0.1085019114439451,0.058901681744722184,False,group,proposed_hfl,accuracy,wilcoxon,holm
30,proposed_hfl,hfl_static,10,24.0,0.76953125,-0.017279755293625375,0.12727272727272726,-0.11680061354627717,0.07889406530806435,False,group,proposed_hfl,accuracy,wilcoxon,holm
50,proposed_hfl,hfl_no_selection,10,24.0,0.76953125,-0.05659499737854908,-0.12727272727272726,-0.16192405040550487,0.05145734059784568,False,group,proposed_hfl,accuracy,wilcoxon,holm
100,proposed_hfl,oort,10,24.0,0.76953125,0.011586543454621312,0.12727272727272726,-0.03155394012875092,0.05204892019410563,False,group,proposed_hfl,accuracy,wilcoxon,holm
100,proposed_hfl,flat_fl,10,26.0,0.921875,0.004535642625284719,0.05454545454545454,-0.041607513594094314,0.046957056231521827,False,group,proposed_hfl,accuracy,wilcoxon,holm
50,proposed_hfl,alzenad2017,10,26.0,0.921875,-0.014110457708930203,0.05454545454545454,-0.12868142587300832,0.11114891466841284,False,group,proposed_hfl,accuracy,wilcoxon,holm
50,proposed_hfl,mozaffari2016,10,26.0,0.921875,-0.011918411391324357,-0.05454545454545454,-0.08369201765407262,0.06857595875764855,False,group,proposed_hfl,accuracy,wilcoxon,holm
50,proposed_hfl,hfl_static,10,26.0,0.921875,-0.03405624660166677,0.05454545454545454,-0.10603405986827373,0.021278847033950707,False,group,proposed_hfl,accuracy,wilcoxon,holm
100,proposed_hfl,hfl_static,10,27.0,1.0,0.009693141503458291,-0.01818181818181818,-0.027899587982212704,0.05275001026971829,False,group,proposed_hfl,accuracy,wilcoxon,holm
50,proposed_hfl,oort,10,27.0,1.0,-0.0034619902772143442,0.01818181818181818,-0.08539225449042608,0.07058464264015087,False,group,proposed_hfl,accuracy,wilcoxon,holm
