N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
30,proposed_hfl,alzenad2017,10,0.0,0.001953125,0.16922652314330935,1.0,0.12104162617621775,0.21685352768478247,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
100,proposed_hfl,alzenad2017,10,0.0,0.001953125,0.11828076777702141,1.0,0.07087433998649968,0.17060652751183614,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
200,proposed_hfl,alzenad2017,10,0.0,0.001953125,0.1416777928726939,1.0,0.08463815382082482,0.20447344535748316,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
30,proposed_hfl,centralized,10,0.0,0.001953125,-0.07987196760921396,-1.0,-0.12066539552095967,-0.04097474570820293,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
100,proposed_hfl,centralized,10,0.0,0.001953125,-0.08221521045074084,-1.0,-0.10979004890008348,-0.05449073581272818,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
50,proposed_hfl,centralized,10,0.0,0.001953125,-0.15144398827193034,-1.0,-0.19558389435329074,-0.10807844666737232,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
30,proposed_hfl,hfl_no_selection,10,0.0,0.001953125,0.09093981205684765,1.0,0.05504733216565969,0.12519689946000792,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
50,proposed_hfl,flat_fl,10,0.0,0.001953125,-0.12487633426675437,-1.0,-0.17055048778128462,-0.07955937996102012,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
50,proposed_hfl,oort,10,0.0,0.001953125,-0.1183110198870716,-1.0,-0.162739496694445,-0.07748037215184318,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
200,proposed_hfl,mozaffari2016,10,0.0,0.001953125,0.10541683684112764,1.0,0.07023108860814854,0.14339312690119993,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
100,proposed_hfl,mozaffari2016,10,0.0,0.001953125,0.12103213490493536,1.0,0.07757976376507703,0.16490401001609378,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
30,proposed_hfl,mozaffari2016,10,0.0,0.001953125,0.22506227715046712,1.0,0.18224077331548577,0.2674943898621481,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
50,proposed_hfl,fedcs,10,1.0,0.00390625,-0.0873614048100601,-0.9636363636363636,-0.12144575177936867,-0.05441664514748959,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
100,proposed_hfl,hfl_no_selection,10,1.0,0.00390625,0.0722194290792563,0.9636363636363636,0.03929366771828673,0.10697001185047583,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
100,proposed_hfl,rep_cap,10,1.0,0.00390625,0.07474099828051688,0.9636363636363636,0.04091597755185122,0.1081454431564563,True,group,proposed_hfl,f1_collapsed,wilcoxon,holm
200,proposed_hfl,centralized,10,3.0,0.009765625,-0.06864696328268662,-0.8909090909090909,-0.10270719853961803,-0.034325669488257014,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
50,proposed_hfl,mozaffari2016,10,4.0,0.013671875,0.12240631490238718,0.8545454545454545,0.05556827476949002,0.18269137804945132,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
50,proposed_hfl,power_of_choice,10,4.0,0.013671875,-0.08186267312208681,-0.8545454545454545,-0.13348581777865176,-0.03160791599905548,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
30,proposed_hfl,rep_cap,10,5.0,0.01953125,0.07249918298586837,0.8181818181818182,0.028166018849576046,0.12050875536369691,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
100,proposed_hfl,oort,10,6.0,0.02734375,-0.04953789193981326,-0.7818181818181819,-0.07909500862301673,-0.018369249258964885,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
50,proposed_hfl,alzenad2017,10,7.0,0.037109375,0.09797383827818937,0.7454545454545455,0.02877910801886165,0.16539087613483383,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
30,proposed_hfl,flat_fl,10,9.0,0.064453125,-0.06171149596920109,-0.6727272727272727,-0.1086296690638445,-0.016249786278766602,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
50,proposed_hfl,hfl_static,10,10.0,0.083984375,-0.06310898302242803,-0.6363636363636364,-0.10759033391384344,-0.017002374712470875,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
