N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
200,proposed_hfl,centralized,10,0.0,0.001953125,-0.2564304209703084,-1.0,-0.29250175829842473,-0.2226994196183274,True,group,proposed_hfl,f1_missing,wilcoxon,holm
100,proposed_hfl,centralized,10,0.0,0.001953125,-0.22979572831690082,-1.0,-0.28418980678053996,-0.177144147459417,True,group,proposed_hfl,f1_missing,wilcoxon,holm
50,proposed_hfl,centralized,10,0.0,0.001953125,-0.32178162891420614,-1.0,-0.38390133111947555,-0.2500296824138839,True,group,proposed_hfl,f1_missing,wilcoxon,holm
30,proposed_hfl,centralized,10,0.0,0.001953125,-0.281057581644817,-1.0,-0.35327402175982925,-0.20343665071633601,True,group,proposed_hfl,f1_missing,wilcoxon,holm
200,proposed_hfl,fedcs,10,0.0,0.001953125,-0.12085392866070274,-1.0,-0.16021420310836584,-0.08375365607767155,True,group,proposed_hfl,f1_missing,wilcoxon,holm
200,proposed_hfl,fair_mab,10,0.0,0.001953125,-0.1190384473410259,-1.0,-0.15966762541638235,-0.08061060803607573,True,group,proposed_hfl,f1_missing,wilcoxon,holm
100,proposed_hfl,hfl_no_selection,10,0.0,0.001953125,0.13126616086694354,1.0,0.08219346361975562,0.18281556695980092,True,group,proposed_hfl,f1_missing,wilcoxon,holm
200,proposed_hfl,mozaffari2016,10,0.0,0.001953125,-0.09038175217371805,-1.0,-0.13308234704658567,-0.050626432917382655,True,group,proposed_hfl,f1_missing,wilcoxon,holm
200,proposed_hfl,oort,10,0.0,0.001953125,-0.10487982392843745,-1.0,-0.14245996047031784,-0.06981859697289002,True,group,proposed_hfl,f1_missing,wilcoxon,holm
200,proposed_hfl,power_of_choice,10,0.0,0.001953125,-0.11138255587931334,-1.0,-0.1566108803985079,-0.06795699866237592,True,group,proposed_hfl,f1_missing,wilcoxon,holm
200,proposed_hfl,alzenad2017,10,1.0,0.00390625,-0.07107523957132132,-0.9636363636363636,-0.11179052073514258,-0.03416092496420256,True,group,proposed_hfl,f1_missing,wilcoxon,holm
50,proposed_hfl,fedcs,10,2.0,0.005859375,-0.18178762899429254,-0.9272727272727272,-0.247994440584853,-0.10552296128928637,False,group,proposed_hfl,f1_missing,wilcoxon,holm
50,proposed_hfl,flat_fl,10,3.0,0.009765625,-0.1683987458152767,-0.8909090909090909,-0.23443404512758437,-0.09258379792785389,False,group,proposed_hfl,f1_missing,wilcoxon,holm
30,proposed_hfl,fedcs,10,3.0,0.009765625,-0.15944279142967815,-0.8909090909090909,-0.2356399471399805,-0.07826347873028891,False,group,proposed_hfl,f1_missing,wilcoxon,holm
30,proposed_hfl,flat_fl,10,3.0,0.009765625,-0.15294634996077994,-0.8909090909090909,-0.2246746821148526,-0.07709301153966036,False,group,proposed_hfl,f1_missing,wilcoxon,holm
50,proposed_hfl,fair_mab,10,3.0,0.009765625,-0.16224311137507544,-0.8909090909090909,-0.22288611102534603,-0.09061034094910884,False,group,proposed_hfl,f1_missing,wilcoxon,holm
30,proposed_hfl,oort,10,3.0,0.009765625,-0.15125154922694586,-0.8909090909090909,-0.22179000003157967,-0.07480612477019237,False,group,proposed_hfl,f1_missing,wilcoxon,holm
200,proposed_hfl,flat_fl,10,3.0,0.009765625,-0.08514990578302137,-0.8909090909090909,-0.1289755637470043,-0.043700571415644575,True,group,proposed_hfl,f1_missing,wilcoxon,holm
50,proposed_hfl,oort,10,4.0,0.013671875,-0.1645629041803453,-0.8545454545454545,-0.2305479165051028,-0.08840588457922528,False,group,proposed_hfl,f1_missing,wilcoxon,holm
50,proposed_hfl,power_of_choice,10,4.0,0.013671875,-0.13836489113394126,-0.8545454545454545,-0.20670182902158687,-0.06701243775063435,False,group,proposed_hfl,f1_missing,wilcoxon,holm
100,proposed_hfl,fedcs,10,4.0,0.013671875,-0.0916895847347596,-0.8545454545454545,-0.14762809151630304,-0.038197799437249866,False,group,proposed_hfl,f1_missing,wilcoxon,holm
100,proposed_hfl,fair_mab,10,5.0,0.01953125,-0.07804868146020326,-0.8181818181818182,-0.12800623286176566,-0.029637530910506627,False,group,proposed_hfl,f1_missing,wilcoxon,holm
30,proposed_hfl,fair_mab,10,6.0,0.02734375,-0.13013107651158365,-0.7818181818181819,-0.20169746982060616,-0.05325719231301028,False,group,proposed_hfl,f1_missing,wilcoxon,holm
30,proposed_hfl,power_of_choice,10,6.0,0.02734375,-0.13776363230604965,-0.7818181818181819,-0.21118734799387381,-0.0615537208831225,False,group,proposed_hfl,f1_missing,wilcoxon,holm
100,proposed_hfl,oort,10,7.0,0.037109375,-0.07901723656555362,-0.7454545454545455,-0.1337285824239242,-0.027017596653239384,False,group,proposed_hfl,f1_missing,wilcoxon,holm
100,proposed_hfl,power_of_choice,10,8.0,0.048828125,-0.07549018466890063,-0.7090909090909091,-0.1293958770460792,-0.021906000000094055,False,group,proposed_hfl,f1_missing,wilcoxon,holm
50,proposed_hfl,hfl_no_reputation,10,9.0,0.064453125,0.07555204977027931,0.6727272727272727,0.016449484708674127,0.14283198705470873,False,group,proposed_hfl,f1_missing,wilcoxon,holm
200,proposed_hfl,hfl_no_selection,10,9.0,0.064453125,0.06548141965705881,0.6727272727272727,0.011529307067001717,0.11526329373811428,False,group,proposed_hfl,f1_missing,wilcoxon,holm
100,proposed_hfl,rep_cap,10,9.0,0.064453125,0.08014205274319522,0.6727272727272727,0.0018919355253653866,0.15114540267006324,False,group,proposed_hfl,f1_missing,wilcoxon,holm
100,proposed_hfl,flat_fl,10,11.0,0.10546875,-0.07414982709887159,-0.6,-0.13341089991944718,-0.019020248836938276,False,group,proposed_hfl,f1_missing,wilcoxon,holm
30,proposed_hfl,hfl_no_selection,10,11.0,0.10546875,0.09684954035371544,0.6,0.00685585502400099,0.18892144078167683,False,group,proposed_hfl,f1_missing,wilcoxon,holm
100,proposed_hfl,hfl_no_reputation,10,12.0,0.130859375,0.05061146455987836,0.5636363636363636,-0.023021056041149672,0.11834830620863293,False,group,proposed_hfl,f1_missing,wilcoxon,holm
30,proposed_hfl,hfl_no_reputation,10,13.0,0.16015625,-0.06044632712703524,-0.5272727272727272,-0.13353842055168605,0.014871728132455943,False,group,proposed_hfl,f1_missing,wilcoxon,holm
50,proposed_hfl,alzenad2017,10,13.0,0.16015625,0.05489266655056023,0.5272727272727272,-0.025636980587095765,0.1382979751616277,False,group,proposed_hfl,f1_missing,wilcoxon,holm
50,proposed_hfl,hfl_no_selection,10,18.0,0.375,0.030403062654192393,0.34545454545454546,-0.07403807332133547,0.1312097561645984,False,group,proposed_hfl,f1_missing,wilcoxon,holm
100,proposed_hfl,mozaffari2016,10,19.0,0.431640625,-0.03668380501657946,-0.3090909090909091,-0.10272924173250388,0.0276641212945238,False,group,proposed_hfl,f1_missing,wilcoxon,holm
50,proposed_hfl,hfl_static,10,19.0,0.431640625,-0.023080811158985422,-0.3090909090909091,-0.09979364232508839,0.06037219918979993,False,group,proposed_hfl,f1_missing,wilcoxon,holm
100,proposed_hfl,alzenad2017,10,21.0,0.556640625,0.019759809649033656,0.23636363636363636,-0.04913557664646099,0.08676811240940231,False,group,proposed_hfl,f1_missing,wilcoxon,holm
30,proposed_hfl,alzenad2017,10,22.0,0.625,0.02706953861612748,0.2,-0.06552197991335806,0.12413169884447654,False,group,proposed_hfl,f1_missing,wilcoxon,holm
30,proposed_hfl,mozaffari2016,10,22.0,0.625,0.03661512162280008,0.2,-0.07021368034969526,0.1465278309473692,False,group,proposed_hfl,f1_missing,wilcoxon,holm
