N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
100,proposed_hfl,alzenad2017,10,0.0,0.001953125,0.16991928922871175,1.0,0.12507243993717138,0.2121212173936689,True,group,proposed_hfl,f1_obstructed,wilcoxon,holm
100,proposed_hfl,centralized,10,0.0,0.001953125,-0.5522930774904504,-1.0,-0.5822753381117735,-0.5218248330426263,True,group,proposed_hfl,f1_obstructed,wilcoxon,holm
50,proposed_hfl,centralized,10,0.0,0.001953125,-0.6635081834997103,-1.0,-0.6837102841773282,-0.6433447141442316,True,group,proposed_hfl,f1_obstructed,wilcoxon,holm
30,proposed_hfl,centralized,10,0.0,0.001953125,-0.6196445595110618,-1.0,-0.6721711184799688,-0.566063346190484,True,group,proposed_hfl,f1_obstructed,wilcoxon,holm
200,proposed_hfl,centralized,10,0.0,0.001953125,-0.549855749466664,-1.0,-0.587922832057683,-0.5039511421831693,True,group,proposed_hfl,f1_obstructed,wilcoxon,holm
50,proposed_hfl,fedcs,10,0.0,0.001953125,-0.19081200166307535,-1.0,-0.22950509393936314,-0.15253173755949254,True,group,proposed_hfl,f1_obstructed,wilcoxon,holm
30,proposed_hfl,fedcs,10,0.0,0.001953125,-0.141372200717869,-1.0,-0.2014344619410239,-0.08392699654362352,True,group,proposed_hfl,f1_obstructed,wilcoxon,holm
30,proposed_hfl,flat_fl,10,0.0,0.001953125,-0.4173097771851073,-1.0,-0.49917201002843503,-0.3380831730817578,True,group,proposed_hfl,f1_obstructed,wilcoxon,holm
50,proposed_hfl,flat_fl,10,0.0,0.001953125,-0.2453022270023717,-1.0,-0.29750465248561764,-0.18781656905120042,True,group,proposed_hfl,f1_obstructed,wilcoxon,holm
200,proposed_hfl,mozaffari2016,10,0.0,0.001953125,0.0817647421980135,1.0,0.04374312375795974,0.12730173781032325,True,group,proposed_hfl,f1_obstructed,wilcoxon,holm
100,proposed_hfl,rep_cap,10,0.0,0.001953125,0.12008095525631732,1.0,0.09350268893501551,0.15538525618195875,True,group,proposed_hfl,f1_obstructed,wilcoxon,holm
50,proposed_hfl,alzenad2017,10,1.0,0.00390625,0.11534672719563747,0.9636363636363636,0.07934600421255358,0.14763144271976383,True,group,proposed_hfl,f1_obstructed,wilcoxon,holm
100,proposed_hfl,mozaffari2016,10,1.0,0.00390625,0.09980813034405153,0.9636363636363636,0.060927444222745465,0.13656903108449542,True,group,proposed_hfl,f1_obstructed,wilcoxon,holm
50,proposed_hfl,oort,10,1.0,0.00390625,-0.12616445453766972,-0.9636363636363636,-0.1702275790482882,-0.08035178195175212,True,group,proposed_hfl,f1_obstructed,wilcoxon,holm
