N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
200,proposed_hfl,alzenad2017,10,0.0,0.001953125,0.1590824432542574,1.0,0.10126371916815521,0.23251264326838245,True,group,proposed_hfl,f1_survived,wilcoxon,holm
200,proposed_hfl,fair_mab,10,0.0,0.001953125,0.10893369116554699,1.0,0.0852283576065495,0.12966952784147856,True,group,proposed_hfl,f1_survived,wilcoxon,holm
100,proposed_hfl,fair_mab,10,0.0,0.001953125,0.11896679531119339,1.0,0.08141059354638029,0.15520503649117662,True,group,proposed_hfl,f1_survived,wilcoxon,holm
200,proposed_hfl,mozaffari2016,10,0.0,0.001953125,0.09354805021259598,1.0,0.0659681726363668,0.11762672782144121,True,group,proposed_hfl,f1_survived,wilcoxon,holm
100,proposed_hfl,mozaffari2016,10,1.0,0.00390625,0.07556393102635311,0.9636363636363636,0.053330984016218975,0.09529693556412024,True,group,proposed_hfl,f1_survived,wilcoxon,holm
100,proposed_hfl,power_of_choice,10,1.0,0.00390625,0.1097062136796155,0.9636363636363636,0.0682599577912103,0.15615216437431118,True,group,proposed_hfl,f1_survived,wilcoxon,holm
30,proposed_hfl,fair_mab,10,3.0,0.009765625,0.11806228211744019,0.8909090909090909,0.048870862319874496,0.17804152733522258,False,group,proposed_hfl,f1_survived,wilcoxon,holm
30,proposed_hfl,power_of_choice,10,4.0,0.013671875,0.0971285346596619,0.8545454545454545,0.03651257213060743,0.14832000838444095,False,group,proposed_hfl,f1_survived,wilcoxon,holm
50,proposed_hfl,fair_mab,10,5.0,0.01953125,0.13418817729695676,0.8181818181818182,0.06874875765085713,0.19221097103030596,False,group,proposed_hfl,f1_survived,wilcoxon,holm
200,proposed_hfl,fedcs,10,5.0,0.01953125,0.04008803790494218,0.8181818181818182,0.013585798403692784,0.06266787778044734,False,group,proposed_hfl,f1_survived,wilcoxon,holm
200,proposed_hfl,power_of_choice,10,6.0,0.02734375,0.07384782357782835,0.7818181818181819,0.029435574353664163,0.12069061640473415,False,group,proposed_hfl,f1_survived,wilcoxon,holm
100,proposed_hfl,alzenad2017,10,7.0,0.037109375,0.08967934292015321,0.7454545454545455,0.030964161099087565,0.14786307884208705,False,group,proposed_hfl,f1_survived,wilcoxon,holm
100,proposed_hfl,hfl_no_selection,10,8.0,0.048828125,-0.035586383418483566,-0.7090909090909091,-0.06832622571334737,-0.0066319105457416936,False,group,proposed_hfl,f1_survived,wilcoxon,holm
100,proposed_hfl,fedcs,10,9.0,0.064453125,0.034650323011633635,0.6727272727272727,0.002101663672388708,0.06508805943965215,False,group,proposed_hfl,f1_survived,wilcoxon,holm
200,proposed_hfl,hfl_no_selection,10,10.0,0.083984375,-0.03195223560674547,-0.6363636363636364,-0.060568933615494154,-0.007380420113938225,False,group,proposed_hfl,f1_survived,wilcoxon,holm
30,proposed_hfl,hfl_no_selection,10,11.0,0.10546875,-0.07105888367505894,-0.6,-0.13527536286997377,-0.008481190289039564,False,group,proposed_hfl,f1_survived,wilcoxon,holm
30,proposed_hfl,alzenad2017,10,12.0,0.130859375,0.08367092635203226,0.5636363636363636,0.0019781317136945828,0.1716913042972258,False,group,proposed_hfl,f1_survived,wilcoxon,holm
50,proposed_hfl,power_of_choice,10,14.0,0.193359375,0.0483038143012783,0.4909090909090909,-0.008515922290827586,0.10117165258937726,False,group,proposed_hfl,f1_survived,wilcoxon,holm
30,proposed_hfl,flat_fl,10,15.0,0.232421875,-0.039253312603710476,-0.45454545454545453,-0.09342309886289758,0.012039594804840693,False,group,proposed_hfl,f1_survived,wilcoxon,holm
50,proposed_hfl,rep_cap,10,15.0,0.232421875,0.024441555511292047,0.45454545454545453,-0.04700024488089182,0.09927620886730364,False,group,proposed_hfl,f1_survived,wilcoxon,holm
30,proposed_hfl,centralized,10,15.0,0.232421875,-0.03284410990785809,-0.45454545454545453,-0.0859897260067231,0.01897442752920073,False,group,proposed_hfl,f1_survived,wilcoxon,holm
200,proposed_hfl,rep_cap,10,16.0,0.275390625,0.03995150129225657,0.41818181818181815,-0.016984459178786646,0.09830693241413065,False,group,proposed_hfl,f1_survived,wilcoxon,holm
30,proposed_hfl,hfl_no_reputation,10,16.0,0.275390625,0.032284701813204066,0.41818181818181815,-0.018459617180027636,0.08169357333058497,False,group,proposed_hfl,f1_survived,wilcoxon,holm
100,proposed_hfl,rep_cap,10,17.0,0.322265625,0.05299543725210604,0.38181818181818183,-0.011358581797536346,0.1247114468542198,False,group,proposed_hfl,f1_survived,wilcoxon,holm
200,proposed_hfl,oort,10,17.0,0.322265625,0.016658514284379665,0.38181818181818183,-0.00954768933985401,0.039212704362850105,False,group,proposed_hfl,f1_survived,wilcoxon,holm
50,proposed_hfl,hfl_no_reputation,10,18.0,0.375,-0.06552385660834502,-0.34545454545454546,-0.12081492372285552,-0.013851955681348045,False,group,proposed_hfl,f1_survived,wilcoxon,holm
100,proposed_hfl,hfl_no_reputation,10,19.0,0.431640625,-0.015999515495352355,-0.3090909090909091,-0.04648156522420374,0.010366154466728806,False,group,proposed_hfl,f1_survived,wilcoxon,holm
30,proposed_hfl,rep_cap,10,19.0,0.431640625,0.07331515223661438,0.3090909090909091,-0.03633828404492496,0.19977603562757218,False,group,proposed_hfl,f1_survived,wilcoxon,holm
200,proposed_hfl,centralized,10,20.0,0.4921875,0.013865349944320482,0.2727272727272727,-0.01543304804207177,0.039172618471361983,False,group,proposed_hfl,f1_survived,wilcoxon,holm
