N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
100,proposed_hfl,alzenad2017,10,0.0,0.001953125,0.09940980239373003,1.0,0.06808773977057124,0.13025096201342465,True,group,proposed_hfl,macro_f1,wilcoxon,holm
100,proposed_hfl,centralized,10,0.0,0.001953125,-0.21640580580159124,-1.0,-0.23506814276950438,-0.19817260453751195,True,group,proposed_hfl,macro_f1,wilcoxon,holm
50,proposed_hfl,centralized,10,0.0,0.001953125,-0.28946414032029844,-1.0,-0.3135192367730511,-0.26521232725523786,True,group,proposed_hfl,macro_f1,wilcoxon,holm
30,proposed_hfl,centralized,10,0.0,0.001953125,-0.2533545546682377,-1.0,-0.2834332516338983,-0.22294858512610713,True,group,proposed_hfl,macro_f1,wilcoxon,holm
200,proposed_hfl,centralized,10,0.0,0.001953125,-0.2152669459438346,-1.0,-0.23325737855951062,-0.19665417535271026,True,group,proposed_hfl,macro_f1,wilcoxon,holm
50,proposed_hfl,fedcs,10,0.0,0.001953125,-0.11132403047884347,-1.0,-0.13348779394205867,-0.08891453833352031,True,group,proposed_hfl,macro_f1,wilcoxon,holm
50,proposed_hfl,flat_fl,10,0.0,0.001953125,-0.13912128011960645,-1.0,-0.1664901431388731,-0.1099768849522897,True,group,proposed_hfl,macro_f1,wilcoxon,holm
30,proposed_hfl,flat_fl,10,0.0,0.001953125,-0.1678052339296997,-1.0,-0.20340848995256947,-0.13563791117278956,True,group,proposed_hfl,macro_f1,wilcoxon,holm
100,proposed_hfl,hfl_no_selection,10,0.0,0.001953125,0.0585882924059621,1.0,0.03923262191181765,0.0790558514791223,True,group,proposed_hfl,macro_f1,wilcoxon,holm
100,proposed_hfl,rep_cap,10,0.0,0.001953125,0.08198986088303384,1.0,0.058300189841390584,0.10577877611646165,True,group,proposed_hfl,macro_f1,wilcoxon,holm
50,proposed_hfl,oort,10,0.0,0.001953125,-0.10464511465556922,-1.0,-0.13174163193608293,-0.07785652662983938,True,group,proposed_hfl,macro_f1,wilcoxon,holm
200,proposed_hfl,oort,10,0.0,0.001953125,-0.05201443573098334,-1.0,-0.06928544470645913,-0.03518371575679154,True,group,proposed_hfl,macro_f1,wilcoxon,holm
