method,N,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,f1_survived_mean,f1_survived_std,f1_collapsed_mean,f1_collapsed_std,f1_obstructed_mean,f1_obstructed_std,f1_missing_mean,f1_missing_std,n_seeds
fedcs,30,0.7327,0.0512,0.4074,0.061,0.8467,0.0349,0.2182,0.0507,0.3475,0.1868,0.2173,0.0661,10
fedcs,50,0.7654,0.0466,0.4195,0.0317,0.8687,0.0289,0.2256,0.0814,0.4041,0.1024,0.1796,0.0692,10
fedcs,100,0.7133,0.0422,0.4168,0.0227,0.8331,0.0327,0.2618,0.0327,0.317,0.0672,0.2553,0.027,10
fedcs,200,0.7113,0.0248,0.4241,0.0176,0.8322,0.0191,0.2591,0.0269,0.3533,0.0467,0.2518,0.0284,10
flat_fl,30,0.7333,0.0202,0.5278,0.0131,0.8374,0.0157,0.2849,0.0215,0.6602,0.0417,0.3289,0.0288,10
flat_fl,50,0.7301,0.025,0.4937,0.0357,0.8378,0.0195,0.2803,0.0205,0.5262,0.1444,0.3306,0.014,10
flat_fl,100,0.7209,0.0153,0.4971,0.0161,0.8305,0.0118,0.2803,0.0145,0.542,0.0574,0.3358,0.016,10
flat_fl,200,0.7051,0.0182,0.4676,0.019,0.8211,0.0147,0.2574,0.0238,0.4692,0.0478,0.3227,0.0162,10
oort,30,0.7374,0.0393,0.3923,0.0427,0.8478,0.0277,0.2791,0.0462,0.219,0.0781,0.2235,0.0982,10
oort,50,0.7897,0.0138,0.3674,0.0342,0.884,0.0091,0.2565,0.0329,0.1882,0.0751,0.1411,0.0552,10
oort,100,0.7711,0.0166,0.3909,0.0263,0.8726,0.0107,0.2667,0.0247,0.2331,0.0632,0.1911,0.0439,10
oort,200,0.7706,0.0124,0.3946,0.0174,0.874,0.0076,0.2776,0.0312,0.2397,0.0359,0.1871,0.0334,10
proposed_hfl,30,0.7594,0.0581,0.3415,0.0717,0.8615,0.0413,0.2143,0.1253,0.1429,0.1006,0.1474,0.1127,10
proposed_hfl,50,0.7153,0.1429,0.2943,0.0667,0.8292,0.1012,0.1465,0.1024,0.1147,0.0862,0.0866,0.1012,10
proposed_hfl,100,0.8088,0.0082,0.351,0.0331,0.8947,0.0047,0.2419,0.0624,0.1825,0.0632,0.085,0.0465,10
proposed_hfl,200,0.8121,0.0074,0.3283,0.0436,0.8967,0.0036,0.2405,0.0741,0.1141,0.0687,0.062,0.0526,10
