method,N,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,f1_survived_mean,f1_survived_std,f1_collapsed_mean,f1_collapsed_std,f1_obstructed_mean,f1_obstructed_std,f1_missing_mean,f1_missing_std,n_seeds
alzenad2017,30,0.6045,0.0739,0.3248,0.0355,0.7496,0.0638,0.1598,0.0609,0.1788,0.0732,0.2111,0.0251,10
alzenad2017,50,0.6256,0.0639,0.331,0.0284,0.7678,0.0548,0.2043,0.0334,0.1224,0.0545,0.2296,0.0234,10
alzenad2017,100,0.6607,0.0347,0.3488,0.0291,0.7965,0.026,0.1798,0.0278,0.1798,0.1103,0.2392,0.027,10
alzenad2017,200,0.6729,0.0407,0.3338,0.0109,0.807,0.0288,0.1581,0.0307,0.1318,0.0351,0.2385,0.023,10
centralized,30,0.7646,0.0152,0.5982,0.0091,0.8546,0.012,0.3231,0.0237,0.7911,0.0088,0.4241,0.0103,10
centralized,50,0.7698,0.013,0.6,0.0074,0.859,0.0104,0.332,0.0255,0.7871,0.0139,0.422,0.0131,10
centralized,100,0.7655,0.0111,0.6,0.0096,0.8552,0.0083,0.3358,0.0198,0.7884,0.0112,0.4207,0.0126,10
centralized,200,0.7674,0.0107,0.5994,0.0109,0.8571,0.0082,0.3285,0.0221,0.7981,0.0154,0.414,0.0155,10
fair_mab,30,0.6136,0.0534,0.3763,0.0257,0.7524,0.0453,0.2608,0.0326,0.2299,0.0522,0.2622,0.0186,10
fair_mab,50,0.6398,0.0341,0.3845,0.023,0.7768,0.0281,0.2588,0.0214,0.2331,0.0586,0.2694,0.0155,10
fair_mab,100,0.6684,0.0157,0.3797,0.0162,0.802,0.0118,0.2539,0.0187,0.1894,0.0504,0.2734,0.0129,10
fair_mab,200,0.6942,0.0226,0.3632,0.014,0.8229,0.0154,0.258,0.0193,0.1142,0.032,0.2578,0.0068,10
hfl_no_reputation,30,0.6391,0.0404,0.4116,0.0203,0.7709,0.0343,0.2821,0.0229,0.305,0.062,0.2885,0.0195,10
hfl_no_reputation,50,0.7028,0.0139,0.4411,0.0391,0.8223,0.0089,0.2747,0.0254,0.3634,0.1386,0.3039,0.0185,10
hfl_no_reputation,100,0.6983,0.0154,0.4254,0.0224,0.8202,0.0104,0.2747,0.0187,0.3088,0.0788,0.2981,0.0082,10
hfl_no_reputation,200,0.7067,0.0125,0.4053,0.0207,0.829,0.0086,0.2677,0.0197,0.2477,0.0839,0.2769,0.0128,10
hfl_no_selection,30,0.7117,0.0163,0.4989,0.022,0.8239,0.0114,0.2868,0.0285,0.5646,0.0757,0.3202,0.0152,10
hfl_no_selection,50,0.7008,0.0168,0.4718,0.0166,0.8175,0.0133,0.2625,0.0329,0.493,0.081,0.314,0.0112,10
hfl_no_selection,100,0.7113,0.0098,0.4672,0.0157,0.8279,0.0065,0.2718,0.0219,0.4658,0.0488,0.3033,0.0115,10
hfl_no_selection,200,0.7148,0.0141,0.4302,0.0187,0.8336,0.0094,0.2797,0.0208,0.3317,0.0555,0.2761,0.0102,10
hfl_static,30,0.6506,0.0314,0.4094,0.0249,0.781,0.027,0.2769,0.0231,0.2963,0.0989,0.2834,0.0169,10
hfl_static,50,0.698,0.0196,0.4306,0.0213,0.819,0.0147,0.2772,0.023,0.3294,0.0968,0.2968,0.0172,10
hfl_static,100,0.7063,0.0152,0.433,0.0245,0.8259,0.0112,0.2781,0.0198,0.33,0.0765,0.2982,0.0167,10
hfl_static,200,0.7144,0.0045,0.4245,0.0116,0.8335,0.0033,0.2816,0.0181,0.2998,0.0485,0.283,0.0139,10
mozaffari2016,30,0.6406,0.0476,0.35,0.0238,0.7777,0.0391,0.161,0.0421,0.2144,0.0443,0.2469,0.0164,10
mozaffari2016,50,0.6752,0.0208,0.3609,0.0114,0.8058,0.0156,0.1816,0.0166,0.1997,0.0276,0.2564,0.0093,10
mozaffari2016,100,0.6906,0.0145,0.3524,0.0065,0.8187,0.0102,0.1896,0.0203,0.1559,0.0173,0.2452,0.0113,10
mozaffari2016,200,0.6985,0.0177,0.3475,0.0069,0.825,0.0128,0.2009,0.019,0.1234,0.0163,0.2408,0.0093,10
power_of_choice,30,0.6483,0.0251,0.4003,0.0239,0.7808,0.0209,0.2775,0.0318,0.2702,0.0843,0.2724,0.0158,10
power_of_choice,50,0.6823,0.0195,0.3968,0.0193,0.8095,0.0146,0.271,0.0214,0.2222,0.0874,0.2844,0.0137,10
power_of_choice,100,0.7019,0.0181,0.3888,0.0145,0.8259,0.013,0.2634,0.0227,0.1927,0.0517,0.2733,0.011,10
power_of_choice,200,0.7274,0.0143,0.3638,0.0074,0.8455,0.0095,0.2704,0.0147,0.0909,0.0287,0.2485,0.0222,10
rep_cap,30,0.5793,0.0369,0.3815,0.0144,0.7208,0.0348,0.256,0.0147,0.2788,0.0523,0.2705,0.0189,10
rep_cap,50,0.6481,0.0195,0.4181,0.0286,0.78,0.0167,0.2467,0.02,0.3539,0.1141,0.292,0.0147,10
rep_cap,100,0.6363,0.0231,0.4008,0.0271,0.7717,0.0193,0.2399,0.0213,0.2982,0.1025,0.2934,0.0108,10
rep_cap,200,0.6586,0.0135,0.3803,0.0096,0.7945,0.0117,0.2256,0.0173,0.2217,0.0375,0.2795,0.0095,10
