harness,method,N,seed_idx,job_seed,seed,partition_seed
paper_sweep,centralized,30,0,10806,55410,5309
paper_sweep,centralized,30,1,18725,47969,5310
paper_sweep,centralized,30,2,26644,39504,5311
paper_sweep,centralized,30,3,34563,30023,5312
paper_sweep,centralized,30,4,42482,22454,5313
paper_sweep,centralized,30,5,50401,13989,5314
paper_sweep,centralized,30,6,58320,4500,5315
paper_sweep,centralized,30,7,66239,127227,5316
paper_sweep,centralized,30,8,74158,119786,5317
paper_sweep,centralized,30,9,82077,111321,5318
paper_sweep,hfl_no_selection,30,0,10806,19332,5309
paper_sweep,hfl_no_selection,30,1,18725,10391,5310
paper_sweep,hfl_no_selection,30,2,26644,2470,5311
paper_sweep,hfl_no_selection,30,3,34563,59057,5312
paper_sweep,hfl_no_selection,30,4,42482,50240,5313
paper_sweep,hfl_no_selection,30,5,50401,42323,5314
paper_sweep,hfl_no_selection,30,6,58320,33378,5315
paper_sweep,hfl_no_selection,30,7,66239,90893,5316
paper_sweep,hfl_no_selection,30,8,74158,81948,5317
paper_sweep,hfl_no_selection,30,9,82077,74031,5318
paper_sweep,hfl_static,30,0,10806,36615,5309
paper_sweep,hfl_static,30,1,18725,60436,5310
paper_sweep,hfl_static,30,2,26644,52517,5311
paper_sweep,hfl_static,30,3,34563,8754,5312
paper_sweep,hfl_static,30,4,42482,195,5313
paper_sweep,hfl_static,30,5,50401,25040,5314
paper_sweep,hfl_static,30,6,58320,18145,5315
paper_sweep,hfl_static,30,7,66239,108430,5316
paper_sweep,hfl_static,30,8,74158,99487,5317
paper_sweep,hfl_static,30,9,82077,124332,5318
paper_sweep,hfl_no_reputation,30,0,10806,26592,5309
paper_sweep,hfl_no_reputation,30,1,18725,1267,5310
paper_sweep,hfl_no_reputation,30,2,26644,9666,5311
paper_sweep,hfl_no_reputation,30,3,34563,51925,5312
paper_sweep,hfl_no_reputation,30,4,42482,59428,5313
paper_sweep,hfl_no_reputation,30,5,50401,35127,5314
paper_sweep,hfl_no_reputation,30,6,58320,44550,5315
paper_sweep,hfl_no_reputation,30,7,66239,85865,5316
paper_sweep,hfl_no_reputation,30,8,74158,93304,5317
paper_sweep,hfl_no_reputation,30,9,82077,68939,5318
paper_sweep,rep_cap,30,0,10806,13744,5309
paper_sweep,rep_cap,30,1,18725,22179,5310
paper_sweep,rep_cap,30,2,26644,30610,5311
paper_sweep,rep_cap,30,3,34563,39045,5312
paper_sweep,rep_cap,30,4,42482,47732,5313
paper_sweep,rep_cap,30,5,50401,56167,5314
paper_sweep,rep_cap,30,6,58320,64598,5315
paper_sweep,rep_cap,30,7,66239,73017,5316
paper_sweep,rep_cap,30,8,74158,81448,5317
paper_sweep,rep_cap,30,9,82077,89883,5318
paper_sweep,fair_mab,30,0,10806,19772,5309
paper_sweep,fair_mab,30,1,18725,11823,5310
paper_sweep,fair_mab,30,2,26644,3870,5311
paper_sweep,fair_mab,30,3,34563,57353,5312
paper_sweep,fair_mab,30,4,42482,49912,5313
paper_sweep,fair_mab,30,5,50401,41963,5314
paper_sweep,fair_mab,30,6,58320,34010,5315
paper_sweep,fair_mab,30,7,66239,91573,5316
paper_sweep,fair_mab,30,8,74158,83620,5317
paper_sweep,fair_mab,30,9,82077,75671,5318
