method,N,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,f1_survived_mean,f1_survived_std,f1_collapsed_mean,f1_collapsed_std,f1_obstructed_mean,f1_obstructed_std,f1_missing_mean,f1_missing_std,n_seeds
fedcs,30,0.7245,0.0135,0.4648,0.0243,0.8374,0.0093,0.2893,0.026,0.4374,0.0941,0.295,0.0182,10
fedcs,50,0.7319,0.0074,0.4373,0.0183,0.8456,0.0051,0.2715,0.0219,0.3604,0.0641,0.2715,0.0147,10
fedcs,100,0.7307,0.0119,0.4019,0.0118,0.8471,0.0073,0.2738,0.0189,0.2497,0.0355,0.2371,0.0139,10
fedcs,200,0.7406,0.0121,0.368,0.0109,0.8547,0.0076,0.2693,0.018,0.1375,0.0325,0.2105,0.0159,10
flat_fl,30,0.7759,0.0137,0.5382,0.0186,0.8692,0.009,0.3249,0.0267,0.6521,0.0485,0.3064,0.0239,10
flat_fl,50,0.7716,0.0183,0.4818,0.0348,0.8699,0.0105,0.318,0.0128,0.4653,0.1334,0.2739,0.014,10
flat_fl,100,0.7553,0.01,0.455,0.0177,0.8597,0.0068,0.2891,0.0191,0.4152,0.0586,0.256,0.0269,10
flat_fl,200,0.7609,0.0092,0.4075,0.0265,0.8657,0.0063,0.2637,0.0205,0.2833,0.113,0.2173,0.0319,10
hfl_no_selection,30,0.7479,0.016,0.4851,0.0264,0.8532,0.0102,0.3162,0.0299,0.4688,0.0854,0.3021,0.0181,10
hfl_no_selection,50,0.7492,0.0125,0.4584,0.0151,0.8562,0.0087,0.2881,0.0419,0.3943,0.075,0.2951,0.0197,10
hfl_no_selection,100,0.7539,0.0127,0.4305,0.0166,0.8605,0.0084,0.292,0.0373,0.2987,0.0541,0.2709,0.0189,10
hfl_no_selection,200,0.7621,0.0091,0.3932,0.013,0.8675,0.0054,0.3076,0.0303,0.1643,0.0298,0.2334,0.0146,10
oort,30,0.7186,0.0282,0.4009,0.0185,0.8351,0.0207,0.2928,0.051,0.2058,0.0329,0.2701,0.0183,10
oort,50,0.7583,0.0088,0.4093,0.0116,0.8639,0.0062,0.3219,0.017,0.1971,0.0508,0.2542,0.02,10
oort,100,0.7685,0.009,0.3854,0.0094,0.8715,0.0054,0.2967,0.0209,0.1583,0.0347,0.215,0.0142,10
oort,200,0.7847,0.0098,0.358,0.0112,0.8816,0.0054,0.2888,0.0426,0.0758,0.0391,0.186,0.0245,10
proposed_hfl,30,0.6761,0.0327,0.4049,0.0172,0.8041,0.0251,0.3017,0.0221,0.2325,0.0509,0.2811,0.0131,10
proposed_hfl,50,0.7236,0.0166,0.4029,0.0175,0.8417,0.0121,0.2781,0.0426,0.2341,0.0498,0.2579,0.015,10
proposed_hfl,100,0.7368,0.0168,0.3928,0.0081,0.8515,0.0107,0.2893,0.0189,0.1801,0.0229,0.2504,0.016,10
proposed_hfl,200,0.7443,0.0126,0.3604,0.0056,0.8576,0.0081,0.2733,0.0198,0.0857,0.0222,0.2249,0.0233,10
