harness,method,N,seed_idx,job_seed,seed,partition_seed
paper_sweep,proposed_hfl,30,0,10806,18325,5309
paper_sweep,proposed_hfl,30,1,18725,9350,5310
paper_sweep,proposed_hfl,30,2,26644,1463,5311
paper_sweep,flat_fl,30,0,10806,54950,5309
paper_sweep,flat_fl,30,1,18725,46517,5310
paper_sweep,flat_fl,30,2,26644,38020,5311
paper_sweep,centralized,30,0,10806,55410,5309
paper_sweep,centralized,30,1,18725,47969,5310
paper_sweep,centralized,30,2,26644,39504,5311
paper_sweep,hfl_no_selection,30,0,10806,19332,5309
paper_sweep,hfl_no_selection,30,1,18725,10391,5310
paper_sweep,hfl_no_selection,30,2,26644,2470,5311
paper_sweep,hfl_static,30,0,10806,36615,5309
paper_sweep,hfl_static,30,1,18725,60436,5310
paper_sweep,hfl_static,30,2,26644,52517,5311
paper_sweep,oort,30,0,10806,34406,5309
paper_sweep,oort,30,1,18725,58741,5310
paper_sweep,oort,30,2,26644,50244,5311
paper_sweep,proposed_hfl,50,0,11426,16641,5309
paper_sweep,proposed_hfl,50,1,19345,9778,5310
paper_sweep,proposed_hfl,50,2,27264,1827,5311
paper_sweep,flat_fl,50,0,11426,53298,5309
paper_sweep,flat_fl,50,1,19345,46849,5310
paper_sweep,flat_fl,50,2,27264,38416,5311
paper_sweep,centralized,50,0,11426,57062,5309
paper_sweep,centralized,50,1,19345,47573,5310
paper_sweep,centralized,50,2,27264,39108,5311
paper_sweep,hfl_no_selection,50,0,11426,19728,5309
paper_sweep,hfl_no_selection,50,1,19345,10787,5310
paper_sweep,hfl_no_selection,50,2,27264,2866,5311
paper_sweep,hfl_static,50,0,11426,35219,5309
paper_sweep,hfl_static,50,1,19345,61088,5310
paper_sweep,hfl_static,50,2,27264,53169,5311
paper_sweep,oort,50,0,11426,33010,5309
paper_sweep,oort,50,1,19345,59329,5310
paper_sweep,oort,50,2,27264,50896,5311
