harness,method,N,K,capacity,seed_idx,job_seed,seed,partition_seed
uav,mclp_place,200,5,6,0,16076,2761,5309
uav,mclp_place,200,5,6,1,23995,27070,5310
uav,mclp_place,200,5,6,2,31914,18607,5311
uav,mclp_place,200,5,6,3,39833,44956,5312
uav,mclp_place,200,5,6,4,47752,36493,5313
uav,mclp_place,200,5,6,5,55671,60786,5314
uav,mclp_place,200,5,6,6,63590,52323,5315
uav,mclp_place,200,5,6,7,71509,74576,5316
uav,mclp_place,200,5,6,8,79428,66113,5317
uav,mclp_place,200,5,6,9,87347,90422,5318
uav,proposed_hfl,200,5,6,0,16076,21359,5309
uav,proposed_hfl,200,5,6,1,23995,12312,5310
uav,proposed_hfl,200,5,6,2,31914,4361,5311
uav,proposed_hfl,200,5,6,3,39833,63034,5312
uav,proposed_hfl,200,5,6,4,47752,55083,5313
uav,proposed_hfl,200,5,6,5,55671,46292,5314
uav,proposed_hfl,200,5,6,6,63590,38341,5315
uav,proposed_hfl,200,5,6,7,71509,97014,5316
uav,proposed_hfl,200,5,6,8,79428,89063,5317
uav,proposed_hfl,200,5,6,9,87347,80016,5318
uav,ga_place,200,5,6,0,16076,63424,5309
uav,ga_place,200,5,6,1,23995,38071,5310
uav,ga_place,200,5,6,2,31914,46502,5311
uav,ga_place,200,5,6,3,39833,21141,5312
uav,ga_place,200,5,6,4,47752,29572,5313
uav,ga_place,200,5,6,5,55671,4219,5314
uav,ga_place,200,5,6,6,63590,12650,5315
uav,ga_place,200,5,6,7,71509,122457,5316
uav,ga_place,200,5,6,8,79428,130888,5317
uav,ga_place,200,5,6,9,87347,105535,5318
uav,de_place,200,5,6,0,16076,57142,5309
uav,de_place,200,5,6,1,23995,48193,5310
uav,de_place,200,5,6,2,31914,40272,5311
uav,de_place,200,5,6,3,39833,31331,5312
uav,de_place,200,5,6,4,47752,23410,5313
uav,de_place,200,5,6,5,55671,14477,5314
uav,de_place,200,5,6,6,63590,6556,5315
uav,de_place,200,5,6,7,71509,128687,5316
uav,de_place,200,5,6,8,79428,120766,5317
uav,de_place,200,5,6,9,87347,111817,5318
uav,gwo_place,200,5,6,0,16076,65184,5309
uav,gwo_place,200,5,6,1,23995,40407,5310
uav,gwo_place,200,5,6,2,31914,48326,5311
uav,gwo_place,200,5,6,3,39833,23541,5312
uav,gwo_place,200,5,6,4,47752,31460,5313
uav,gwo_place,200,5,6,5,55671,6427,5314
uav,gwo_place,200,5,6,6,63590,14346,5315
uav,gwo_place,200,5,6,7,71509,120633,5316
uav,gwo_place,200,5,6,8,79428,128552,5317
uav,gwo_place,200,5,6,9,87347,103775,5318
uav,pso_cluster_place,200,5,6,0,16076,16714,5309
uav,pso_cluster_place,200,5,6,1,23995,8765,5310
uav,pso_cluster_place,200,5,6,2,31914,812,5311
uav,pso_cluster_place,200,5,6,3,39833,58399,5312
uav,pso_cluster_place,200,5,6,4,47752,50446,5313
uav,pso_cluster_place,200,5,6,5,55671,42737,5314
uav,pso_cluster_place,200,5,6,6,63590,34784,5315
uav,pso_cluster_place,200,5,6,7,71509,92371,5316
uav,pso_cluster_place,200,5,6,8,79428,84418,5317
uav,pso_cluster_place,200,5,6,9,87347,76469,5318
uav,spiral_place,200,5,6,0,16076,53105,5309
uav,spiral_place,200,5,6,1,23995,44038,5310
uav,spiral_place,200,5,6,2,31914,36119,5311
uav,spiral_place,200,5,6,3,39833,27172,5312
uav,spiral_place,200,5,6,4,47752,19253,5313
uav,spiral_place,200,5,6,5,55671,10442,5314
uav,spiral_place,200,5,6,6,63590,2523,5315
uav,spiral_place,200,5,6,7,71509,124648,5316
uav,spiral_place,200,5,6,8,79428,116729,5317
uav,spiral_place,200,5,6,9,87347,107662,5318
uav,mozaffari2016,200,5,6,0,16076,27295,5309
uav,mozaffari2016,200,5,6,1,23995,2536,5310
uav,mozaffari2016,200,5,6,2,31914,10489,5311
uav,mozaffari2016,200,5,6,3,39833,53194,5312
uav,mozaffari2016,200,5,6,4,47752,61147,5313
uav,mozaffari2016,200,5,6,5,55671,36132,5314
uav,mozaffari2016,200,5,6,6,63590,44085,5315
uav,mozaffari2016,200,5,6,7,71509,82694,5316
uav,mozaffari2016,200,5,6,8,79428,90647,5317
uav,mozaffari2016,200,5,6,9,87347,65888,5318
uav,alzenad2017,200,5,6,0,16076,25300,5309
uav,alzenad2017,200,5,6,1,23995,419,5310
uav,alzenad2017,200,5,6,2,31914,8370,5311
uav,alzenad2017,200,5,6,3,39833,51073,5312
uav,alzenad2017,200,5,6,4,47752,59024,5313
uav,alzenad2017,200,5,6,5,55671,34159,5314
uav,alzenad2017,200,5,6,6,63590,42110,5315
uav,alzenad2017,200,5,6,7,71509,84813,5316
uav,alzenad2017,200,5,6,8,79428,92764,5317
uav,alzenad2017,200,5,6,9,87347,67883,5318
uav,cap_kmeans_place,200,5,6,0,16076,34953,5309
uav,cap_kmeans_place,200,5,6,1,23995,60414,5310
uav,cap_kmeans_place,200,5,6,2,31914,51951,5311
uav,cap_kmeans_place,200,5,6,3,39833,11740,5312
uav,cap_kmeans_place,200,5,6,4,47752,3277,5313
uav,cap_kmeans_place,200,5,6,5,55671,28466,5314
uav,cap_kmeans_place,200,5,6,6,63590,20003,5315
uav,cap_kmeans_place,200,5,6,7,71509,106768,5316
uav,cap_kmeans_place,200,5,6,8,79428,98305,5317
uav,cap_kmeans_place,200,5,6,9,87347,123766,5318
uav,ahc_place,200,5,6,0,16076,22120,5309
uav,ahc_place,200,5,6,1,23995,13599,5310
uav,ahc_place,200,5,6,2,31914,5134,5311
uav,ahc_place,200,5,6,3,39833,62269,5312
uav,ahc_place,200,5,6,4,47752,53804,5313
uav,ahc_place,200,5,6,5,55671,45523,5314
uav,ahc_place,200,5,6,6,63590,37058,5315
uav,ahc_place,200,5,6,7,71509,98289,5316
uav,ahc_place,200,5,6,8,79428,89824,5317
uav,ahc_place,200,5,6,9,87347,81303,5318
uav,moon2022,200,5,6,0,16076,20831,5309
uav,moon2022,200,5,6,1,23995,12840,5310
uav,moon2022,200,5,6,2,31914,4921,5311
uav,moon2022,200,5,6,3,39833,62474,5312
uav,moon2022,200,5,6,4,47752,54555,5313
uav,moon2022,200,5,6,5,55671,46820,5314
uav,moon2022,200,5,6,6,63590,38901,5315
uav,moon2022,200,5,6,7,71509,96454,5316
uav,moon2022,200,5,6,8,79428,88535,5317
uav,moon2022,200,5,6,9,87347,80544,5318
uav,mogoa,200,5,6,0,16076,56432,5309
uav,mogoa,200,5,6,1,23995,48903,5310
uav,mogoa,200,5,6,2,31914,40470,5311
uav,mogoa,200,5,6,3,39833,31013,5312
uav,mogoa,200,5,6,4,47752,22580,5313
uav,mogoa,200,5,6,5,55671,15307,5314
uav,mogoa,200,5,6,6,63590,6874,5315
uav,mogoa,200,5,6,7,71509,128489,5316
uav,mogoa,200,5,6,8,79428,120056,5317
uav,mogoa,200,5,6,9,87347,112527,5318
uav,centroid_place,200,5,6,0,16076,53870,5309
uav,centroid_place,200,5,6,1,23995,45337,5310
uav,centroid_place,200,5,6,2,31914,36872,5311
uav,centroid_place,200,5,6,3,39833,30523,5312
uav,centroid_place,200,5,6,4,47752,22058,5313
uav,centroid_place,200,5,6,5,55671,13781,5314
uav,centroid_place,200,5,6,6,63590,5316,5315
uav,centroid_place,200,5,6,7,71509,130039,5316
uav,centroid_place,200,5,6,8,79428,121574,5317
uav,centroid_place,200,5,6,9,87347,113041,5318
uav,random_place,200,5,6,0,16076,54052,5309
uav,random_place,200,5,6,1,23995,45139,5310
uav,random_place,200,5,6,2,31914,37186,5311
uav,random_place,200,5,6,3,39833,30321,5312
uav,random_place,200,5,6,4,47752,22368,5313
uav,random_place,200,5,6,5,55671,13471,5314
uav,random_place,200,5,6,6,63590,5518,5315
uav,random_place,200,5,6,7,71509,129725,5316
uav,random_place,200,5,6,8,79428,121772,5317
uav,random_place,200,5,6,9,87347,112859,5318
uav,hfl_static,200,5,6,0,16076,39933,5309
uav,hfl_static,200,5,6,1,23995,63626,5310
uav,hfl_static,200,5,6,2,31914,55707,5311
uav,hfl_static,200,5,6,3,39833,16040,5312
uav,hfl_static,200,5,6,4,47752,8121,5313
uav,hfl_static,200,5,6,5,55671,31814,5314
uav,hfl_static,200,5,6,6,63590,23895,5315
uav,hfl_static,200,5,6,7,71509,111204,5316
uav,hfl_static,200,5,6,8,79428,103285,5317
uav,hfl_static,200,5,6,9,87347,126978,5318
uav,flat_fl,200,5,6,0,16076,49756,5309
uav,flat_fl,200,5,6,1,23995,41259,5310
uav,flat_fl,200,5,6,2,31914,32826,5311
uav,flat_fl,200,5,6,3,39833,26377,5312
uav,flat_fl,200,5,6,4,47752,17944,5313
uav,flat_fl,200,5,6,5,55671,9703,5314
uav,flat_fl,200,5,6,6,63590,1270,5315
uav,flat_fl,200,5,6,7,71509,125893,5316
uav,flat_fl,200,5,6,8,79428,117460,5317
uav,flat_fl,200,5,6,9,87347,108963,5318
uav,mclp_place,200,10,6,0,16076,2761,5309
uav,mclp_place,200,10,6,1,23995,27070,5310
uav,mclp_place,200,10,6,2,31914,18607,5311
uav,mclp_place,200,10,6,3,39833,44956,5312
uav,mclp_place,200,10,6,4,47752,36493,5313
uav,mclp_place,200,10,6,5,55671,60786,5314
uav,mclp_place,200,10,6,6,63590,52323,5315
uav,mclp_place,200,10,6,7,71509,74576,5316
uav,mclp_place,200,10,6,8,79428,66113,5317
uav,mclp_place,200,10,6,9,87347,90422,5318
uav,proposed_hfl,200,10,6,0,16076,21359,5309
uav,proposed_hfl,200,10,6,1,23995,12312,5310
uav,proposed_hfl,200,10,6,2,31914,4361,5311
uav,proposed_hfl,200,10,6,3,39833,63034,5312
uav,proposed_hfl,200,10,6,4,47752,55083,5313
uav,proposed_hfl,200,10,6,5,55671,46292,5314
uav,proposed_hfl,200,10,6,6,63590,38341,5315
uav,proposed_hfl,200,10,6,7,71509,97014,5316
uav,proposed_hfl,200,10,6,8,79428,89063,5317
uav,proposed_hfl,200,10,6,9,87347,80016,5318
uav,ga_place,200,10,6,0,16076,63424,5309
uav,ga_place,200,10,6,1,23995,38071,5310
uav,ga_place,200,10,6,2,31914,46502,5311
uav,ga_place,200,10,6,3,39833,21141,5312
uav,ga_place,200,10,6,4,47752,29572,5313
uav,ga_place,200,10,6,5,55671,4219,5314
uav,ga_place,200,10,6,6,63590,12650,5315
uav,ga_place,200,10,6,7,71509,122457,5316
uav,ga_place,200,10,6,8,79428,130888,5317
uav,ga_place,200,10,6,9,87347,105535,5318
uav,de_place,200,10,6,0,16076,57142,5309
uav,de_place,200,10,6,1,23995,48193,5310
uav,de_place,200,10,6,2,31914,40272,5311
uav,de_place,200,10,6,3,39833,31331,5312
uav,de_place,200,10,6,4,47752,23410,5313
uav,de_place,200,10,6,5,55671,14477,5314
uav,de_place,200,10,6,6,63590,6556,5315
uav,de_place,200,10,6,7,71509,128687,5316
uav,de_place,200,10,6,8,79428,120766,5317
uav,de_place,200,10,6,9,87347,111817,5318
uav,gwo_place,200,10,6,0,16076,65184,5309
uav,gwo_place,200,10,6,1,23995,40407,5310
uav,gwo_place,200,10,6,2,31914,48326,5311
uav,gwo_place,200,10,6,3,39833,23541,5312
uav,gwo_place,200,10,6,4,47752,31460,5313
uav,gwo_place,200,10,6,5,55671,6427,5314
uav,gwo_place,200,10,6,6,63590,14346,5315
uav,gwo_place,200,10,6,7,71509,120633,5316
uav,gwo_place,200,10,6,8,79428,128552,5317
uav,gwo_place,200,10,6,9,87347,103775,5318
uav,pso_cluster_place,200,10,6,0,16076,16714,5309
uav,pso_cluster_place,200,10,6,1,23995,8765,5310
uav,pso_cluster_place,200,10,6,2,31914,812,5311
uav,pso_cluster_place,200,10,6,3,39833,58399,5312
uav,pso_cluster_place,200,10,6,4,47752,50446,5313
uav,pso_cluster_place,200,10,6,5,55671,42737,5314
uav,pso_cluster_place,200,10,6,6,63590,34784,5315
uav,pso_cluster_place,200,10,6,7,71509,92371,5316
uav,pso_cluster_place,200,10,6,8,79428,84418,5317
uav,pso_cluster_place,200,10,6,9,87347,76469,5318
uav,spiral_place,200,10,6,0,16076,53105,5309
uav,spiral_place,200,10,6,1,23995,44038,5310
uav,spiral_place,200,10,6,2,31914,36119,5311
uav,spiral_place,200,10,6,3,39833,27172,5312
uav,spiral_place,200,10,6,4,47752,19253,5313
uav,spiral_place,200,10,6,5,55671,10442,5314
uav,spiral_place,200,10,6,6,63590,2523,5315
uav,spiral_place,200,10,6,7,71509,124648,5316
uav,spiral_place,200,10,6,8,79428,116729,5317
uav,spiral_place,200,10,6,9,87347,107662,5318
uav,mozaffari2016,200,10,6,0,16076,27295,5309
uav,mozaffari2016,200,10,6,1,23995,2536,5310
uav,mozaffari2016,200,10,6,2,31914,10489,5311
uav,mozaffari2016,200,10,6,3,39833,53194,5312
uav,mozaffari2016,200,10,6,4,47752,61147,5313
uav,mozaffari2016,200,10,6,5,55671,36132,5314
uav,mozaffari2016,200,10,6,6,63590,44085,5315
