K,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
15,mclp_place,alzenad2017,10,0.0,0.001953125,0.2065316227645922,1.0,0.16849657012928684,0.24550474427126087,True,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,alzenad2017,10,0.0,0.001953125,0.23291712717087826,1.0,0.16306686800113798,0.306678807415696,True,group,mclp_place,accuracy,wilcoxon,holm
5,mclp_place,centroid_place,10,0.0,0.001953125,-0.2553876779528557,-1.0,-0.2912467404365298,-0.2168186698647913,True,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,de_place,10,0.0,0.001953125,-0.025277113184772847,-1.0,-0.06146195028376303,-0.004962292348704454,True,group,mclp_place,accuracy,wilcoxon,holm
5,mclp_place,flat_fl,10,0.0,0.001953125,-0.20067428866304912,-1.0,-0.22554456339701545,-0.1774756284410052,True,group,mclp_place,accuracy,wilcoxon,holm
5,mclp_place,ga_place,10,0.0,0.001953125,-0.18216594740181694,-1.0,-0.23871780985247315,-0.12195211392898554,True,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,mogoa,10,0.0,0.001953125,-0.04428019062346926,-1.0,-0.09435643476657152,-0.00763497183403966,True,group,mclp_place,accuracy,wilcoxon,holm
5,mclp_place,mogoa,10,0.0,0.001953125,-0.2693064183709212,-1.0,-0.29545860242885297,-0.24450364434654934,True,group,mclp_place,accuracy,wilcoxon,holm
30,mclp_place,mozaffari2016,10,0.0,0.001953125,0.1541521849345599,1.0,0.11823537062062402,0.1792775408868058,True,group,mclp_place,accuracy,wilcoxon,holm
5,mclp_place,moon2022,10,0.0,0.001953125,-0.12831789701232238,-1.0,-0.15077260440143153,-0.10624026276247346,True,group,mclp_place,accuracy,wilcoxon,holm
15,mclp_place,mozaffari2016,10,0.0,0.001953125,0.18833459471554484,1.0,0.1502775667767046,0.22408024865239676,True,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,mozaffari2016,10,0.0,0.001953125,0.24144144679260351,1.0,0.1991333507785721,0.27765787488380733,True,group,mclp_place,accuracy,wilcoxon,holm
5,mclp_place,mozaffari2016,10,0.0,0.001953125,-0.10268331565354352,-1.0,-0.13371779720848623,-0.07158764366111454,True,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,spiral_place,10,0.0,0.001953125,0.14581562552442198,1.0,0.10530784947804277,0.1824733616556848,True,group,mclp_place,accuracy,wilcoxon,holm
15,mclp_place,spiral_place,10,0.0,0.001953125,0.20066996427234676,1.0,0.15125185911469805,0.24556958769619297,True,group,mclp_place,accuracy,wilcoxon,holm
5,mclp_place,pso_cluster_place,10,0.0,0.001953125,-0.19669467693376178,-1.0,-0.23386287101318728,-0.16169290030768568,True,group,mclp_place,accuracy,wilcoxon,holm
30,mclp_place,alzenad2017,10,1.0,0.00390625,0.20391310786385047,0.9636363636363636,0.14283296973288057,0.2591452372909908,False,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,mozaffari2016,10,1.0,0.00390625,0.16535598603496923,0.9636363636363636,0.11531217545760798,0.1992909682347887,False,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,gwo_place,10,2.0,0.005859375,-0.023335401612926188,-0.9272727272727272,-0.05607307821604731,-0.004683271718852206,False,group,mclp_place,accuracy,wilcoxon,holm
5,mclp_place,de_place,10,2.0,0.005859375,-0.15984750222876462,-0.9272727272727272,-0.22170901153267034,-0.09152393512191785,False,group,mclp_place,accuracy,wilcoxon,holm
30,mclp_place,proposed_hfl,10,3.0,0.009765625,-0.025257046637546465,-0.8909090909090909,-0.062114142081189115,-0.002458225299816236,False,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,alzenad2017,10,3.0,0.009765625,0.16129622999669055,0.8909090909090909,0.09480002757947122,0.2229003702847313,False,group,mclp_place,accuracy,wilcoxon,holm
5,mclp_place,proposed_hfl,10,3.0,0.009765625,-0.12995700670525914,-0.8909090909090909,-0.19404481012210817,-0.062769918624169,False,group,mclp_place,accuracy,wilcoxon,holm
15,mclp_place,mogoa,10,3.0,0.009765625,-0.028953136904584766,-0.8909090909090909,-0.06262335341308368,-0.007682012577668585,False,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,spiral_place,10,3.0,0.009765625,0.13916806584130187,0.8909090909090909,0.0827753330366992,0.19021549850866484,False,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,proposed_hfl,10,4.0,0.013671875,-0.023692716894769685,-0.8545454545454545,-0.05917295529825818,-0.0034741462423864386,False,group,mclp_place,accuracy,wilcoxon,holm
5,mclp_place,alzenad2017,10,4.0,0.013671875,-0.10379050166747568,-0.8545454545454545,-0.1529185015166888,-0.05084010367869087,False,group,mclp_place,accuracy,wilcoxon,holm
5,mclp_place,random_place,10,5.0,0.01953125,-0.1405050380796895,-0.8181818181818182,-0.20946509432501995,-0.06484618365765842,False,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,proposed_hfl,10,5.0,0.01953125,-0.05086381488405756,-0.8181818181818182,-0.09710708532253277,-0.010543625402958133,False,group,mclp_place,accuracy,wilcoxon,holm
15,mclp_place,ga_place,10,5.0,0.01953125,-0.026044534105063154,-0.8181818181818182,-0.05809997119211651,-0.00504621635883614,False,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,de_place,10,6.0,0.02734375,-0.041411838401127346,-0.7818181818181819,-0.09023318695594999,-0.00533967402286731,False,group,mclp_place,accuracy,wilcoxon,holm
15,mclp_place,proposed_hfl,10,6.0,0.02734375,-0.027378626565097597,-0.7818181818181819,-0.06213520233620461,-0.005554550091228349,False,group,mclp_place,accuracy,wilcoxon,holm
15,mclp_place,pso_cluster_place,10,6.0,0.02734375,-0.02523701425681204,-0.7818181818181819,-0.05752842378114515,-0.004976695243543883,False,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,cap_kmeans_place,10,7.0,0.037109375,-0.04852830081930439,-0.7454545454545455,-0.09323095021020268,-0.009936259153303295,False,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,pso_cluster_place,10,8.0,0.048828125,-0.049095735917910166,-0.7090909090909091,-0.0960385609211734,-0.007867787567782477,False,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,gwo_place,10,8.0,0.048828125,-0.047553836900767685,-0.7090909090909091,-0.09214478381023787,-0.00877363146271217,False,group,mclp_place,accuracy,wilcoxon,holm
15,mclp_place,cap_kmeans_place,10,8.0,0.048828125,-0.025726554693133487,-0.7090909090909091,-0.060129638576490986,-0.003987356841750766,False,group,mclp_place,accuracy,wilcoxon,holm
30,mclp_place,mogoa,10,8.0,0.048828125,-0.0247997566326405,-0.7090909090909091,-0.06194750116533382,-0.0017583687116142555,False,group,mclp_place,accuracy,wilcoxon,holm
5,mclp_place,spiral_place,10,8.0,0.048828125,0.09699638849867669,0.7090909090909091,0.02941131970945605,0.1648764771584517,False,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,ahc_place,10,9.0,0.064453125,0.07546000899563347,0.6727272727272727,0.003863199419177334,0.1336900516874588,False,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,cap_kmeans_place,10,10.0,0.083984375,-0.02310416556659469,-0.6363636363636364,-0.05981908544516661,-0.0017737880947949066,False,group,mclp_place,accuracy,wilcoxon,holm
15,mclp_place,flat_fl,10,10.0,0.083984375,0.04242374130210116,0.6363636363636364,0.00846090041028419,0.06468595621087644,False,group,mclp_place,accuracy,wilcoxon,holm
30,mclp_place,flat_fl,10,10.0,0.083984375,0.04505573956393529,0.6363636363636364,0.005852692152090661,0.07028684945545112,False,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,flat_fl,10,10.0,0.083984375,0.04446242745248624,0.6363636363636364,0.007478650656782841,0.06734053898505264,False,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,pso_cluster_place,10,10.0,0.083984375,-0.02368701177903202,-0.6363636363636364,-0.05957804207834698,-0.002749009959746508,False,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,random_place,10,10.0,0.083984375,-0.045732567772596454,-0.6363636363636364,-0.0955859714424362,-0.0018250274272593775,False,group,mclp_place,accuracy,wilcoxon,holm
5,mclp_place,gwo_place,10,11.0,0.10546875,-0.09859871901014905,-0.6,-0.18848026050032024,-0.009111298008576059,False,group,mclp_place,accuracy,wilcoxon,holm
15,mclp_place,gwo_place,10,11.0,0.10546875,-0.023926459000749502,-0.6,-0.05925681932854987,-0.001801002852188287,False,group,mclp_place,accuracy,wilcoxon,holm
30,mclp_place,cap_kmeans_place,10,11.0,0.10546875,-0.02361245137601651,-0.6,-0.06189187669552932,-0.00022453503979326427,False,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,centroid_place,10,12.0,0.130859375,-0.01168944103770132,-0.5636363636363636,-0.05978724437355132,0.0322263022551181,False,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,hfl_static,10,12.0,0.130859375,0.0822452325770541,0.5636363636363636,-0.009053200653630277,0.17753637974793773,False,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,moon2022,10,12.0,0.130859375,0.028996178847774536,0.5636363636363636,-0.012326628930877525,0.06861284436111718,False,group,mclp_place,accuracy,wilcoxon,holm
30,mclp_place,ga_place,10,12.0,0.130859375,-0.022780091629923848,-0.5636363636363636,-0.059424347642865256,-0.0007674527259583296,False,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,mogoa,10,13.0,0.16015625,-0.022265672486834243,-0.5272727272727272,-0.05955388442254443,0.00013227381183590568,False,group,mclp_place,accuracy,wilcoxon,holm
