K,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
5,mclp_place,ahc_place,10,0.0,0.001953125,8.5,1.0,6.65,10.35,True,group,mclp_place,coverage_pct,wilcoxon,holm
10,mclp_place,ahc_place,10,0.0,0.001953125,9.45,1.0,6.95,12.15,True,group,mclp_place,coverage_pct,wilcoxon,holm
5,mclp_place,alzenad2017,10,0.0,0.001953125,19.15,1.0,17.7,20.6,True,group,mclp_place,coverage_pct,wilcoxon,holm
30,mclp_place,ahc_place,10,0.0,0.001953125,-4.340000000000002,-1.0,-5.160000000000002,-3.5900000000000007,True,group,mclp_place,coverage_pct,wilcoxon,holm
10,mclp_place,alzenad2017,10,0.0,0.001953125,38.85,1.0,37.4,40.35,True,group,mclp_place,coverage_pct,wilcoxon,holm
15,mclp_place,alzenad2017,10,0.0,0.001953125,47.25,1.0,45.6,48.9,True,group,mclp_place,coverage_pct,wilcoxon,holm
30,mclp_place,alzenad2017,10,0.0,0.001953125,61.015,1.0,59.93999999999998,62.19499999999999,True,group,mclp_place,coverage_pct,wilcoxon,holm
20,mclp_place,alzenad2017,10,0.0,0.001953125,52.9,1.0,51.05,54.9,True,group,mclp_place,coverage_pct,wilcoxon,holm
30,mclp_place,cap_kmeans_place,10,0.0,0.001953125,4.369999999999996,1.0,3.2749999999999972,5.345124999999994,True,group,mclp_place,coverage_pct,wilcoxon,holm
20,mclp_place,cap_kmeans_place,10,0.0,0.001953125,5.9,1.0,3.55,8.725,True,group,mclp_place,coverage_pct,wilcoxon,holm
5,mclp_place,cap_kmeans_place,10,0.0,0.001953125,5.575,1.0,4.5,6.775,True,group,mclp_place,coverage_pct,wilcoxon,holm
15,mclp_place,flat_fl,10,0.0,0.001953125,-30.9,-1.0,-32.15,-29.65,True,group,mclp_place,coverage_pct,wilcoxon,holm
5,mclp_place,de_place,10,0.0,0.001953125,8.075,1.0,5.925,10.35,True,group,mclp_place,coverage_pct,wilcoxon,holm
10,mclp_place,de_place,10,0.0,0.001953125,19.375,1.0,17.25,21.725,True,group,mclp_place,coverage_pct,wilcoxon,holm
15,mclp_place,de_place,10,0.0,0.001953125,18.5,1.0,16.325,20.45,True,group,mclp_place,coverage_pct,wilcoxon,holm
20,mclp_place,de_place,10,0.0,0.001953125,20.375,1.0,17.725,23.275,True,group,mclp_place,coverage_pct,wilcoxon,holm
20,mclp_place,flat_fl,10,0.0,0.001953125,-19.6,-1.0,-21.1,-17.95,True,group,mclp_place,coverage_pct,wilcoxon,holm
30,mclp_place,flat_fl,10,0.0,0.001953125,-6.085000000000003,-1.0,-7.150000000000003,-5.250000000000003,True,group,mclp_place,coverage_pct,wilcoxon,holm
5,mclp_place,ga_place,10,0.0,0.001953125,9.125,1.0,7.45,10.9,True,group,mclp_place,coverage_pct,wilcoxon,holm
10,mclp_place,ga_place,10,0.0,0.001953125,24.075,1.0,22.7,25.550624999999993,True,group,mclp_place,coverage_pct,wilcoxon,holm
5,mclp_place,flat_fl,10,0.0,0.001953125,-70.35,-1.0,-71.35,-69.35,True,group,mclp_place,coverage_pct,wilcoxon,holm
10,mclp_place,flat_fl,10,0.0,0.001953125,-43.2,-1.0,-44.5,-41.95,True,group,mclp_place,coverage_pct,wilcoxon,holm
30,mclp_place,de_place,10,0.0,0.001953125,22.794999999999995,1.0,20.874874999999996,24.775,True,group,mclp_place,coverage_pct,wilcoxon,holm
10,mclp_place,hfl_static,10,0.0,0.001953125,18.85,1.0,16.3,21.95,True,group,mclp_place,coverage_pct,wilcoxon,holm
30,mclp_place,gwo_place,10,0.0,0.001953125,20.094999999999995,1.0,18.405,21.720124999999996,True,group,mclp_place,coverage_pct,wilcoxon,holm
20,mclp_place,gwo_place,10,0.0,0.001953125,20.95,1.0,19.35,22.7,True,group,mclp_place,coverage_pct,wilcoxon,holm
15,mclp_place,gwo_place,10,0.0,0.001953125,18.575,1.0,16.425,20.625,True,group,mclp_place,coverage_pct,wilcoxon,holm
10,mclp_place,gwo_place,10,0.0,0.001953125,20.35,1.0,18.25,22.15,True,group,mclp_place,coverage_pct,wilcoxon,holm
5,mclp_place,gwo_place,10,0.0,0.001953125,8.45,1.0,6.525,10.4,True,group,mclp_place,coverage_pct,wilcoxon,holm
30,mclp_place,ga_place,10,0.0,0.001953125,40.64,1.0,38.595,42.565,True,group,mclp_place,coverage_pct,wilcoxon,holm
20,mclp_place,ga_place,10,0.0,0.001953125,33.95,1.0,31.35,37.0,True,group,mclp_place,coverage_pct,wilcoxon,holm
15,mclp_place,ga_place,10,0.0,0.001953125,28.275,1.0,25.125,31.05,True,group,mclp_place,coverage_pct,wilcoxon,holm
10,mclp_place,mozaffari2016,10,0.0,0.001953125,36.75,1.0,35.45,37.95,True,group,mclp_place,coverage_pct,wilcoxon,holm
30,mclp_place,mogoa,10,0.0,0.001953125,24.014999999999997,1.0,22.704874999999998,25.584999999999997,True,group,mclp_place,coverage_pct,wilcoxon,holm
5,mclp_place,moon2022,10,0.0,0.001953125,-9.45,-1.0,-10.9,-8.0,True,group,mclp_place,coverage_pct,wilcoxon,holm
10,mclp_place,moon2022,10,0.0,0.001953125,-9.05,-1.0,-10.4,-7.65,True,group,mclp_place,coverage_pct,wilcoxon,holm
