K,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
10,mclp_place,ahc_place,10,0.0,0.001953125,0.07536592500040618,1.0,0.05011958922501153,0.09916116907694701,True,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,alzenad2017,10,0.0,0.001953125,0.0904475121195858,1.0,0.06980203116485792,0.11035590956564431,True,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,alzenad2017,10,0.0,0.001953125,0.0908451120774045,1.0,0.05984329409063853,0.12305608664465789,True,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,flat_fl,10,0.0,0.001953125,-0.04564073265089856,-1.0,-0.058237510239536626,-0.033564666758866615,True,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,moon2022,10,0.0,0.001953125,-0.03863805097912189,-1.0,-0.05164471580679656,-0.025924149620301665,True,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,mogoa,10,0.0,0.001953125,0.11739474400680652,1.0,0.10431094997300852,0.12962337717963235,True,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,hfl_static,10,0.0,0.001953125,0.03539605597130274,1.0,0.023707752070274847,0.04876703618261611,True,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,mogoa,10,0.0,0.001953125,0.08383432483719584,1.0,0.06749176277034818,0.09971131977837289,True,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,mozaffari2016,10,0.0,0.001953125,0.07654944804065872,1.0,0.05517800145941497,0.09811465608552983,True,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,mozaffari2016,10,0.0,0.001953125,0.042537880119764684,1.0,0.03216125598050733,0.053792906470371646,True,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,mozaffari2016,10,0.0,0.001953125,0.1386844233541695,1.0,0.11804601583060997,0.1605737941821623,True,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,random_place,10,0.0,0.001953125,0.12915001167221504,1.0,0.10641242260420716,0.15468072126256457,True,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,random_place,10,0.0,0.001953125,0.11512561146957376,1.0,0.08089439104377491,0.1494911813991788,True,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,random_place,10,0.0,0.001953125,0.0844098880783974,1.0,0.06093860145682958,0.10581432972396555,True,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,alzenad2017,10,1.0,0.00390625,0.051256927151569695,0.9636363636363636,0.033133925269710277,0.07090207573675794,True,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,hfl_static,10,1.0,0.00390625,0.03283177181904639,0.9636363636363636,0.014249045727630721,0.052853821659621304,True,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,mozaffari2016,10,1.0,0.00390625,0.057790547572692655,0.9636363636363636,0.03879709261423469,0.0752453472445775,True,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,hfl_static,10,1.0,0.00390625,0.047829431356811836,0.9636363636363636,0.03169690597829443,0.06228324689120695,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,alzenad2017,10,1.0,0.00390625,0.06703911414180157,0.9636363636363636,0.0413753993248257,0.09216640483934257,False,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,ahc_place,10,1.0,0.00390625,0.06465760190897744,0.9636363636363636,0.039365930290120664,0.08779170766444488,True,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,random_place,10,1.0,0.00390625,0.048236992402331993,0.9636363636363636,0.028635992014485866,0.06835936533814349,False,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,alzenad2017,10,1.0,0.00390625,0.08502576871234716,0.9636363636363636,0.0579827851242186,0.11109238491136902,False,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,moon2022,10,2.0,0.005859375,-0.034934255245252885,-0.9272727272727272,-0.05475315246877989,-0.016743865816139875,False,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,ga_place,10,3.0,0.009765625,0.03864837494290887,0.8909090909090909,0.01858024203134551,0.057958331311561626,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,moon2022,10,4.0,0.013671875,-0.03934634616164262,-0.8545454545454545,-0.060892026464173576,-0.01540165285179244,False,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,spiral_place,10,4.0,0.013671875,0.06130620891606029,0.8545454545454545,0.03095820533973346,0.09108978127828982,False,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,proposed_hfl,10,5.0,0.01953125,-0.03865143200552549,-0.8181818181818182,-0.06415080047926422,-0.014340756860769008,False,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,moon2022,10,5.0,0.01953125,-0.033059603772155895,-0.8181818181818182,-0.05073883901789167,-0.015175733747502194,False,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,cap_kmeans_place,10,6.0,0.02734375,0.029409696154830196,0.7818181818181819,0.007484146782482613,0.05583846298873803,False,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,ahc_place,10,6.0,0.02734375,0.036734972642331554,0.7818181818181819,0.01269506053754523,0.06343898723972109,False,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,mogoa,10,6.0,0.02734375,0.04631597912112285,0.7818181818181819,0.01828217637762585,0.07280380902753253,False,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,hfl_static,10,7.0,0.037109375,0.03782017483276539,0.7454545454545455,0.010479815996026962,0.06604857014073941,False,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,flat_fl,10,7.0,0.037109375,-0.018941333812508336,-0.7454545454545455,-0.03223986470399758,-0.0042313928004573675,False,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,de_place,10,7.0,0.037109375,0.028321559226206057,0.7454545454545455,0.00713097306849595,0.05151752438817532,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,cap_kmeans_place,10,7.0,0.037109375,0.03597494614947893,0.7454545454545455,0.01132587396746711,0.06107297871845598,False,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,cap_kmeans_place,10,7.0,0.037109375,0.04363775998732761,0.7454545454545455,0.011331793825276373,0.07581736861154087,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,proposed_hfl,10,8.0,0.048828125,0.022946738932805473,0.7090909090909091,0.005120652048008985,0.039516367279246574,False,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,gwo_place,10,8.0,0.048828125,0.018173202619393203,0.7090909090909091,0.0037300666853825083,0.032778730845443055,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,flat_fl,10,9.0,0.064453125,-0.026135402193331513,-0.6727272727272727,-0.042625140741719386,-0.004224332533848637,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,gwo_place,10,9.0,0.064453125,0.028763242647279717,0.6727272727272727,0.007285858971973429,0.05473469589174155,False,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,pso_cluster_place,10,9.0,0.064453125,0.028619269250380913,0.6727272727272727,0.0018331762194809726,0.05438913953009478,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,random_place,10,9.0,0.064453125,0.032434494202205774,0.6727272727272727,0.0038126040473095853,0.06102463485094306,False,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,hfl_static,10,10.0,0.083984375,0.02307216847515703,0.6363636363636364,0.001278698845161459,0.044779634175283606,False,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,moon2022,10,10.0,0.083984375,-0.02120421852952889,-0.6363636363636364,-0.04308117158550772,0.0020050435359265104,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,de_place,10,10.0,0.083984375,0.02284370606920429,0.6363636363636364,0.0031787215868331635,0.041449954274810734,False,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,ga_place,10,10.0,0.083984375,0.04707218049825691,0.6363636363636364,0.004895003732212777,0.08959785664707856,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,centroid_place,10,10.0,0.083984375,0.02506993566617028,0.6363636363636364,0.0031972851202305974,0.04814376550230352,False,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,centroid_place,10,10.0,0.083984375,0.040340145908578165,0.6363636363636364,0.009889782853004023,0.0735105574520577,False,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,cap_kmeans_place,10,11.0,0.10546875,0.019434339934306915,0.6,0.0009869653700079449,0.036448537625941725,False,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,spiral_place,10,11.0,0.10546875,0.017019735790458353,0.6,0.00024195625665826255,0.03356042709971436,False,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,spiral_place,10,12.0,0.130859375,0.018729277015966533,0.5636363636363636,-0.002102656867064792,0.039410188037879525,False,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,de_place,10,12.0,0.130859375,0.023733812429856956,0.5636363636363636,-0.003635100653937085,0.049200957048544595,False,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,proposed_hfl,10,14.0,0.193359375,0.016415904649164165,0.4909090909090909,-0.004995613332757536,0.03841818830607361,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,spiral_place,10,14.0,0.193359375,0.012877062537314582,0.4909090909090909,-0.002089443395493943,0.02724814100567135,False,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,centroid_place,10,14.0,0.193359375,0.013892479643587769,0.4909090909090909,-0.0040742385859846905,0.031077937706145337,False,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,flat_fl,10,15.0,0.232421875,-0.007812876725250346,-0.45454545454545453,-0.01971950529490558,0.004982204858951769,False,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,proposed_hfl,10,15.0,0.232421875,0.01868710974270818,0.45454545454545453,-0.008292870216650162,0.04332113389982045,False,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,gwo_place,10,15.0,0.232421875,0.01682001629293297,0.45454545454545453,-0.011260201690954996,0.04482316159415355,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,mogoa,10,15.0,0.232421875,0.023237393642029053,0.45454545454545453,-0.001711644464289033,0.04961284825156297,False,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,gwo_place,10,17.0,0.322265625,0.013706298286677004,0.38181818181818183,-0.0050061014478900235,0.03348934563307337,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,ahc_place,10,17.0,0.322265625,0.014770645220653134,0.38181818181818183,-0.010770597811618978,0.04020176774241258,False,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,de_place,10,18.0,0.375,0.011546642106481925,0.34545454545454546,-0.01052089966927666,0.03413664136276525,False,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,ga_place,10,18.0,0.375,0.022629891248849697,0.34545454545454546,-0.002470251352151285,0.05027338624273618,False,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,centroid_place,10,19.0,0.431640625,0.007551996799143657,0.3090909090909091,-0.008720094576504803,0.0231196619601403,False,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,mogoa,10,20.0,0.4921875,0.010059155549196324,0.2727272727272727,-0.01183169759441653,0.03142777266648654,False,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,ahc_place,10,21.0,0.556640625,0.006308761476121005,0.23636363636363636,-0.00493148133233067,0.01818020201865266,False,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,de_place,10,21.0,0.556640625,-0.00857159879271015,-0.23636363636363636,-0.03023129853908408,0.010214144063704463,False,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,pso_cluster_place,10,21.0,0.556640625,0.007655175914058265,0.23636363636363636,-0.01023004381454122,0.027182668863466,False,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,pso_cluster_place,10,21.0,0.556640625,0.005823428158667815,0.23636363636363636,-0.015322626031494811,0.028443281787076963,False,group,mclp_place,macro_f1,wilcoxon,holm
15,mclp_place,spiral_place,10,21.0,0.556640625,0.011780108335991501,0.23636363636363636,-0.008934181749617642,0.03347718176336196,False,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,proposed_hfl,10,22.0,0.625,0.005526773517927941,0.2,-0.010131121406058487,0.022381909883509004,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,mozaffari2016,10,22.0,0.625,0.007531773254668162,0.2,-0.0102061681867921,0.02754140000632911,False,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,gwo_place,10,22.0,0.625,0.012392210323386211,0.2,-0.020772342954585278,0.047591942733170856,False,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,flat_fl,10,22.0,0.625,-0.0018941450668204518,-0.2,-0.02582712180687388,0.025012910485228187,False,group,mclp_place,macro_f1,wilcoxon,holm
5,mclp_place,cap_kmeans_place,10,24.0,0.76953125,-0.0008227314140049569,0.12727272727272726,-0.02663213071627717,0.024034201243476376,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,ga_place,10,24.0,0.76953125,0.0006915350169189538,0.12727272727272726,-0.013885399100906365,0.014423084140329414,False,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,ga_place,10,25.0,0.845703125,0.004059451171640904,0.09090909090909091,-0.029173056477224273,0.03557811534978137,False,group,mclp_place,macro_f1,wilcoxon,holm
10,mclp_place,centroid_place,10,26.0,0.921875,-0.007317083540059016,-0.05454545454545454,-0.030687413715664674,0.013321812078097907,False,group,mclp_place,macro_f1,wilcoxon,holm
20,mclp_place,pso_cluster_place,10,27.0,1.0,0.00879497690745359,0.01818181818181818,-0.018403575726061227,0.042599144953484894,False,group,mclp_place,macro_f1,wilcoxon,holm
30,mclp_place,pso_cluster_place,10,27.0,1.0,0.0012824501052076831,0.01818181818181818,-0.024984741804290084,0.02693669297862903,False,group,mclp_place,macro_f1,wilcoxon,holm
