harness,method,N,K,capacity,seed_idx,job_seed,seed,partition_seed
uav,mclp_place,200,20,60,0,16076,2761,5309
uav,random_place,200,20,60,0,16076,54052,5309
uav,mclp_place,200,40,60,0,16076,2761,5309
uav,random_place,200,40,60,0,16076,54052,5309
uav,mclp_place,200,60,60,0,16076,2761,5309
uav,random_place,200,60,60,0,16076,54052,5309
uav,mclp_place,200,100,60,0,16076,2761,5309
uav,random_place,200,100,60,0,16076,54052,5309
uav,mclp_place,200,150,60,0,16076,2761,5309
uav,random_place,200,150,60,0,16076,54052,5309
uav,mclp_place,200,200,60,0,16076,2761,5309
uav,random_place,200,200,60,0,16076,54052,5309
