harness,method,N,K,capacity,seed_idx,job_seed,seed,partition_seed
uav,mclp_place,200,60,2,0,16076,2761,5309
uav,random_place,200,60,2,0,16076,54052,5309
uav,mclp_place,200,60,6,0,16076,2761,5309
uav,random_place,200,60,6,0,16076,54052,5309
uav,mclp_place,200,100,2,0,16076,2761,5309
uav,random_place,200,100,2,0,16076,54052,5309
uav,mclp_place,200,100,6,0,16076,2761,5309
uav,random_place,200,100,6,0,16076,54052,5309
uav,mclp_place,200,120,1,0,16076,2761,5309
uav,random_place,200,120,1,0,16076,54052,5309
uav,mclp_place,200,200,6,0,16076,2761,5309
uav,random_place,200,200,6,0,16076,54052,5309
