harness,method,N,K,capacity,seed_idx,job_seed,seed,partition_seed
uav,mclp_place,200,20,6,0,16076,2761,5309
uav,mclp_place,200,20,6,1,23995,27070,5310
uav,mclp_place,200,20,6,2,31914,18607,5311
uav,mclp_place,200,30,4,0,16076,2761,5309
uav,mclp_place,200,30,4,1,23995,27070,5310
uav,mclp_place,200,30,4,2,31914,18607,5311
uav,mclp_place,200,40,3,0,16076,2761,5309
uav,mclp_place,200,40,3,1,23995,27070,5310
uav,mclp_place,200,40,3,2,31914,18607,5311
uav,mclp_place,200,60,2,0,16076,2761,5309
uav,mclp_place,200,60,2,1,23995,27070,5310
uav,mclp_place,200,60,2,2,31914,18607,5311
uav,mclp_place,200,120,1,0,16076,2761,5309
uav,mclp_place,200,120,1,1,23995,27070,5310
uav,mclp_place,200,120,1,2,31914,18607,5311
uav,mclp_place,200,60,6,0,16076,2761,5309
uav,mclp_place,200,60,6,1,23995,27070,5310
uav,mclp_place,200,60,6,2,31914,18607,5311
