method,N,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,f1_survived_mean,f1_survived_std,f1_collapsed_mean,f1_collapsed_std,f1_obstructed_mean,f1_obstructed_std,f1_missing_mean,f1_missing_std,n_seeds
fedcs,30,0.7156,0.0153,0.4283,0.0139,0.835,0.0116,0.3055,0.0187,0.2862,0.0586,0.2864,0.0067,10
fedcs,50,0.7363,0.0138,0.4056,0.0131,0.8511,0.009,0.294,0.0275,0.216,0.0549,0.2612,0.0106,10
fedcs,100,0.7354,0.0103,0.3806,0.0094,0.8517,0.007,0.2899,0.0134,0.1371,0.0305,0.2438,0.0115,10
fedcs,200,0.7406,0.0107,0.3539,0.0087,0.8552,0.0067,0.2754,0.0221,0.0589,0.0165,0.2262,0.0125,10
flat_fl,30,0.7573,0.0183,0.515,0.0184,0.8574,0.0121,0.3099,0.0333,0.6053,0.0652,0.2876,0.0242,10
flat_fl,50,0.7461,0.0244,0.4526,0.0265,0.8537,0.0161,0.3024,0.0073,0.3807,0.0897,0.2735,0.0135,10
flat_fl,100,0.7353,0.0157,0.4355,0.0159,0.8469,0.0103,0.2792,0.0167,0.3485,0.0553,0.2675,0.0313,10
flat_fl,200,0.7442,0.0061,0.3939,0.0216,0.8556,0.0036,0.255,0.0273,0.2221,0.0697,0.2429,0.0197,10
oort,30,0.7094,0.0213,0.4088,0.0202,0.83,0.0148,0.303,0.0429,0.2305,0.0419,0.2719,0.0142,10
oort,50,0.7495,0.0081,0.4125,0.0104,0.8596,0.0056,0.3095,0.0174,0.235,0.0422,0.2459,0.0145,10
oort,100,0.7544,0.0087,0.3911,0.0092,0.8639,0.0059,0.2834,0.0186,0.1998,0.0372,0.2172,0.0165,10
oort,200,0.7631,0.0117,0.3528,0.0077,0.869,0.0068,0.2649,0.0212,0.0943,0.0316,0.1831,0.0185,10
proposed_hfl,30,0.6455,0.0335,0.4189,0.0293,0.776,0.0277,0.2887,0.0276,0.3187,0.0799,0.292,0.0186,10
proposed_hfl,50,0.6989,0.013,0.4291,0.024,0.8206,0.01,0.2617,0.038,0.3335,0.0853,0.3005,0.0136,10
proposed_hfl,100,0.7032,0.0098,0.4298,0.0119,0.8238,0.0081,0.2797,0.0173,0.3129,0.0325,0.3027,0.0135,10
proposed_hfl,200,0.7053,0.0122,0.4073,0.0191,0.8281,0.0084,0.2661,0.023,0.261,0.0747,0.2739,0.0118,10
