harness,method,N,seed_idx,job_seed,seed,partition_seed
paper_sweep,proposed_hfl,30,0,10806,18325,5309
paper_sweep,proposed_hfl,30,1,18725,9350,5310
paper_sweep,proposed_hfl,30,2,26644,1463,5311
paper_sweep,proposed_hfl,30,3,34563,60064,5312
paper_sweep,proposed_hfl,30,4,42482,51281,5313
paper_sweep,proposed_hfl,30,5,50401,43330,5314
paper_sweep,proposed_hfl,30,6,58320,36467,5315
paper_sweep,proposed_hfl,30,7,66239,93980,5316
paper_sweep,proposed_hfl,30,8,74158,85005,5317
paper_sweep,proposed_hfl,30,9,82077,77118,5318
paper_sweep,fedcs,30,0,10806,50272,5309
paper_sweep,fedcs,30,1,18725,42867,5310
paper_sweep,fedcs,30,2,26644,34370,5311
paper_sweep,fedcs,30,3,34563,26965,5312
paper_sweep,fedcs,30,4,42482,19364,5313
paper_sweep,fedcs,30,5,50401,10935,5314
paper_sweep,fedcs,30,6,58320,3462,5315
paper_sweep,fedcs,30,7,66239,126185,5316
paper_sweep,fedcs,30,8,74158,118776,5317
paper_sweep,fedcs,30,9,82077,110283,5318
paper_sweep,oort,30,0,10806,34406,5309
paper_sweep,oort,30,1,18725,58741,5310
paper_sweep,oort,30,2,26644,50244,5311
paper_sweep,oort,30,3,34563,11091,5312
paper_sweep,oort,30,4,42482,2466,5313
paper_sweep,oort,30,5,50401,26801,5314
paper_sweep,oort,30,6,58320,20352,5315
paper_sweep,oort,30,7,66239,110319,5316
paper_sweep,oort,30,8,74158,101886,5317
paper_sweep,oort,30,9,82077,126157,5318
paper_sweep,flat_fl,30,0,10806,54950,5309
paper_sweep,flat_fl,30,1,18725,46517,5310
paper_sweep,flat_fl,30,2,26644,38020,5311
paper_sweep,flat_fl,30,3,34563,31635,5312
paper_sweep,flat_fl,30,4,42482,22882,5313
paper_sweep,flat_fl,30,5,50401,14449,5314
paper_sweep,flat_fl,30,6,58320,8000,5315
paper_sweep,flat_fl,30,7,66239,130607,5316
paper_sweep,flat_fl,30,8,74158,122174,5317
paper_sweep,flat_fl,30,9,82077,113677,5318
paper_sweep,proposed_hfl,50,0,11426,16641,5309
paper_sweep,proposed_hfl,50,1,19345,9778,5310
paper_sweep,proposed_hfl,50,2,27264,1827,5311
paper_sweep,proposed_hfl,50,3,35183,58572,5312
paper_sweep,proposed_hfl,50,4,43102,50685,5313
paper_sweep,proposed_hfl,50,5,51021,43758,5314
paper_sweep,proposed_hfl,50,6,58940,35743,5315
paper_sweep,proposed_hfl,50,7,66859,92296,5316
paper_sweep,proposed_hfl,50,8,74778,84409,5317
paper_sweep,proposed_hfl,50,9,82697,77482,5318
paper_sweep,fedcs,50,0,11426,49908,5309
paper_sweep,fedcs,50,1,19345,42439,5310
paper_sweep,fedcs,50,2,27264,34006,5311
paper_sweep,fedcs,50,3,35183,26425,5312
paper_sweep,fedcs,50,4,43102,17928,5313
paper_sweep,fedcs,50,5,51021,10523,5314
paper_sweep,fedcs,50,6,58940,2154,5315
paper_sweep,fedcs,50,7,66859,125821,5316
paper_sweep,fedcs,50,8,74778,117324,5317
paper_sweep,fedcs,50,9,82697,109919,5318
paper_sweep,oort,50,0,11426,33010,5309
paper_sweep,oort,50,1,19345,59329,5310
paper_sweep,oort,50,2,27264,50896,5311
paper_sweep,oort,50,3,35183,9535,5312
paper_sweep,oort,50,4,43102,1038,5313
paper_sweep,oort,50,5,51021,27421,5314
paper_sweep,oort,50,6,58940,19052,5315
paper_sweep,oort,50,7,66859,108923,5316
paper_sweep,oort,50,8,74778,100426,5317
paper_sweep,oort,50,9,82697,126809,5318
paper_sweep,flat_fl,50,0,11426,53298,5309
paper_sweep,flat_fl,50,1,19345,46849,5310
paper_sweep,flat_fl,50,2,27264,38416,5311
paper_sweep,flat_fl,50,3,35183,30207,5312
paper_sweep,flat_fl,50,4,43102,21710,5313
paper_sweep,flat_fl,50,5,51021,15325,5314
paper_sweep,flat_fl,50,6,58940,6828,5315
paper_sweep,flat_fl,50,7,66859,129467,5316
paper_sweep,flat_fl,50,8,74778,120970,5317
paper_sweep,flat_fl,50,9,82697,114585,5318
paper_sweep,proposed_hfl,100,0,12976,24339,5309
paper_sweep,proposed_hfl,100,1,20895,15420,5310
paper_sweep,proposed_hfl,100,2,28814,7469,5311
paper_sweep,proposed_hfl,100,3,36733,58078,5312
paper_sweep,proposed_hfl,100,4,44652,50127,5313
paper_sweep,proposed_hfl,100,5,52571,41208,5314
paper_sweep,proposed_hfl,100,6,60490,33257,5315
paper_sweep,proposed_hfl,100,7,68409,91802,5316
paper_sweep,proposed_hfl,100,8,76328,83851,5317
paper_sweep,proposed_hfl,100,9,84247,74932,5318
paper_sweep,fedcs,100,0,12976,56550,5309
paper_sweep,fedcs,100,1,20895,49097,5310
paper_sweep,fedcs,100,2,28814,40664,5311
paper_sweep,fedcs,100,3,36733,24875,5312
paper_sweep,fedcs,100,4,44652,16442,5313
paper_sweep,fedcs,100,5,52571,8973,5314
paper_sweep,fedcs,100,6,60490,540,5315
paper_sweep,fedcs,100,7,68409,124271,5316
paper_sweep,fedcs,100,8,76328,115838,5317
paper_sweep,fedcs,100,9,84247,108353,5318
paper_sweep,oort,100,0,12976,40672,5309
paper_sweep,oort,100,1,20895,64975,5310
paper_sweep,oort,100,2,28814,56542,5311
paper_sweep,oort,100,3,36733,9005,5312
paper_sweep,oort,100,4,44652,572,5313
paper_sweep,oort,100,5,52571,24843,5314
paper_sweep,oort,100,6,60490,16410,5315
paper_sweep,oort,100,7,68409,108393,5316
paper_sweep,oort,100,8,76328,99960,5317
paper_sweep,oort,100,9,84247,124231,5318
paper_sweep,flat_fl,100,0,12976,52768,5309
paper_sweep,flat_fl,100,1,20895,44303,5310
paper_sweep,flat_fl,100,2,28814,35870,5311
