method,N,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,f1_survived_mean,f1_survived_std,f1_collapsed_mean,f1_collapsed_std,f1_obstructed_mean,f1_obstructed_std,f1_missing_mean,f1_missing_std,n_seeds
fedcs,30,0.7113,0.0195,0.4203,0.0118,0.8328,0.0138,0.2997,0.0175,0.266,0.0488,0.2825,0.0082,10
fedcs,50,0.7323,0.0138,0.4171,0.0124,0.8488,0.009,0.316,0.0234,0.2416,0.0441,0.2621,0.0145,10
fedcs,100,0.7322,0.0105,0.3789,0.0064,0.8494,0.0071,0.2817,0.0181,0.1299,0.0208,0.2545,0.007,10
fedcs,200,0.7342,0.0135,0.3537,0.0071,0.8512,0.0086,0.2608,0.0241,0.0652,0.0223,0.2375,0.008,10
flat_fl,30,0.758,0.0127,0.5177,0.0271,0.8576,0.0085,0.3189,0.0291,0.5948,0.0909,0.2995,0.0186,10
flat_fl,50,0.754,0.0185,0.4639,0.0309,0.8587,0.0118,0.2969,0.0376,0.4372,0.0996,0.2629,0.0223,10
flat_fl,100,0.7431,0.011,0.4404,0.0156,0.8527,0.008,0.2787,0.019,0.3578,0.053,0.2725,0.0177,10
flat_fl,200,0.749,0.0085,0.4094,0.0126,0.8577,0.0055,0.2653,0.0252,0.2553,0.0574,0.2591,0.0164,10
oort,30,0.7115,0.017,0.4077,0.0172,0.8324,0.0129,0.3122,0.029,0.2217,0.0412,0.2644,0.016,10
oort,50,0.7377,0.011,0.4181,0.015,0.8515,0.0072,0.3063,0.032,0.2669,0.051,0.2478,0.0097,10
oort,100,0.7551,0.0058,0.3875,0.0097,0.8644,0.0038,0.2902,0.0115,0.1692,0.0327,0.2261,0.0155,10
oort,200,0.7657,0.0092,0.3566,0.0078,0.871,0.0056,0.2656,0.0224,0.108,0.0286,0.1818,0.0252,10
proposed_hfl,30,0.6534,0.0332,0.4229,0.0385,0.7827,0.0266,0.288,0.0143,0.3369,0.1216,0.2839,0.0164,10
proposed_hfl,50,0.7012,0.0185,0.4525,0.0206,0.8199,0.0149,0.277,0.0224,0.4163,0.0865,0.297,0.0145,10
proposed_hfl,100,0.7007,0.0063,0.4329,0.0166,0.8215,0.0048,0.2754,0.016,0.3319,0.0642,0.3027,0.0074,10
proposed_hfl,200,0.7073,0.01,0.4164,0.0172,0.8291,0.007,0.2662,0.0179,0.2864,0.0639,0.2838,0.0161,10
