harness,method,N,seed_idx,job_seed,seed,partition_seed
paper_sweep,proposed_hfl,30,10,89996,78383,5319
paper_sweep,proposed_hfl,30,11,97915,70616,5320
paper_sweep,proposed_hfl,30,12,105834,127177,5321
paper_sweep,proposed_hfl,30,13,113753,119290,5322
paper_sweep,proposed_hfl,30,14,121672,112363,5323
paper_sweep,proposed_hfl,30,15,129591,104340,5324
paper_sweep,proposed_hfl,30,16,137510,160901,5325
paper_sweep,proposed_hfl,30,17,145429,153014,5326
paper_sweep,proposed_hfl,30,18,153348,146087,5327
paper_sweep,proposed_hfl,30,19,161267,137296,5328
paper_sweep,fedcs,30,10,89996,111066,5319
paper_sweep,fedcs,30,11,97915,102445,5320
paper_sweep,fedcs,30,12,105834,95036,5321
paper_sweep,fedcs,30,13,113753,86543,5322
paper_sweep,fedcs,30,14,121672,79134,5323
paper_sweep,fedcs,30,15,129591,70753,5324
paper_sweep,fedcs,30,16,137510,194416,5325
paper_sweep,fedcs,30,17,145429,185923,5326
paper_sweep,fedcs,30,18,153348,178514,5327
paper_sweep,fedcs,30,19,161267,170917,5328
paper_sweep,oort,30,10,89996,127964,5319
paper_sweep,oort,30,11,97915,119339,5320
paper_sweep,oort,30,12,105834,78138,5321
paper_sweep,oort,30,13,113753,69641,5322
paper_sweep,oort,30,14,121672,96024,5323
paper_sweep,oort,30,15,129591,87655,5324
paper_sweep,oort,30,16,137510,177526,5325
paper_sweep,oort,30,17,145429,169029,5326
paper_sweep,oort,30,18,153348,195412,5327
paper_sweep,oort,30,19,161267,186787,5328
paper_sweep,flat_fl,30,10,89996,107292,5319
paper_sweep,flat_fl,30,11,97915,99051,5320
paper_sweep,flat_fl,30,12,105834,90618,5321
paper_sweep,flat_fl,30,13,113753,82121,5322
paper_sweep,flat_fl,30,14,121672,75736,5323
paper_sweep,flat_fl,30,15,129591,67239,5324
paper_sweep,flat_fl,30,16,137510,189878,5325
paper_sweep,flat_fl,30,17,145429,181381,5326
paper_sweep,flat_fl,30,18,153348,174996,5327
paper_sweep,flat_fl,30,19,161267,166243,5328
paper_sweep,proposed_hfl,50,10,90616,68699,5319
paper_sweep,proposed_hfl,50,11,98535,126276,5320
paper_sweep,proposed_hfl,50,12,106454,127605,5321
paper_sweep,proposed_hfl,50,13,114373,119654,5322
paper_sweep,proposed_hfl,50,14,122292,110615,5323
paper_sweep,proposed_hfl,50,15,130211,102656,5324
paper_sweep,proposed_hfl,50,16,138130,161329,5325
paper_sweep,proposed_hfl,50,17,146049,153378,5326
paper_sweep,proposed_hfl,50,18,153968,144595,5327
paper_sweep,proposed_hfl,50,19,161887,136700,5328
paper_sweep,fedcs,50,10,90616,102318,5319
paper_sweep,fedcs,50,11,98535,93873,5320
paper_sweep,fedcs,50,12,106454,94592,5321
paper_sweep,fedcs,50,13,114373,86163,5322
paper_sweep,fedcs,50,14,122292,78818,5323
paper_sweep,fedcs,50,15,130211,70389,5324
paper_sweep,fedcs,50,16,138130,193988,5325
paper_sweep,fedcs,50,17,146049,185559,5326
paper_sweep,fedcs,50,18,153968,177958,5327
paper_sweep,fedcs,50,19,161887,169481,5328
paper_sweep,oort,50,10,90616,118184,5319
paper_sweep,oort,50,11,98535,76983,5320
paper_sweep,oort,50,12,106454,78726,5321
paper_sweep,oort,50,13,114373,70293,5322
paper_sweep,oort,50,14,122292,94692,5323
paper_sweep,oort,50,15,130211,86259,5324
paper_sweep,oort,50,16,138130,178114,5325
paper_sweep,oort,50,17,146049,169681,5326
paper_sweep,oort,50,18,153968,193824,5327
paper_sweep,oort,50,19,161887,185359,5328
paper_sweep,flat_fl,50,10,90616,105832,5319
paper_sweep,flat_fl,50,11,98535,97399,5320
paper_sweep,flat_fl,50,12,106454,90950,5321
paper_sweep,flat_fl,50,13,114373,82517,5322
paper_sweep,flat_fl,50,14,122292,74020,5323
paper_sweep,flat_fl,50,15,130211,65587,5324
paper_sweep,flat_fl,50,16,138130,190210,5325
paper_sweep,flat_fl,50,17,146049,181777,5326
paper_sweep,flat_fl,50,18,153968,173536,5327
paper_sweep,flat_fl,50,19,161887,165071,5328
paper_sweep,proposed_hfl,100,10,92166,66981,5319
paper_sweep,proposed_hfl,100,11,100085,125782,5320
paper_sweep,proposed_hfl,100,12,108004,116807,5321
paper_sweep,proposed_hfl,100,13,115923,108912,5322
paper_sweep,proposed_hfl,100,14,123842,101985,5323
paper_sweep,proposed_hfl,100,15,131761,159506,5324
paper_sweep,proposed_hfl,100,16,139680,150531,5325
paper_sweep,proposed_hfl,100,17,147599,142636,5326
paper_sweep,proposed_hfl,100,18,155518,144093,5327
paper_sweep,proposed_hfl,100,19,163437,136142,5328
paper_sweep,fedcs,100,10,92166,99920,5319
paper_sweep,fedcs,100,11,100085,92323,5320
paper_sweep,fedcs,100,12,108004,84914,5321
paper_sweep,fedcs,100,13,115923,76421,5322
paper_sweep,fedcs,100,14,123842,69012,5323
paper_sweep,fedcs,100,15,131761,191719,5324
paper_sweep,fedcs,100,16,139680,184310,5325
paper_sweep,fedcs,100,17,147599,175833,5326
paper_sweep,fedcs,100,18,155518,176424,5327
paper_sweep,fedcs,100,19,163437,167995,5328
paper_sweep,oort,100,10,92166,115798,5319
paper_sweep,oort,100,11,100085,76453,5320
paper_sweep,oort,100,12,108004,68020,5321
paper_sweep,oort,100,13,115923,92291,5322
paper_sweep,oort,100,14,123842,85906,5323
paper_sweep,oort,100,15,131761,175841,5324
paper_sweep,oort,100,16,139680,167408,5325
paper_sweep,oort,100,17,147599,191711,5326
paper_sweep,oort,100,18,155518,193326,5327
paper_sweep,oort,100,19,163437,184893,5328
paper_sweep,flat_fl,100,10,92166,103574,5319
paper_sweep,flat_fl,100,11,100085,96869,5320
paper_sweep,flat_fl,100,12,108004,88436,5321
paper_sweep,flat_fl,100,13,115923,79939,5322
paper_sweep,flat_fl,100,14,123842,73554,5323
paper_sweep,flat_fl,100,15,131761,196129,5324
paper_sweep,flat_fl,100,16,139680,187696,5325
paper_sweep,flat_fl,100,17,147599,179231,5326
paper_sweep,flat_fl,100,18,155518,173038,5327
paper_sweep,flat_fl,100,19,163437,164605,5328
paper_sweep,proposed_hfl,200,10,95266,72065,5319
paper_sweep,proposed_hfl,200,11,103185,130738,5320
paper_sweep,proposed_hfl,200,12,111104,122787,5321
paper_sweep,proposed_hfl,200,13,119023,113996,5322
paper_sweep,proposed_hfl,200,14,126942,98941,5323
paper_sweep,proposed_hfl,200,15,134861,156526,5324
paper_sweep,proposed_hfl,200,16,142780,147487,5325
paper_sweep,proposed_hfl,200,17,150699,139528,5326
paper_sweep,proposed_hfl,200,18,158618,132665,5327
paper_sweep,proposed_hfl,200,19,166537,190250,5328
paper_sweep,fedcs,200,10,95266,105076,5319
paper_sweep,fedcs,200,11,103185,97607,5320
paper_sweep,fedcs,200,12,111104,89174,5321
paper_sweep,fedcs,200,13,119023,81593,5322
paper_sweep,fedcs,200,14,126942,65928,5323
paper_sweep,fedcs,200,15,134861,188571,5324
paper_sweep,fedcs,200,16,142780,181226,5325
paper_sweep,fedcs,200,17,150699,172797,5326
paper_sweep,fedcs,200,18,158618,165324,5327
paper_sweep,fedcs,200,19,166537,156895,5328
paper_sweep,oort,200,10,95266,120946,5319
paper_sweep,oort,200,11,103185,81729,5320
paper_sweep,oort,200,12,111104,73296,5321
paper_sweep,oort,200,13,119023,97471,5322
paper_sweep,oort,200,14,126942,82830,5323
paper_sweep,oort,200,15,134861,172701,5324
paper_sweep,oort,200,16,142780,164332,5325
paper_sweep,oort,200,17,150699,188667,5326
paper_sweep,oort,200,18,158618,182218,5327
paper_sweep,oort,200,19,166537,141017,5328
paper_sweep,flat_fl,200,10,95266,100530,5319
paper_sweep,flat_fl,200,11,103185,94081,5320
paper_sweep,flat_fl,200,12,111104,85648,5321
paper_sweep,flat_fl,200,13,119023,76927,5322
paper_sweep,flat_fl,200,14,126942,70478,5323
paper_sweep,flat_fl,200,15,134861,193117,5324
paper_sweep,flat_fl,200,16,142780,184620,5325
paper_sweep,flat_fl,200,17,150699,176187,5326
paper_sweep,flat_fl,200,18,158618,169738,5327
paper_sweep,flat_fl,200,19,166537,161305,5328
