harness,method,N,seed_idx,job_seed,seed,partition_seed
paper_sweep,hfl_balanced_roster,30,0,10806,64426,5309
paper_sweep,hfl_balanced_roster,30,1,18725,39097,5310
paper_sweep,hfl_balanced_roster,30,2,26644,47496,5311
paper_sweep,hfl_balanced_roster,30,3,34563,22175,5312
paper_sweep,hfl_balanced_roster,30,4,42482,29806,5313
paper_sweep,hfl_balanced_roster,30,5,50401,5501,5314
paper_sweep,hfl_balanced_roster,30,6,58320,12876,5315
paper_sweep,hfl_balanced_roster,30,7,66239,119587,5316
paper_sweep,hfl_balanced_roster,30,8,74158,127026,5317
paper_sweep,hfl_balanced_roster,30,9,82077,102657,5318
paper_sweep,hfl_balanced_roster,50,0,11426,64830,5309
paper_sweep,hfl_balanced_roster,50,1,19345,39437,5310
paper_sweep,hfl_balanced_roster,50,2,27264,47900,5311
paper_sweep,hfl_balanced_roster,50,3,35183,22771,5312
paper_sweep,hfl_balanced_roster,50,4,43102,31170,5313
paper_sweep,hfl_balanced_roster,50,5,51021,5841,5314
paper_sweep,hfl_balanced_roster,50,6,58940,14240,5315
paper_sweep,hfl_balanced_roster,50,7,66859,119991,5316
paper_sweep,hfl_balanced_roster,50,8,74778,128390,5317
paper_sweep,hfl_balanced_roster,50,9,82697,103061,5318
paper_sweep,hfl_balanced_roster,100,0,12976,58156,5309
paper_sweep,hfl_balanced_roster,100,1,20895,32771,5310
paper_sweep,hfl_balanced_roster,100,2,28814,41234,5311
paper_sweep,hfl_balanced_roster,100,3,36733,24289,5312
paper_sweep,hfl_balanced_roster,100,4,44652,32752,5313
paper_sweep,hfl_balanced_roster,100,5,52571,7367,5314
paper_sweep,hfl_balanced_roster,100,6,60490,15830,5315
paper_sweep,hfl_balanced_roster,100,7,68409,121509,5316
paper_sweep,hfl_balanced_roster,100,8,76328,129972,5317
paper_sweep,hfl_balanced_roster,100,9,84247,104587,5318
paper_sweep,hfl_balanced_roster,200,0,16076,61264,5309
paper_sweep,hfl_balanced_roster,200,1,23995,35879,5310
paper_sweep,hfl_balanced_roster,200,2,31914,44342,5311
paper_sweep,hfl_balanced_roster,200,3,39833,18949,5312
paper_sweep,hfl_balanced_roster,200,4,47752,27412,5313
paper_sweep,hfl_balanced_roster,200,5,55671,2283,5314
paper_sweep,hfl_balanced_roster,200,6,63590,10746,5315
paper_sweep,hfl_balanced_roster,200,7,71509,116425,5316
paper_sweep,hfl_balanced_roster,200,8,79428,124888,5317
paper_sweep,hfl_balanced_roster,200,9,87347,99503,5318
