harness,method,N,seed_idx,seed,partition_seed
selection_sweep,ucb_dp_eps0.5,500,0,25376,5309
selection_sweep,ucb_dp_eps0.5,500,1,33295,5310
selection_sweep,ucb_dp_eps0.5,500,2,41214,5311
selection_sweep,ucb_dp_eps0.5,500,3,49133,5312
selection_sweep,ucb_dp_eps0.5,500,4,57052,5313
selection_sweep,ucb_dp_eps0.5,500,5,64971,5314
selection_sweep,ucb_dp_eps0.5,500,6,72890,5315
selection_sweep,ucb_dp_eps0.5,500,7,80809,5316
selection_sweep,ucb_dp_eps0.5,500,8,88728,5317
selection_sweep,ucb_dp_eps0.5,500,9,96647,5318
selection_sweep,ucb_dp_eps1,500,0,25376,5309
selection_sweep,ucb_dp_eps1,500,1,33295,5310
selection_sweep,ucb_dp_eps1,500,2,41214,5311
selection_sweep,ucb_dp_eps1,500,3,49133,5312
selection_sweep,ucb_dp_eps1,500,4,57052,5313
selection_sweep,ucb_dp_eps1,500,5,64971,5314
selection_sweep,ucb_dp_eps1,500,6,72890,5315
selection_sweep,ucb_dp_eps1,500,7,80809,5316
selection_sweep,ucb_dp_eps1,500,8,88728,5317
selection_sweep,ucb_dp_eps1,500,9,96647,5318
selection_sweep,ucb_dp_eps4,500,0,25376,5309
selection_sweep,ucb_dp_eps4,500,1,33295,5310
selection_sweep,ucb_dp_eps4,500,2,41214,5311
selection_sweep,ucb_dp_eps4,500,3,49133,5312
selection_sweep,ucb_dp_eps4,500,4,57052,5313
selection_sweep,ucb_dp_eps4,500,5,64971,5314
selection_sweep,ucb_dp_eps4,500,6,72890,5315
selection_sweep,ucb_dp_eps4,500,7,80809,5316
selection_sweep,ucb_dp_eps4,500,8,88728,5317
selection_sweep,ucb_dp_eps4,500,9,96647,5318
