N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
500,ucb,power_of_choice,10,0.0,0.001953125,0.08765275162057953,1.0,0.07116328869111972,0.1029711912577864,True,group,ucb,accuracy,wilcoxon,holm
350,ucb,power_of_choice,10,0.0,0.001953125,0.07630342481476834,1.0,0.06243286195430365,0.0892518474044842,True,group,ucb,accuracy,wilcoxon,holm
500,ucb,oort,10,0.0,0.001953125,0.11072496335938582,1.0,0.09678777746444085,0.12657531450170043,True,group,ucb,accuracy,wilcoxon,holm
350,ucb,oort,10,0.0,0.001953125,0.05644250998516513,1.0,0.04259035819553441,0.06969945763855294,True,group,ucb,accuracy,wilcoxon,holm
350,ucb,rep_cap,10,0.0,0.001953125,0.03841906472168464,1.0,0.025950352710676212,0.051400688250790555,True,group,ucb,accuracy,wilcoxon,holm
350,ucb,fedcs,10,1.0,0.00390625,0.04414140091313258,0.9636363636363636,0.02711821171572351,0.059500733813107554,True,group,ucb,accuracy,wilcoxon,holm
500,ucb,rep_cap,10,1.0,0.00390625,0.03016898258317461,0.9636363636363636,0.016111217474587044,0.0453508730002238,True,group,ucb,accuracy,wilcoxon,holm
500,ucb,fedcs,10,1.0,0.00390625,0.03929022981201585,0.9636363636363636,0.02303892716610311,0.05722222547658923,True,group,ucb,accuracy,wilcoxon,holm
350,ucb,fair_mab,10,4.0,0.013671875,-0.01311003331762708,-0.8545454545454545,-0.020742642617774077,-0.004926108637243377,True,group,ucb,accuracy,wilcoxon,holm
100,ucb,random,10,7.0,0.037109375,0.02591545043084035,0.7454545454545455,0.008520150310998348,0.042240143689635516,False,group,ucb,accuracy,wilcoxon,holm
30,ucb,rep_cap,10,10.0,0.083984375,-0.011324030923701678,-0.6363636363636364,-0.021799066202513668,0.0006957219808587602,False,group,ucb,accuracy,wilcoxon,holm
100,ucb,fedcs,10,10.0,0.083984375,0.01086345293715214,0.6363636363636364,-0.007678376557496547,0.026665496190336445,False,group,ucb,accuracy,wilcoxon,holm
30,ucb,oort,10,11.0,0.10546875,-0.013732809552658131,-0.6,-0.026912665083886348,-0.0011579175796012147,False,group,ucb,accuracy,wilcoxon,holm
200,ucb,power_of_choice,10,12.0,0.130859375,0.013334105703046651,0.5636363636363636,0.002218925606771558,0.02427799146709536,False,group,ucb,accuracy,wilcoxon,holm
50,ucb,fair_mab,10,13.0,0.16015625,-0.008423290577803489,-0.5272727272727272,-0.017779481916478854,0.0010494937212735362,False,group,ucb,accuracy,wilcoxon,holm
